obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""81.024""","=""""","=""10""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3986""",
"=""86.544""","=""""","=""10""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3986""",
"=""124.982""","=""""","=""20""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3986""",
"=""130.187""","=""130.18743""","=""20""","=""5.0e+07""",C,"=""0.000000""","=""9.523515""","=""3s2.3p2""","=""3P""","=""0""","=""3s.3p3""","=""3P*""","=""1""",1,3,,"=""T8043""","=""L3986""",
"=""130.447""","=""130.44917""","=""20""","=""1.5e+08""",C,"=""0.020445""","=""9.524852""","=""3s2.3p2""","=""3P""","=""1""","=""3s.3p3""","=""3P*""","=""0""",3,1,,"=""T8043""","=""L3986""",
"=""130.468""","=""130.46752""","=""15""","=""3.7e+07""",C,"=""0.020445""","=""9.523515""","=""3s2.3p2""","=""3P""","=""1""","=""3s.3p3""","=""3P*""","=""1""",3,3,,"=""T8043""","=""L3986""",
"=""130.548""","=""130.54973""","=""35""","=""3.8e+07""",C,"=""0.020445""","=""9.517530""","=""3s2.3p2""","=""3P""","=""1""","=""3s.3p3""","=""3P*""","=""2""",3,5,,"=""T8043""","=""L3986""",
"=""130.987""","=""130.98742""","=""25""","=""6.2e+07""",C,"=""0.058163""","=""9.523515""","=""3s2.3p2""","=""3P""","=""2""","=""3s.3p3""","=""3P*""","=""1""",5,3,,"=""T8043""","=""L3986""",
"=""131.070""","=""131.07029""","=""60""","=""1.1e+08""",C,"=""0.058163""","=""9.517530""","=""3s2.3p2""","=""3P""","=""2""","=""3s.3p3""","=""3P*""","=""2""",5,5,,"=""T8043""","=""L3986""",
"=""145.289""","=""""","=""30""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3986""",
"=""153.251""","=""153.25330""","=""80""","=""7.2e+06""",D,"=""0.000000""","=""8.090149""","=""3s2.3p2""","=""3P""","=""0""","=""3s.3p3""","=""3D*""","=""1""",1,3,,"=""T1108LS""","=""L3986""",
"=""153.590""","=""153.5923""","=""120""","=""9.6e+06""",C+,"=""0.020445""","=""8.092740""","=""3s2.3p2""","=""3P""","=""1""","=""3s.3p3""","=""3D*""","=""2""",3,5,,"=""T1108LS""","=""L3986""",
"=""153.639""","=""153.6416""","=""80""","=""5.4e+06""",D,"=""0.020445""","=""8.090149""","=""3s2.3p2""","=""3P""","=""1""","=""3s.3p3""","=""3D*""","=""1""",3,3,,"=""T1108LS""","=""L3986""",
"=""154.229""","=""154.2304""","=""120""","=""1.27e+07""",C+,"=""0.058163""","=""8.097057""","=""3s2.3p2""","=""3P""","=""2""","=""3s.3p3""","=""3D*""","=""3""",5,7,,"=""T1108LS""","=""L3986""",
"=""""","=""154.3133""","=""""","=""3.2e+06""",D,"=""0.058163""","=""8.092740""","=""3s2.3p2""","=""3P""","=""2""","=""3s.3p3""","=""3D*""","=""2""",5,5,,"=""T1108LS""","=""""",
"=""""","=""154.3631""","=""""","=""3.5e+05""",E,"=""0.058163""","=""8.090149""","=""3s2.3p2""","=""3P""","=""2""","=""3s.3p3""","=""3D*""","=""1""",5,3,,"=""T1108LS""","=""""",
"=""248.494""","=""""","=""100""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3986""",
"=""260.684""","=""""","=""150""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3986""",
"=""262.696""","=""""","=""100""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3986""",
"=""263.755""","=""""","=""90""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3986""",
"=""330.987""","=""""","=""150""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3986""",
"=""342.032""","=""""","=""125""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3986""",
"=""342.598""","=""""","=""100""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3986""",
"=""417.966""","=""""","=""100""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3986""",
"=""428.981""","=""""","=""200""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3986""",
"=""438.658""","=""438.6625""","=""200""","=""4.0e+07""",D,"=""12.601220""","=""15.427634""","=""3s2.3p.4p""","=""1P""","=""1""","=""3s2.3p.5s""","=""1P*""","=""1""",3,3,,"=""T1619CA""","=""L3986""",
"=""""","=""440.3341""","=""""","=""2.5e+07""",D,"=""13.046121""","=""15.861806""","=""3s2.3p.4p""","=""3P""","=""0""","=""3s2.3p.4d""","=""3P*""","=""1""",1,3,,"=""T1619CA,LS""","=""""",
"=""""","=""441.8577""","=""""","=""1.9e+07""",D,"=""13.055830""","=""15.861806""","=""3s2.3p.4p""","=""3P""","=""1""","=""3s2.3p.4d""","=""3P*""","=""1""",3,3,,"=""T1619CA,LS""","=""""",
"=""442.195""","=""442.1953""","=""400""","=""1.6e+08""",D,"=""11.021355""","=""13.825188""","=""3s2.3p.4s""","=""1P*""","=""1""","=""3s2.3p.4p""","=""1S""","=""0""",3,1,,"=""T1619CA""","=""L3986""",
"=""""","=""442.5333""","=""""","=""7.3e+07""",D,"=""13.055830""","=""15.857522""","=""3s2.3p.4p""","=""3P""","=""1""","=""3s2.3p.4d""","=""3P*""","=""0""",3,1,,"=""T1619CA,LS""","=""""",
