spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
P II,P,1,3s2.3p2,3P,0.0,1,0.0,0.0,even,,no,19.76949,,metastable - no allowed radiative channel,,,,,,,yes,L7147
P II,P,1,3s2.3p2,3P,1.0,3,0.020445,,even,,no,19.76949,12422.360248447205,"ASD 1/sum(Aki), J-resolved",12422.360248447205,1/1,yes,0.020445,0.020445,,yes,
P II,P,1,3s2.3p2,3P,2.0,5,0.058163,,even,,no,19.76949,2631.526732337995,"ASD 1/sum(Aki), J-resolved",2631.526732337995,3/3,yes,0.037718,0.058163,,yes,
P II,P,1,3s2.3p2,1D,2.0,5,1.101266,,even,,no,19.76949,,,,,,,,,,
P II,P,1,3s2.3p2,1S,0.0,1,2.675037,,even,,no,19.76949,4.418912947414936,"ASD 1/sum(Aki), J-resolved",4.418912947414936,2/2,yes,2.654592,2.654592,4.41891,,
P II,P,1,3s.3p3,5S*,2.0,5,5.665708,,odd,,no,19.76949,,,,,,,,,,
P II,P,1,3s.3p3,3D*,1.0,3,8.090149,,odd,,no,19.76949,7.722007722007723e-08,"ASD 1/sum(Aki), J-resolved",7.722007722007723e-08,3/3,yes,8.090149,8.090149,7.72201e-08,,
P II,P,1,3s.3p3,3D*,2.0,5,8.09274,,odd,,no,19.76949,7.8125e-08,"ASD 1/sum(Aki), J-resolved",7.8125e-08,2/2,yes,8.072294999999999,8.072294999999999,7.72201e-08,,
P II,P,1,3s.3p3,3D*,3.0,7,8.097057,,odd,,no,19.76949,7.874015748031496e-08,"ASD 1/sum(Aki), J-resolved",7.874015748031496e-08,1/1,yes,8.038893999999999,8.038893999999999,7.72201e-08,,
P II,P,1,3s.3p3,3P*,2.0,5,9.51753,,odd,,no,19.76949,6.756756756756757e-09,"ASD 1/sum(Aki), J-resolved",6.756756756756757e-09,2/2,yes,9.459367,9.497085,6.66667e-09,,
P II,P,1,3s.3p3,3P*,1.0,3,9.523515,,odd,,no,19.76949,6.711409395973154e-09,"ASD 1/sum(Aki), J-resolved",6.711409395973154e-09,3/3,yes,9.465352,9.523515,6.66667e-09,,
