Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""3s2.3p""","=""2P*""","=""1/2""",2,"=""""","=""0.000000""","=""""","=""0""","=""  94         :     3  3p3          2P*  ""","=""L7147"""
"=""3s2.3p""","=""2P*""","=""3/2""",4,"=""""","=""0.069325""","=""""","=""""","=""  94         :     3  3p3          2P*  ""","="""""
"=""3s.3p2""","=""4P""","=""1/2""",2,"=""""","=""7.057388""","=""""","=""""","=""                                        ""","="""""
"=""3s.3p2""","=""4P""","=""3/2""",4,"=""""","=""7.082719""","=""""","=""""","=""                                        ""","="""""
"=""3s.3p2""","=""4P""","=""5/2""",6,"=""""","=""7.123388""","=""""","=""""","=""                                        ""","="""""
"=""3s.3p2""","=""2D""","=""3/2""",4,"=""""","=""9.288506""","=""""","=""""","=""  75         :    21  3s2.3d       2D   ""","="""""
"=""3s.3p2""","=""2D""","=""5/2""",6,"=""""","=""9.292102""","=""""","=""""","=""  75         :    21  3s2.3d       2D   ""","="""""
"=""3s.3p2""","=""2S""","=""1/2""",2,"=""""","=""12.423271""","=""""","=""""","=""                                        ""","="""""
"=""3s.3p2""","=""2P""","=""1/2""",2,"=""""","=""13.518896""","=""""","=""""","=""                                        ""","="""""
"=""3s.3p2""","=""2P""","=""3/2""",4,"=""""","=""13.565481""","=""""","=""""","=""                                        ""","="""""
"=""3s2.3d""","=""2D""","=""3/2""",4,"=""""","=""14.490599""","=""""","=""""","=""  74         :    19  3s.3p2       2D   ""","="""""
"=""3s2.3d""","=""2D""","=""5/2""",6,"=""""","=""14.492001""","=""""","=""""","=""  74         :    19  3s.3p2       2D   ""","="""""
"=""3s2.4s""","=""2S""","=""1/2""",2,"=""""","=""14.609796""","=""""","=""""","=""                                        ""","="""""
"=""3s2.4p""","=""2P*""","=""1/2""",2,"=""""","=""17.528503""","=""""","=""""","=""  94         :     4  3p2.(1S).4p  2P*  ""","="""""
"=""3s2.4p""","=""2P*""","=""3/2""",4,"=""""","=""17.545454""","=""""","=""""","=""  94         :     4  3p2.(1S).4p  2P*  ""","="""""
"=""3s.3p.(3P*).3d""","=""2D*""","=""3/2""",4,"=""""","=""18.265748""","=""""","=""""","=""                                        ""","="""""
"=""3s.3p.(3P*).3d""","=""2D*""","=""5/2""",6,"=""""","=""18.273443""","=""""","=""""","=""                                        ""","="""""
"=""3s.3p.(3P*).3d""","=""4F*""","=""3/2""",4,"=""""","=""19.728957""","=""""","=""""","=""                                        ""","="""""
"=""3s.3p.(3P*).3d""","=""4F*""","=""5/2""",6,"=""""","=""19.743085""","=""""","=""""","=""                                        ""","="""""
