conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
3s2.3p,2P*,0.5,2.0,0.0,3s2.3p,2P*,1.5,4.0,0.069325,0.069325,17884.48589,0.00157,1.5057e-08,3.0114e-08,3.9962e-10
3s2.3p,2P*,0.5,2.0,0.0,3s.3p2,2D,1.5,4.0,9.288506,9.288506,133.48131,55000000.0,0.029383,0.058766,0.00077982
3s2.3p,2P*,1.5,4.0,0.069325,3s.3p2,2D,1.5,4.0,9.288506,9.219181,134.48505,11000000.0,0.0029826,0.011931,7.9159e-05
3s2.3p,2P*,1.5,4.0,0.069325,3s.3p2,2D,2.5,6.0,9.292102,9.222777,134.43261,64000000.0,0.02601,0.10404,0.0006903
3s2.3d,2D,1.5,4.0,14.490599,3s2.4p,2P*,0.5,2.0,17.528503,3.037904,408.12415,99000000.0,0.12361,0.49444,0.0032806
3s2.3d,2D,1.5,4.0,14.490599,3s2.4p,2P*,1.5,4.0,17.545454,3.054855,405.85952,10000000.0,0.024695,0.09878,0.00065541
3s2.3d,2D,2.5,6.0,14.492001,3s2.4p,2P*,1.5,4.0,17.545454,3.053453,406.04587,90000000.0,0.14831,0.88984,0.0039361
3s2.4s,2S,0.5,2.0,14.609796,3s2.4p,2P*,0.5,2.0,17.528503,2.918707,424.79152,140000000.0,0.37874,0.75748,0.010052
3s2.4s,2S,0.5,2.0,14.609796,3s2.4p,2P*,1.5,4.0,17.545454,2.935658,422.3387,150000000.0,0.80224,1.6045,0.021291
3s2.4p,2P*,0.5,2.0,17.528503,3s2.4d,2D,1.5,4.0,21.378656,3.850153,322.02408,390000000.0,1.2126,2.4253,0.032183
3s2.4p,2P*,1.5,4.0,17.545454,3s2.4d,2D,2.5,6.0,21.378572,3.833118,323.45521,460000000.0,1.0823,4.3291,0.028724
3s2.4p,2P*,1.5,4.0,17.545454,3s2.4d,2D,1.5,4.0,21.378656,3.833202,323.44812,77000000.0,0.12077,0.48308,0.0032052
3s2.4d,2D,2.5,6.0,21.378572,3s.3p.(3P*).4s,2P*,1.5,4.0,23.760467,2.381895,520.52756,79000000.0,0.21394,1.2836,0.0056778
3s2.4d,2D,1.5,4.0,21.378656,3s.3p.(3P*).4s,2P*,1.5,4.0,23.760467,2.381811,520.54591,8800000.0,0.035749,0.14299,0.00094877
3s.3p.(3P*).4s,4P*,0.5,2.0,22.869355,3s.3p.(3P*).4p,4P,0.5,2.0,26.029143,3.159788,392.38138,30000000.0,0.069246,0.13849,0.0018378
3s.3p.(3P*).4s,4P*,0.5,2.0,22.869355,3s.3p.(3P*).4p,4P,1.5,4.0,26.043621,3.174266,390.59171,75000000.0,0.34308,0.68616,0.0091054
3s.3p.(3P*).4s,4P*,1.5,4.0,22.892411,3s.3p.(3P*).4p,4P,0.5,2.0,26.029143,3.136732,395.26551,140000000.0,0.16396,0.65584,0.0043515
3s.3p.(3P*).4s,4P*,1.5,4.0,22.892411,3s.3p.(3P*).4p,4P,1.5,4.0,26.043621,3.15121,393.4495,23000000.0,0.053378,0.21351,0.0014167
3s.3p.(3P*).4s,4P*,1.5,4.0,22.892411,3s.3p.(3P*).4p,4P,2.5,6.0,26.074627,3.182216,389.61591,54000000.0,0.18434,0.73736,0.0048924
3s.3p.(3P*).4s,4P*,1.5,4.0,22.892411,3s.3p.(3P*).4p,4S,1.5,4.0,26.202806,3.310395,374.52992,68000000.0,0.143,0.57201,0.0037953
3s.3p.(3P*).4s,4P*,2.5,6.0,22.942733,3s.3p.(3P*).4p,4P,1.5,4.0,26.043621,3.100888,399.83449,76000000.0,0.12143,0.72861,0.0032229
3s.3p.(3P*).4s,4P*,2.5,6.0,22.942733,3s.3p.(3P*).4p,4P,2.5,6.0,26.074627,3.131894,395.8761,120000000.0,0.28194,1.6917,0.0074827
3s.3p.(3P*).4s,4P*,2.5,6.0,22.942733,3s.3p.(3P*).4p,4S,1.5,4.0,26.202806,3.260073,380.31111,97000000.0,0.14022,0.84134,0.0037215
