Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Reference
"=""2s2.2p3""","=""4S*""","=""3/2""",4,"=""""","=""0.0000""","=""""","=""0""","=""L7147"""
"=""2s2.2p3""","=""2D*""","=""3/2""",4,"=""""","=""9.4099""","=""""","=""""","="""""
"=""2s2.2p3""","=""2D*""","=""5/2""",6,"=""""","=""9.4824""","=""""","=""""","="""""
"=""2s2.2p3""","=""2P*""","=""1/2""",2,"=""""","=""14.3957""","=""""","=""""","="""""
"=""2s2.2p3""","=""2P*""","=""3/2""",4,"=""""","=""14.5246""","=""""","=""""","="""""
"=""2s.2p4""","=""4P""","=""5/2""",6,"=""""","=""42.8256""","=""""","=""""","="""""
"=""2s.2p4""","=""4P""","=""3/2""",4,"=""""","=""43.4477""","=""""","=""""","="""""
"=""2s.2p4""","=""4P""","=""1/2""",2,"=""""","=""43.7716""","=""""","=""""","="""""
"=""2s.2p4""","=""2D""","=""3/2""",4,"=""""","=""58.9296""","=""""","=""""","="""""
"=""2s.2p4""","=""2D""","=""5/2""",6,"=""""","=""58.9325""","=""""","=""""","="""""
"=""2s.2p4""","=""2S""","=""1/2""",2,"=""""","=""68.995""","=""""","=""""","="""""
"=""2s.2p4""","=""2P""","=""3/2""",4,"=""""","=""72.335""","=""""","=""""","="""""
"=""2s.2p4""","=""2P""","=""1/2""",2,"=""""","=""73.1115""","=""""","=""""","="""""
"=""2p5""","=""2P*""","=""3/2""",4,"=""""","=""112.2409""","=""""","=""""","="""""
"=""2p5""","=""2P*""","=""1/2""",2,"=""""","=""113.2514""","=""""","=""""","="""""
"=""2s2.2p2.(3P).3s""","=""4P""","=""1/2""",2,"=""""","=""216.200""","=""?""","=""""","="""""
"=""2s2.2p2.(3P).3s""","=""4P""","=""3/2""",4,"=""""","=""216.581""","=""""","=""""","="""""
"=""2s2.2p2.(3P).3s""","=""4P""","=""5/2""",6,"=""""","=""217.212""","=""""","=""""","="""""
"=""2s2.2p2.(3P).3s""","=""2P""","=""1/2""",2,"=""""","=""219.192""","=""""","=""""","="""""
"=""2s2.2p2.(3P).3s""","=""2P""","=""3/2""",4,"=""""","=""219.663""","=""""","=""""","="""""
"=""2s2.2p2.(1D).3s""","=""2D""","=""3/2""",4,"=""""","=""224.23""","=""""","=""""","="""""
"=""2s2.2p2.(1D).3s""","=""2D""","=""5/2""",6,"=""""","=""224.40""","=""""","=""""","="""""
"=""2s2.2p2.(3P).3d""","=""2P""","=""1/2""",2,"=""""","=""""","=""""","=""""","="""""
"=""2s2.2p2.(3P).3d""","=""2P""","=""3/2?""",4,"=""""","=""243.72""","=""""","=""""","="""""
"=""2s.2p3.(5S*).3s""","=""4S*""","=""3/2""",4,"=""""","=""243.75""","=""?""","=""""","="""""
"=""2s2.2p2.(3P).3d""","=""2F""","=""5/2""",6,"=""""","=""244.63""","=""""","=""""","="""""
"=""2s2.2p2.(3P).3d""","=""2F""","=""7/2""",8,"=""""","=""245.41""","=""""","=""""","="""""
"=""2s2.2p2.(3P).3d""","=""4P""","=""1/2""",2,"=""""","=""245.60""","=""""","=""""","="""""
"=""2s2.2p2.(3P).3d""","=""4P""","=""3/2""",4,"=""""","=""245.60""","=""""","=""""","="""""
"=""2s2.2p2.(3P).3d""","=""2D""","=""3/2""",4,"=""""","=""248.27""","=""""","=""""","="""""
"=""2s2.2p2.(3P).3d""","=""2D""","=""5/2""",6,"=""""","=""248.54""","=""""","=""""","="""""
"=""2s2.2p2.(1D).3d""","=""2D""","=""3/2""",4,"=""""","=""""","=""""","=""""","="""""
"=""2s2.2p2.(1D).3d""","=""2D""","=""5/2""",6,"=""""","=""252.25""","=""""","=""""","="""""
"=""2s2.2p2.(1D).3d""","=""2P""","=""1/2""",2,"=""""","=""253.09""","=""?""","=""""","="""""
"=""2s2.2p2.(1D).3d""","=""2P""","=""3/2""",4,"=""""","=""253.56""","=""?""","=""""","="""""
"=""2s.2p3.(5S*).3p""","=""4P""","=""1/2""",2,"=""""","=""253.42""","=""""","=""""","="""""
"=""2s.2p3.(5S*).3p""","=""4P""","=""3/2""",4,"=""""","=""253.42""","=""""","=""""","="""""
"=""2s.2p3.(5S*).3p""","=""4P""","=""5/2""",6,"=""""","=""253.42""","=""""","=""""","="""""
"=""2s.2p3.(5S*).3d""","=""4D*""","=""1/2""",2,"=""""","=""267.95""","=""""","=""""","="""""
"=""2s.2p3.(5S*).3d""","=""4D*""","=""3/2""",4,"=""""","=""267.95""","=""""","=""""","="""""
"=""2s.2p3.(5S*).3d""","=""4D*""","=""5/2""",6,"=""""","=""267.95""","=""""","=""""","="""""
"=""2s.2p3.(5S*).3d""","=""4D*""","=""7/2""",8,"=""""","=""267.95""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4s""","=""4P""","=""1/2""",2,"=""""","=""""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4s""","=""4P""","=""3/2""",4,"=""""","=""""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4s""","=""4P""","=""5/2""",6,"=""""","=""291.87""","=""?""","=""""","="""""
"=""2s2.2p2.(3P).4s""","=""2P""","=""1/2""",2,"=""""","=""""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4s""","=""2P""","=""3/2""",4,"=""""","=""292.89""","=""""","=""""","="""""
"=""P X (2p2 3P<0>)""","=""Limit""","=""---""",,"=""[""","=""372.31""","=""]""","=""0.21""","=""L11770"""
