spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
P IX,P,8,2s2.2p3,4S*,1.5,4,0.0,0.0,odd,,no,372.31,,,,,,,,,,L7147
P IX,P,8,2s2.2p3,2D*,1.5,4,9.4099,,odd,,no,372.31,0.09167331298185785,"ASD 1/sum(Aki), J-resolved",0.09167331298185785,2/2,yes,9.4099,9.4099,,,
P IX,P,8,2s2.2p3,2D*,2.5,6,9.4824,,odd,,no,372.31,16.658337497196207,"ASD 1/sum(Aki), J-resolved",16.658337497196207,4/4,yes,9.4824,9.4824,,,
P IX,P,8,2s2.2p3,2P*,0.5,2,14.3957,,odd,,no,372.31,0.013131853924933858,"ASD 1/sum(Aki), J-resolved",0.013131853924933858,5/5,yes,14.3957,14.3957,,,
P IX,P,8,2s2.2p3,2P*,1.5,4,14.5246,,odd,,no,372.31,0.005633127476322012,"ASD 1/sum(Aki), J-resolved",0.005633127476322012,8/8,yes,14.5246,14.5246,,,
P IX,P,8,2s.2p4,4P,2.5,6,42.8256,,even,,no,372.31,1.8518518518518518e-10,"ASD 1/sum(Aki), J-resolved",1.8518518518518518e-10,1/1,yes,42.8256,42.8256,,,
P IX,P,8,2s.2p4,4P,1.5,4,43.4477,,even,,no,372.31,1.7543859649122806e-10,"ASD 1/sum(Aki), J-resolved",1.7543859649122806e-10,1/1,yes,43.4477,43.4477,,,
P IX,P,8,2s.2p4,4P,0.5,2,43.7716,,even,,no,372.31,1.7241379310344828e-10,"ASD 1/sum(Aki), J-resolved",1.7241379310344828e-10,1/1,yes,43.7716,43.7716,,,
P IX,P,8,2s.2p4,2D,1.5,4,58.9296,,even,,no,372.31,7.027406886858749e-11,"ASD 1/sum(Aki), J-resolved",7.027406886858749e-11,4/4,yes,49.5197,49.5197,,,
P IX,P,8,2s.2p4,2D,2.5,6,58.9325,,even,,no,372.31,6.738544474393531e-11,"ASD 1/sum(Aki), J-resolved",6.738544474393531e-11,3/3,yes,49.4501,49.5226,,,
P IX,P,8,2s.2p4,2S,0.5,2,68.995,,even,,no,372.31,3.7593984962406014e-11,"ASD 1/sum(Aki), J-resolved",3.7593984962406014e-11,2/2,yes,54.470400000000005,54.59930000000001,,,
P IX,P,8,2s.2p4,2P,1.5,4,72.335,,even,,no,372.31,1.7699115044247788e-11,"ASD 1/sum(Aki), J-resolved",1.7699115044247788e-11,4/4,yes,62.852599999999995,62.92509999999999,,,
P IX,P,8,2s.2p4,2P,0.5,2,73.1115,,even,,no,372.31,1.7094017094017095e-11,"ASD 1/sum(Aki), J-resolved",1.7094017094017095e-11,3/3,yes,63.701600000000006,63.701600000000006,,,
P IX,P,8,2p5,2P*,1.5,4,112.2409,,odd,,no,372.31,2.73224043715847e-11,"ASD 1/sum(Aki), J-resolved",2.73224043715847e-11,5/5,yes,53.3084,53.311299999999996,,,
P IX,P,8,2p5,2P*,0.5,2,113.2514,,odd,,no,372.31,2.6455026455026455e-11,"ASD 1/sum(Aki), J-resolved",2.6455026455026455e-11,4/4,yes,54.3218,54.3218,,,
P IX,P,8,2s2.2p2.(3P).3s,4P,0.5,2,216.2,,even,yes,no,372.31,,,,,,,,,,
P IX,P,8,2s2.2p2.(3P).3s,4P,1.5,4,216.581,,even,,no,372.31,,,,,,,,,,
P IX,P,8,2s2.2p2.(3P).3s,4P,2.5,6,217.212,,even,,no,372.31,,,,,,,,,,
P IX,P,8,2s2.2p2.(3P).3s,2P,0.5,2,219.192,,even,,no,372.31,,,,,,,,,,
P IX,P,8,2s2.2p2.(3P).3s,2P,1.5,4,219.663,,even,,no,372.31,,,,,,,,,,
P IX,P,8,2s2.2p2.(1D).3s,2D,1.5,4,224.23,,even,,no,372.31,,,,,,,,,,
P IX,P,8,2s2.2p2.(1D).3s,2D,2.5,6,224.4,,even,,no,372.31,,,,,,,,,,
P IX,P,8,2s2.2p2.(3P).3d,2P,,4,243.72,,even,,no,372.31,,,,,,,,,,
P IX,P,8,2s.2p3.(5S*).3s,4S*,1.5,4,243.75,,odd,yes,no,372.31,,,,,,,,,,
P IX,P,8,2s2.2p2.(3P).3d,2F,2.5,6,244.63,,even,,no,372.31,,,,,,,,,,
P IX,P,8,2s2.2p2.(3P).3d,2F,3.5,8,245.41,,even,,no,372.31,,,,,,,,,,
P IX,P,8,2s2.2p2.(3P).3d,4P,0.5,2,245.6,,even,,no,372.31,,,,,,,,,,
P IX,P,8,2s2.2p2.(3P).3d,4P,1.5,4,245.6,,even,,no,372.31,,,,,,,,,,
P IX,P,8,2s2.2p2.(3P).3d,2D,1.5,4,248.27,,even,,no,372.31,,,,,,,,,,
P IX,P,8,2s2.2p2.(3P).3d,2D,2.5,6,248.54,,even,,no,372.31,,,,,,,,,,
P IX,P,8,2s2.2p2.(1D).3d,2D,2.5,6,252.25,,even,,no,372.31,,,,,,,,,,
P IX,P,8,2s2.2p2.(1D).3d,2P,0.5,2,253.09,,even,yes,no,372.31,,,,,,,,,,
P IX,P,8,2s2.2p2.(1D).3d,2P,1.5,4,253.56,,even,yes,no,372.31,,,,,,,,,,
P IX,P,8,2s.2p3.(5S*).3p,4P,0.5,2,253.42,,even,,no,372.31,,,,,,,,,,
P IX,P,8,2s.2p3.(5S*).3p,4P,1.5,4,253.42,,even,,no,372.31,,,,,,,,,,
P IX,P,8,2s.2p3.(5S*).3p,4P,2.5,6,253.42,,even,,no,372.31,,,,,,,,,,
P IX,P,8,2s.2p3.(5S*).3d,4D*,0.5,2,267.95,,odd,,no,372.31,,,,,,,,,,
P IX,P,8,2s.2p3.(5S*).3d,4D*,1.5,4,267.95,,odd,,no,372.31,,,,,,,,,,
P IX,P,8,2s.2p3.(5S*).3d,4D*,2.5,6,267.95,,odd,,no,372.31,,,,,,,,,,
P IX,P,8,2s.2p3.(5S*).3d,4D*,3.5,8,267.95,,odd,,no,372.31,,,,,,,,,,
P IX,P,8,2s2.2p2.(3P).4s,4P,2.5,6,291.87,,even,yes,no,372.31,,,,,,,,,,
P IX,P,8,2s2.2p2.(3P).4s,2P,1.5,4,292.89,,even,,no,372.31,,,,,,,,,,
