spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
P VI,P,5,2s2.2p6,1S,0.0,1,0.0,0.0,even,,no,220.43,,,,,,,,,,L7147
P VI,P,5,2s2.2p5.3s,3P*,2.0,5,135.12351,,odd,,no,220.43,,,,,,,,,,
P VI,P,5,2s2.2p5.3s,3P*,1.0,3,135.55068,,odd,,no,220.43,1.3513513513513513e-10,"ASD 1/sum(Aki), J-resolved",1.3513513513513513e-10,1/1,yes,135.55068,135.55068,,,
P VI,P,5,2s2.2p5.3s,3P*,0.0,1,136.01837,,odd,,no,220.43,,,,,,,,,,
P VI,P,5,2s2.2p5.3s,1P*,1.0,3,136.76897,,odd,,no,220.43,2.0408163265306123e-11,"ASD 1/sum(Aki), J-resolved",2.0408163265306123e-11,1/1,yes,136.76897,136.76897,,,
P VI,P,5,2s2.2p5.3p,3S,1.0,3,145.23834,,even,,no,220.43,,,,,,,,,,
P VI,P,5,2s2.2p5.3p,3D,3.0,7,146.97732,,even,,no,220.43,,,,,,,,,,
P VI,P,5,2s2.2p5.3p,3D,2.0,5,147.12528,,even,,no,220.43,,,,,,,,,,
P VI,P,5,2s2.2p5.3p,3D,1.0,3,147.45617,,even,,no,220.43,,,,,,,,,,
P VI,P,5,2s2.2p5.3p,1D,2.0,5,147.95077,,even,,no,220.43,,,,,,,,,,
P VI,P,5,2s2.2p5.3p,1P,1.0,3,148.23754,,even,,no,220.43,,,,,,,,,,
P VI,P,5,2s2.2p5.3p,3P,2.0,5,148.51489,,even,,no,220.43,,,,,,,,,,
P VI,P,5,2s2.2p5.3p,3P,0.0,1,148.53101,,even,,no,220.43,,,,,,,,,,
P VI,P,5,2s2.2p5.3p,3P,1.0,3,148.65688,,even,,no,220.43,,,,,,,,,,
P VI,P,5,2s2.2p5.3p,1S,0.0,1,154.06134,,even,,no,220.43,,,,,,,,,,
P VI,P,5,2s2.2p5.3d,3P*,0.0,1,161.89811,,odd,,no,220.43,,,,,,,,,,
P VI,P,5,2s2.2p5.3d,3P*,1.0,3,162.00467,,odd,,no,220.43,6.25e-10,"ASD 1/sum(Aki), J-resolved",6.25e-10,1/1,yes,162.00467,162.00467,,,
P VI,P,5,2s2.2p5.3d,3P*,2.0,5,162.23249,,odd,,no,220.43,,,,,,,,,,
P VI,P,5,2s2.2p5.3d,3F*,4.0,9,162.52972,,odd,,no,220.43,,,,,,,,,,
P VI,P,5,2s2.2p5.3d,3F*,3.0,7,162.70419,,odd,,no,220.43,,,,,,,,,,
P VI,P,5,2s2.2p5.3d,3F*,2.0,5,163.022,,odd,,no,220.43,,,,,,,,,,
P VI,P,5,2s2.2p5.3d,1F*,3.0,7,163.26294,,odd,,no,220.43,,,,,,,,,,
P VI,P,5,2s2.2p5.3d,1D*,2.0,5,163.89489,,odd,,no,220.43,,,,,,,,,,
P VI,P,5,2s2.2p5.3d,3D*,1.0,3,163.90921,,odd,,no,220.43,1.492537313432836e-11,"ASD 1/sum(Aki), J-resolved",1.492537313432836e-11,1/1,yes,163.90921,163.90921,,,
P VI,P,5,2s2.2p5.3d,3D*,3.0,7,164.00016,,odd,,no,220.43,,,,,,,,,,
