obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""19.6756""","=""""","=""3.10e+10""",D,"=""6.4789""","=""69.4933""","=""2s2.2p4""","=""1D""","=""2""","=""2s.2p5""","=""1P*""","=""1""",5,3,,"=""T833""","=""""",
"=""""","=""22.2363""","=""""","=""4.6e+09""",D,"=""13.7357""","=""69.4933""","=""2s2.2p4""","=""1S""","=""0""","=""2s.2p5""","=""1P*""","=""1""",1,3,,"=""T833""","=""""",
"=""""","=""24.4555""","=""""","=""8.3e+09""",D,"=""0.0000""","=""50.6979""","=""2s2.2p4""","=""3P""","=""2""","=""2s.2p5""","=""3P*""","=""1""",5,3,,"=""T833LS""","=""""",
"=""""","=""24.6320""","=""""","=""1.90e+10""",D,"=""0.714""","=""51.0488""","=""2s2.2p4""","=""3P""","=""1""","=""2s.2p5""","=""3P*""","=""0""",3,1,,"=""T833LS""","=""""",
"=""""","=""24.7646""","=""""","=""1.40e+10""",D,"=""0.0000""","=""50.0652""","=""2s2.2p4""","=""3P""","=""2""","=""2s.2p5""","=""3P*""","=""2""",5,5,,"=""T833LS""","=""""",
"=""""","=""24.8049""","=""""","=""4.9e+09""",D,"=""0.714""","=""50.6979""","=""2s2.2p4""","=""3P""","=""1""","=""2s.2p5""","=""3P*""","=""1""",3,3,,"=""T833LS""","=""""",
"=""""","=""24.9324""","=""""","=""6.1e+09""",D,"=""0.9698""","=""50.6979""","=""2s2.2p4""","=""3P""","=""0""","=""2s.2p5""","=""3P*""","=""1""",1,3,,"=""T833LS""","=""""",
"=""""","=""25.1229""","=""""","=""4.6e+09""",D,"=""0.714""","=""50.0652""","=""2s2.2p4""","=""3P""","=""1""","=""2s.2p5""","=""3P*""","=""2""",3,5,,"=""T833LS""","=""""",
"=""""","=""90.264""","=""""","=""1.8e-01""",D,"=""0.0000""","=""13.7357""","=""2s2.2p4""","=""3P""","=""2""","=""2s2.2p4""","=""1S""","=""0""",5,1,E2,"=""T969""","=""""",
"=""""","=""95.215""","=""""","=""3.40e+02""",C,"=""0.714""","=""13.7357""","=""2s2.2p4""","=""3P""","=""1""","=""2s2.2p4""","=""1S""","=""0""",3,1,M1,"=""T969""","=""""",
"=""""","=""170.853""","=""""","=""6.2e+00""",C,"=""6.4789""","=""13.7357""","=""2s2.2p4""","=""1D""","=""2""","=""2s2.2p4""","=""1S""","=""0""",5,1,E2,"=""T969""","=""""",
"=""""","=""191.37""","=""""","=""1.4e-02""",D,"=""0.0000""","=""6.4789""","=""2s2.2p4""","=""3P""","=""2""","=""2s2.2p4""","=""1D""","=""2""",5,5,E2,"=""T335,T969""","=""""",
"=""""","=""191.37""","=""""","=""2.87e+01""",C,"=""0.0000""","=""6.4789""","=""2s2.2p4""","=""3P""","=""2""","=""2s2.2p4""","=""1D""","=""2""",5,5,M1,"=""T335""","=""""",
"=""""","=""215.07""","=""""","=""1.1e-03""",D,"=""0.714""","=""6.4789""","=""2s2.2p4""","=""3P""","=""1""","=""2s2.2p4""","=""1D""","=""2""",3,5,E2,"=""T335,T969""","=""""",
"=""""","=""215.07""","=""""","=""6.8e+00""",C,"=""0.714""","=""6.4789""","=""2s2.2p4""","=""3P""","=""1""","=""2s2.2p4""","=""1D""","=""2""",3,5,M1,"=""T335""","=""""",
"=""""","=""225.05""","=""""","=""4.6e-04""",D,"=""0.9698""","=""6.4789""","=""2s2.2p4""","=""3P""","=""0""","=""2s2.2p4""","=""1D""","=""2""",1,5,E2,"=""T969""","=""""",
"=""""","=""1278.4""","=""""","=""6.8e-05""",C,"=""0.0000""","=""0.9698""","=""2s2.2p4""","=""3P""","=""2""","=""2s2.2p4""","=""3P""","=""0""",5,1,E2,"=""T969""","=""""",
"=""""","=""1736.1""","=""""","=""4.28e+00""",B,"=""0.0000""","=""0.714""","=""2s2.2p4""","=""3P""","=""2""","=""2s2.2p4""","=""3P""","=""1""",5,3,M1,"=""T335""","=""""",
"=""""","=""1736.1""","=""""","=""1.09e-05""",C,"=""0.0000""","=""0.714""","=""2s2.2p4""","=""3P""","=""2""","=""2s2.2p4""","=""3P""","=""1""",5,3,E2,"=""T335,T969""","=""""",
"=""""","=""4849.7""","=""""","=""4.76e-01""",B,"=""0.714""","=""0.9698""","=""2s2.2p4""","=""3P""","=""1""","=""2s2.2p4""","=""3P""","=""0""",3,1,M1,"=""T335""","=""""",
