conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
2s2.2p4,3P,2.0,5.0,0.0,2s2.2p4,3P,1.0,3.0,0.714,0.714,1736.47337,4.28,1.1609e-07,5.8044e-07,3.081e-09
2s2.2p4,3P,2.0,5.0,0.0,2s2.2p4,3P,1.0,3.0,0.714,0.714,1736.47337,1.09e-05,2.9565e-13,1.4782e-12,7.8465e-15
2s2.2p4,3P,2.0,5.0,0.0,2s2.2p4,3P,0.0,1.0,0.9698,0.9698,1278.45121,6.8e-05,3.3325e-13,1.6662e-12,8.8444e-15
2s2.2p4,3P,2.0,5.0,0.0,2s2.2p4,1D,2.0,5.0,6.4789,6.4789,191.36612,0.014,7.6863e-12,3.8432e-11,2.0399e-13
2s2.2p4,3P,2.0,5.0,0.0,2s2.2p4,1D,2.0,5.0,6.4789,6.4789,191.36612,28.7,1.5757e-08,7.8785e-08,4.1819e-10
2s2.2p4,3P,2.0,5.0,0.0,2s2.2p4,1S,0.0,1.0,13.7357,13.7357,90.2642,0.18,4.3974e-12,2.1987e-11,1.1671e-13
2s2.2p4,3P,2.0,5.0,0.0,2s.2p5,3P*,2.0,5.0,50.0652,50.0652,24.76455,14000000000.0,0.12872,0.6436,0.0034162
2s2.2p4,3P,2.0,5.0,0.0,2s.2p5,3P*,1.0,3.0,50.6979,50.6979,24.45549,8300000000.0,0.044652,0.22326,0.0011851
2s2.2p4,3P,1.0,3.0,0.714,2s2.2p4,3P,0.0,1.0,0.9698,0.2558,4846.91941,0.476,5.5883e-08,1.6765e-07,1.4831e-09
2s2.2p4,3P,1.0,3.0,0.714,2s2.2p4,1D,2.0,5.0,6.4789,5.7649,215.06739,0.0011,1.2713e-12,3.8139e-12,3.374e-14
2s2.2p4,3P,1.0,3.0,0.714,2s2.2p4,1D,2.0,5.0,6.4789,5.7649,215.06739,6.8,7.859e-09,2.3577e-08,2.0858e-10
2s2.2p4,3P,1.0,3.0,0.714,2s2.2p4,1S,0.0,1.0,13.7357,13.0217,95.21353,340.0,1.5403e-08,4.621e-08,4.088e-10
2s2.2p4,3P,1.0,3.0,0.714,2s.2p5,3P*,2.0,5.0,50.0652,49.3512,25.12283,4600000000.0,0.072544,0.21763,0.0019253
2s2.2p4,3P,1.0,3.0,0.714,2s.2p5,3P*,1.0,3.0,50.6979,49.9839,24.80483,4900000000.0,0.045199,0.1356,0.0011996
2s2.2p4,3P,1.0,3.0,0.714,2s.2p5,3P*,0.0,1.0,51.0488,50.3348,24.6319,19000000000.0,0.057609,0.17283,0.0015289
2s2.2p4,3P,0.0,1.0,0.9698,2s2.2p4,1D,2.0,5.0,6.4789,5.5091,225.05345,0.00046,1.7465e-12,1.7465e-12,4.6351e-14
2s2.2p4,3P,0.0,1.0,0.9698,2s.2p5,3P*,1.0,3.0,50.6979,49.7281,24.93242,6100000000.0,0.17055,0.17055,0.0045263
2s2.2p4,1D,2.0,5.0,6.4789,2s2.2p4,1S,0.0,1.0,13.7357,7.2568,170.85244,6.2,5.4265e-10,2.7133e-09,1.4402e-11
2s2.2p4,1D,2.0,5.0,6.4789,2s.2p5,1P*,1.0,3.0,69.4933,63.0144,19.67553,31000000000.0,0.10795,0.53975,0.002865
2s2.2p4,1S,0.0,1.0,13.7357,2s.2p5,1P*,1.0,3.0,69.4933,55.7576,22.23629,4600000000.0,0.1023,0.1023,0.002715
