Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Reference
"=""2s2.2p""","=""2P*""","=""1/2""",2,"=""""","=""0.0000""","=""""","=""0""","=""L7147"""
"=""2s2.2p""","=""2P*""","=""3/2""",4,"=""""","=""1.2025""","=""""","=""""","="""""
"=""2s.2p2""","=""4P""","=""1/2""",2,"=""""","=""21.9671""","=""+x""","=""""","="""""
"=""2s.2p2""","=""4P""","=""3/2""",4,"=""""","=""22.4005""","=""+x""","=""""","="""""
"=""2s.2p2""","=""4P""","=""5/2""",6,"=""""","=""23.015""","=""+x""","=""""","="""""
"=""2s.2p2""","=""2D""","=""3/2""",4,"=""""","=""39.2791""","=""""","=""""","="""""
"=""2s.2p2""","=""2D""","=""5/2""",6,"=""""","=""39.2912""","=""""","=""""","="""""
"=""2s.2p2""","=""2S""","=""1/2""",2,"=""""","=""50.0056""","=""""","=""""","="""""
"=""2s.2p2""","=""2P""","=""1/2""",2,"=""""","=""52.9260""","=""""","=""""","="""""
"=""2s.2p2""","=""2P""","=""3/2""",4,"=""""","=""53.581""","=""""","=""""","="""""
"=""2p3""","=""4S*""","=""3/2""",4,"=""""","=""69.3038""","=""+x""","=""""","="""""
"=""2p3""","=""2D*""","=""3/2""",4,"=""""","=""78.3532""","=""""","=""""","="""""
"=""2p3""","=""2D*""","=""5/2""",6,"=""""","=""78.3783""","=""""","=""""","="""""
"=""2p3""","=""2P*""","=""1/2""",2,"=""""","=""87.9874""","=""""","=""""","="""""
"=""2p3""","=""2P*""","=""3/2""",4,"=""""","=""88.1216""","=""""","=""""","="""""
"=""2s2.3s""","=""2S""","=""1/2""",2,"=""""","=""269.549""","=""?""","=""""","="""""
"=""2s2.3d""","=""2D""","=""3/2""",4,"=""""","=""291.049""","=""""","=""""","="""""
"=""2s2.3d""","=""2D""","=""5/2""",6,"=""""","=""291.129""","=""""","=""""","="""""
"=""2s.2p.(3P*).3p""","=""2P""","=""1/2""",2,"=""""","=""""","=""""","=""""","="""""
"=""2s.2p.(3P*).3p""","=""2P""","=""3/2""",4,"=""""","=""302.68""","=""?""","=""""","="""""
"=""2s.2p.(3P*).3p""","=""2S""","=""1/2""",2,"=""""","=""311.87""","=""""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""4D*""","=""1/2""",2,"=""""","=""""","=""""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""4D*""","=""5/2""",6,"=""""","=""314.32""","=""+x""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""4D*""","=""3/2""",4,"=""""","=""314.32""","=""+x""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""4D*""","=""7/2""",8,"=""""","=""314.86""","=""+x""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""2D*""","=""3/2""",4,"=""""","=""314.77""","=""?""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""2D*""","=""5/2""",6,"=""""","=""314.90""","=""""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""4P*""","=""1/2""",2,"=""""","=""""","=""""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""4P*""","=""5/2""",6,"=""""","=""315.769""","=""+x""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""4P*""","=""3/2""",4,"=""""","=""316.01""","=""+x?""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""2F*""","=""5/2""",6,"=""""","=""319.58""","=""""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""2F*""","=""7/2""",8,"=""""","=""320.34""","=""""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""2P*""","=""3/2""",4,"=""""","=""321.026""","=""""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""2P*""","=""1/2""",2,"=""""","=""321.37""","=""""","=""""","="""""
"=""2s.2p.(1P*).3d""","=""2F*""","=""5/2""",6,"=""""","=""334.50""","=""""","=""""","="""""
"=""2s.2p.(1P*).3d""","=""2F*""","=""7/2""",8,"=""""","=""334.50""","=""""","=""""","="""""
"=""2s.2p.(1P*).3d""","=""2D*""","=""3/2""",4,"=""""","=""335.94""","=""""","=""""","="""""
"=""2s.2p.(1P*).3d""","=""2D*""","=""5/2""",6,"=""""","=""336.05""","=""""","=""""","="""""
"=""2p2.(3P).3d""","=""4P""","=""1/2""",2,"=""""","=""""","=""""","=""""","="""""
"=""2p2.(3P).3d""","=""4P""","=""5/2""",6,"=""""","=""354.14""","=""+x?""","=""""","="""""
"=""2p2.(3P).3d""","=""4P""","=""3/2""",4,"=""""","=""354.403""","=""+x?""","=""""","="""""
"=""2s2.4d""","=""2D""","=""3/2""",4,"=""""","=""374.01""","=""""","=""""","="""""
"=""2s2.4d""","=""2D""","=""5/2""",6,"=""""","=""374.20""","=""""","=""""","="""""
"=""2s.2p.(3P*).4d""","=""4D*""","=""7/2""",8,"=""""","=""398.27""","=""+x?""","=""""","="""""
"=""2s.2p.(3P*).4d""","=""2F*""","=""5/2""",6,"=""""","=""400.01""","=""?""","=""""","="""""
"=""2s.2p.(3P*).4d""","=""2F*""","=""7/2""",8,"=""""","=""400.56""","=""?""","=""""","="""""
"=""2s2.5d""","=""2D""","=""5/2""",6,"=""""","=""412.42""","=""""","=""""","="""""
"=""2s.2p.(1P*).4d""","=""2F*""","=""7/2""",8,"=""""","=""418.79""","=""?""","=""""","="""""
"=""P XII (2s2 1S<0>)""","=""Limit""","=""---""",,"=""[""","=""479.44""","=""]""","=""0.05""","=""L11770"""
