obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""4.25991""","=""""","=""1.2e+12""",C,"=""0.0000""","=""291.049""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s2.3d""","=""2D""","=""3/2""",2,4,,"=""T1619interp,LS""","=""""",
"=""""","=""4.27641""","=""""","=""1.4e+12""",C,"=""1.2025""","=""291.129""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.3d""","=""2D""","=""5/2""",4,6,,"=""T1619interp,LS""","=""""",
"=""""","=""4.27758""","=""""","=""2.300e+11""",D,"=""1.2025""","=""291.049""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.3d""","=""2D""","=""3/2""",4,4,,"=""T1619interp,LS""","=""""",
"=""""","=""4.59969""","=""""","=""7.00e+10""",D,"=""0.0000""","=""269.549?""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s2.3s""","=""2S""","=""1/2""",2,2,,"=""T1619interp,LS""","=""""",
"=""""","=""4.62030""","=""""","=""1.400e+11""",C,"=""1.2025""","=""269.549?""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.3s""","=""2S""","=""1/2""",4,2,,"=""T1619interp,LS""","=""""",
"=""""","=""23.1396""","=""""","=""3.4e+09""",E,"=""0.0000""","=""53.581""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s.2p2""","=""2P""","=""3/2""",2,4,,"=""T833LS""","=""""",
"=""""","=""23.4260""","=""""","=""1.30e+10""",D+,"=""0.0000""","=""52.9260""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s.2p2""","=""2P""","=""1/2""",2,2,,"=""T833LS""","=""""",
"=""""","=""23.6708""","=""""","=""1.60e+10""",D+,"=""1.2025""","=""53.581""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s.2p2""","=""2P""","=""3/2""",4,4,,"=""T833LS""","=""""",
"=""""","=""23.9706""","=""""","=""6.1e+09""",E,"=""1.2025""","=""52.9260""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s.2p2""","=""2P""","=""1/2""",4,2,,"=""T833LS""","=""""",
"=""""","=""24.7941""","=""""","=""3.8e+09""",D,"=""0.0000""","=""50.0056""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s.2p2""","=""2S""","=""1/2""",2,2,,"=""T833LS""","=""""",
"=""""","=""25.4050""","=""""","=""6.8e+09""",D+,"=""1.2025""","=""50.0056""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s.2p2""","=""2S""","=""1/2""",4,2,,"=""T833LS""","=""""",
"=""""","=""26.1920""","=""""","=""3.1e+09""",D+,"=""21.9671+x""","=""69.3038+x""","=""2s.2p2""","=""4P""","=""1/2""","=""2p3""","=""4S*""","=""3/2""",2,4,,"=""T833LS""","=""""",
"=""""","=""26.4340""","=""""","=""6.3e+09""",D+,"=""22.4005+x""","=""69.3038+x""","=""2s.2p2""","=""4P""","=""3/2""","=""2p3""","=""4S*""","=""3/2""",4,4,,"=""T833LS""","=""""",
"=""""","=""26.7850""","=""""","=""8.9e+09""",D+,"=""23.015+x""","=""69.3038+x""","=""2s.2p2""","=""4P""","=""5/2""","=""2p3""","=""4S*""","=""3/2""",6,4,,"=""T833LS""","=""""",
"=""""","=""31.5650""","=""""","=""2.3e+09""",D,"=""0.0000""","=""39.2791""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s.2p2""","=""2D""","=""3/2""",2,4,,"=""T833LS""","=""""",
"=""""","=""32.5514""","=""""","=""2.6e+09""",D,"=""1.2025""","=""39.2912""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s.2p2""","=""2D""","=""5/2""",4,6,,"=""T833LS""","=""""",
"=""""","=""32.5618""","=""""","=""4.3e+08""",E,"=""1.2025""","=""39.2791""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s.2p2""","=""2D""","=""3/2""",4,4,,"=""T833LS""","=""""",
"=""""","=""1031.0""","=""""","=""8.19e+00""",A,"=""0.0000""","=""1.2025""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s2.2p""","=""2P*""","=""3/2""",2,4,M1,"=""T335""","=""""",
