conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
2s2.2p,2P*,0.5,2.0,0.0,2s2.2p,2P*,1.5,4.0,1.2025,1.2025,1031.05362,8.19,2.6106e-07,5.2211e-07,6.9285e-09
2s2.2p,2P*,0.5,2.0,0.0,2s.2p2,2D,1.5,4.0,39.2791,39.2791,31.56493,2300000000.0,0.068711,0.13742,0.0018236
2s2.2p,2P*,0.5,2.0,0.0,2s.2p2,2S,0.5,2.0,50.0056,50.0056,24.79406,3800000000.0,0.035022,0.070044,0.00092948
2s2.2p,2P*,0.5,2.0,0.0,2s.2p2,2P,0.5,2.0,52.926,52.926,23.42595,13000000000.0,0.10695,0.21391,0.0028386
2s2.2p,2P*,0.5,2.0,0.0,2s.2p2,2P,1.5,4.0,53.581,53.581,23.13958,3400000000.0,0.054586,0.10917,0.0014487
2s2.2p,2P*,0.5,2.0,0.0,2s2.3s,2S,0.5,2.0,269.549,269.549,4.59969,70000000000.0,0.022203,0.044406,0.00058927
2s2.2p,2P*,0.5,2.0,0.0,2s2.3d,2D,1.5,4.0,291.049,291.049,4.25991,1200000000000.0,0.65294,1.3059,0.017329
2s2.2p,2P*,1.5,4.0,1.2025,2s.2p2,2D,1.5,4.0,39.2791,38.0766,32.56178,430000000.0,0.0068351,0.02734,0.0001814
2s2.2p,2P*,1.5,4.0,1.2025,2s.2p2,2D,2.5,6.0,39.2912,38.0887,32.55144,2600000000.0,0.061953,0.24781,0.0016442
2s2.2p,2P*,1.5,4.0,1.2025,2s.2p2,2S,0.5,2.0,50.0056,48.8031,25.40498,6800000000.0,0.032899,0.13159,0.00087313
2s2.2p,2P*,1.5,4.0,1.2025,2s.2p2,2P,0.5,2.0,52.926,51.7235,23.97057,6100000000.0,0.026273,0.10509,0.0006973
2s2.2p,2P*,1.5,4.0,1.2025,2s.2p2,2P,1.5,4.0,53.581,52.3785,23.67082,16000000000.0,0.1344,0.53761,0.003567
2s2.2p,2P*,1.5,4.0,1.2025,2s2.3s,2S,0.5,2.0,269.549,268.3465,4.6203,140000000000.0,0.022403,0.08961,0.00059456
2s2.2p,2P*,1.5,4.0,1.2025,2s2.3d,2D,1.5,4.0,291.049,289.8465,4.27758,230000000000.0,0.063093,0.25237,0.0016745
2s2.2p,2P*,1.5,4.0,1.2025,2s2.3d,2D,2.5,6.0,291.129,289.9265,4.2764,1400000000000.0,0.57575,2.303,0.01528
2s.2p2,4P,0.5,2.0,21.9671,2p3,4S*,1.5,4.0,69.3038,47.3367,26.19198,3100000000.0,0.063766,0.12753,0.0016923
2s.2p2,4P,1.5,4.0,22.4005,2p3,4S*,1.5,4.0,69.3038,46.9033,26.434,6300000000.0,0.065997,0.26399,0.0017516
2s.2p2,4P,2.5,6.0,23.015,2p3,4S*,1.5,4.0,69.3038,46.2888,26.78492,8900000000.0,0.063817,0.3829,0.0016937
