Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""6s2.6p2""","=""(1/2,1/2)""","=""0""",1,"=""""","=""0.0000000""","=""""","=""0.0000004""","=""         or  :                   3P   ""","=""L50"""
"=""6s2.6p2""","=""(3/2,1/2)""","=""1""",3,"=""""","=""0.96946501""","=""""","=""0.00000014""","=""         or  :                   3P   ""","=""L50"""
"=""6s2.6p2""","=""(3/2,1/2)""","=""2""",5,"=""""","=""1.32047227""","=""""","=""0.00000010""","=""         or  :                   3P   ""","=""L50"""
"=""6s2.6p2""","=""(3/2,3/2)""","=""2""",5,"=""""","=""2.66042791""","=""""","=""0.00000007""","=""         or  :                   1D   ""","=""L50"""
"=""6s2.6p2""","=""(3/2,3/2)""","=""0""",1,"=""""","=""3.65342134""","=""""","=""0.00000009""","=""         or  :                   1S   ""","=""L50"""
"=""6s2.6p.7s""","=""(1/2,1/2)*""","=""0""",1,"=""""","=""4.33447622""","=""""","=""0.00000006""","=""         or  :                   3P*  ""","=""L50"""
"=""6s2.6p.7s""","=""(1/2,1/2)*""","=""1""",3,"=""""","=""4.37505823""","=""""","=""0.00000005""","=""         or  :                   3P*  ""","=""L50"""
"=""6s2.6p.7p""","=""(1/2,1/2)""","=""1""",3,"=""""","=""5.32123360""","=""""","=""0.00000009""","=""         or  :                   3P   ""","=""L50"""
"=""6s2.6p.7p""","=""(1/2,1/2)""","=""0""",1,"=""""","=""5.50500873""","=""""","=""0.00000020""","=""         or  :                   3P   ""","=""L50"""
"=""6s2.6p.7p""","=""(1/2,3/2)""","=""1""",3,"=""""","=""5.53899232""","=""""","=""0.00000009""","=""         or  :                   3D   ""","=""L50"""
"=""6s2.6p.7p""","=""(1/2,3/2)""","=""2""",5,"=""""","=""5.55565303""","=""""","=""0.00000012""","=""         or  :                   3D   ""","=""L50"""
"=""6s2.6p.(2P*<1/2>).6d""","=""2[5/2]*""","=""2""",5,"=""""","=""5.63423513""","=""""","=""0.00000015""","=""         or  :        6s2.6p.6d  3F*  ""","=""L50"""
"=""6s2.6p.(2P*<1/2>).6d""","=""2[5/2]*""","=""3""",7,"=""""","=""5.74402262""","=""""","=""0.00000017""","=""         or  :        6s2.6p.6d  3F*  ""","=""L50"""
"=""6s2.6p.(2P*<1/2>).6d""","=""2[3/2]*""","=""2""",5,"=""""","=""5.71081588""","=""""","=""0.00000017""","=""         or  :        6s2.6p.6d  3D*  ""","=""L50"""
"=""6s2.6p.(2P*<1/2>).6d""","=""2[3/2]*""","=""1""",3,"=""""","=""5.71175842""","=""""","=""0.00000016""","=""         or  :        6s2.6p.6d  3D*  ""","=""L50"""
"=""6s2.6p.7s""","=""(3/2,1/2)*""","=""2""",5,"=""""","=""5.97462861""","=""""","=""0.00000021""","=""         or  :                   3P*  ""","=""L50"""
"=""6s2.6p.7s""","=""(3/2,1/2)*""","=""1""",3,"=""""","=""6.12973122""","=""""","=""0.00000011""","=""         or  :                   1P*  ""","=""L50"""
"=""6s2.6p.8s""","=""(1/2,1/2)*""","=""1""",3,"=""""","=""6.03641049""","=""""","=""0.00000011""","=""         or  :                   3P*  ""","=""L50"""
"=""6s2.6p.8s""","=""(1/2,1/2)*""","=""0""",1,"=""""","=""6.0412865""","=""""","=""0.0000004""","=""                                      ""","=""L50"""
