spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
Pb I,Pb,0,6s2.6p2,"(1/2,1/2)",0.0,1,0.0,4e-07,even,,no,7.4166799,,,,,,,,,,L50
Pb I,Pb,0,6s2.6p2,"(3/2,1/2)",1.0,3,0.96946501,1.4e-07,even,,no,7.4166799,,,,,,,,,,L50
Pb I,Pb,0,6s2.6p2,"(3/2,1/2)",2.0,5,1.32047227,1e-07,even,,no,7.4166799,,,,,,,,,,L50
Pb I,Pb,0,6s2.6p2,"(3/2,3/2)",2.0,5,2.66042791,7e-08,even,,no,7.4166799,,,,,,,,,,L50
Pb I,Pb,0,6s2.6p2,"(3/2,3/2)",0.0,1,3.65342134,9e-08,even,,no,7.4166799,,,,,,,,,,L50
Pb I,Pb,0,6s2.6p.7s,"(1/2,1/2)*",0.0,1,4.33447622,6e-08,odd,,no,7.4166799,7.299270072992701e-09,"ASD 1/sum(Aki), J-resolved",7.299270072992701e-09,1/1,yes,3.36501121,3.36501121,,,L50
Pb I,Pb,0,6s2.6p.7s,"(1/2,1/2)*",1.0,3,4.37505823,5e-08,odd,,no,7.4166799,5.819028222286878e-09,"ASD 1/sum(Aki), J-resolved",5.819028222286878e-09,4/4,yes,3.05458596,4.37505823,,,L50
Pb I,Pb,0,6s2.6p.7p,"(1/2,1/2)",1.0,3,5.3212336,9e-08,even,,no,7.4166799,,,,,,,,,,L50
Pb I,Pb,0,6s2.6p.7p,"(1/2,1/2)",0.0,1,5.50500873,2e-07,even,,no,7.4166799,,,,,,,,,,L50
Pb I,Pb,0,6s2.6p.7p,"(1/2,3/2)",1.0,3,5.53899232,9e-08,even,,no,7.4166799,,,,,,,,,,L50
Pb I,Pb,0,6s2.6p.7p,"(1/2,3/2)",2.0,5,5.55565303,1.2e-07,even,,no,7.4166799,,,,,,,,,,L50
Pb I,Pb,0,6s2.6p.(2P*<1/2>).6d,2[5/2]*,2.0,5,5.63423513,1.5e-07,odd,,no,7.4166799,2.544658761260115e-08,"ASD 1/sum(Aki), J-resolved",2.544658761260115e-08,3/3,yes,4.313762860000001,4.66477012,,,L50
Pb I,Pb,0,6s2.6p.(2P*<1/2>).6d,2[5/2]*,3.0,7,5.74402262,1.7e-07,odd,,no,7.4166799,6.0790273556231e-09,"ASD 1/sum(Aki), J-resolved",6.0790273556231e-09,2/2,yes,4.42355035,4.42355035,,,L50
Pb I,Pb,0,6s2.6p.(2P*<1/2>).6d,2[3/2]*,2.0,5,5.71081588,1.7e-07,odd,,no,7.4166799,4.444444444444444e-09,"ASD 1/sum(Aki), J-resolved",4.444444444444444e-09,2/2,yes,4.74135087,4.74135087,,,L50
Pb I,Pb,0,6s2.6p.(2P*<1/2>).6d,2[3/2]*,1.0,3,5.71175842,1.6e-07,odd,,no,7.4166799,3.831417624521072e-09,"ASD 1/sum(Aki), J-resolved",3.831417624521072e-09,3/4,no,5.71175842,5.71175842,,,L50
Pb I,Pb,0,6s2.6p.7s,"(3/2,1/2)*",2.0,5,5.97462861,2.1e-07,odd,,no,7.4166799,6.024096385542168e-09,"ASD 1/sum(Aki), J-resolved",6.024096385542168e-09,3/3,yes,3.3142006999999998,5.0051635999999995,,,L50
