Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Reference
"=""6s2.6p""","=""2P*""","=""1/2""",2,"=""""","=""0.0000000""","=""""","=""0""","=""L2579"""
"=""6s2.6p""","=""2P*""","=""3/2""",4,"=""""","=""1.7458307""","=""""","=""""","=""L2579"""
"=""6s.6p2""","=""4P""","=""1/2""",2,"=""""","=""7.179984""","=""""","=""""","=""L2579"""
"=""6s.6p2""","=""4P""","=""3/2""",4,"=""""","=""8.198397""","=""""","=""""","=""L2579"""
"=""6s.6p2""","=""4P""","=""5/2""",6,"=""""","=""9.1631400""","=""""","=""""","=""L2579"""
"=""6s2.7s""","=""2S""","=""1/2""",2,"=""""","=""7.370682""","=""""","=""""","=""L2579"""
"=""6s2.6d""","=""2D""","=""5/2""",6,"=""""","=""8.5504847""","=""""","=""""","=""L2579"""
"=""6s2.6d""","=""2D""","=""3/2""",4,"=""""","=""8.6466088""","=""""","=""""","=""L2579"""
"=""6s2.7p""","=""2P*""","=""1/2""",2,"=""""","=""9.231738""","=""""","=""""","=""L2579"""
"=""6s2.7p""","=""2P*""","=""3/2""",4,"=""""","=""9.580578""","=""""","=""""","=""L2579"""
"=""6s.6p2""","=""2D""","=""3/2""",4,"=""""","=""10.3010""","=""""","=""""","=""L3466"""
"=""6s.6p2""","=""2D""","=""5/2""",6,"=""""","=""11.031142""","=""""","=""""","=""L2579"""
"=""6s.6p2""","=""2P""","=""1/2""",2,"=""""","=""10.9414""","=""""","=""""","=""L3466"""
"=""6s.6p2""","=""2P""","=""3/2""",4,"=""""","=""12.9773""","=""""","=""""","=""L3466"""
"=""6s2.8s""","=""2S""","=""1/2""",2,"=""""","=""11.056933""","=""""","=""""","=""L2579"""
"=""6s2.5f""","=""2F*""","=""7/2""",8,"=""""","=""11.470428""","=""""","=""""","=""L2579"""
"=""6s2.5f""","=""2F*""","=""5/2""",6,"=""""","=""11.472340""","=""""","=""""","=""L2579"""
"=""6s2.7d""","=""2D""","=""3/2""",4,"=""""","=""11.689798""","=""""","=""""","=""L2579"""
"=""6s2.7d""","=""2D""","=""5/2""",6,"=""""","=""11.816221""","=""""","=""""","=""L2579"""
"=""6s2.8p""","=""2P*""","=""1/2""",2,"=""""","=""11.7880""","=""""","=""""","=""L3466"""
"=""6s2.8p""","=""2P*""","=""3/2""",4,"=""""","=""11.9320""","=""""","=""""","=""L3466"""
"=""6s2.9s""","=""2S""","=""1/2""",2,"=""""","=""12.5653""","=""""","=""""","=""L3466"""
"=""6s2.6f""","=""2F*""","=""7/2""",8,"=""""","=""12.7540""","=""""","=""""","=""L3466"""
"=""6s2.6f""","=""2F*""","=""5/2""",6,"=""""","=""12.7556""","=""""","=""""","=""L3466"""
"=""6s2.8d""","=""2D""","=""3/2""",4,"=""""","=""12.8192""","=""""","=""""","=""L3466"""
"=""6s2.8d""","=""2D""","=""5/2""",6,"=""""","=""12.9179""","=""""","=""""","=""L3466"""
"=""6s2.5g""","=""2G""","=""7/2,9/2""",18,"=""""","=""12.8397""","=""""","=""""","=""L3466"""
"=""6s.6p2""","=""2S""","=""1/2""",2,"=""""","=""12.9312""","=""""","=""""","=""L3466"""
"=""6s2.9p""","=""2P*""","=""1/2""",2,"=""""","=""12.9467""","=""""","=""""","=""L3466"""
"=""6s2.9p""","=""2P*""","=""3/2""",4,"=""""","=""13.0208""","=""""","=""""","=""L3466"""
"=""6s2.10s""","=""2S""","=""1/2""",2,"=""""","=""13.3816""","=""""","=""""","=""L3466"""
"=""6s2.7f""","=""2F*""","=""7/2""",8,"=""""","=""13.4559""","=""""","=""""","=""L3466"""
"=""6s2.7f""","=""2F*""","=""5/2""",6,"=""""","=""13.4570""","=""""","=""""","=""L3466"""
"=""6s2.6g""","=""2G""","=""9/2""",18,"=""""","=""13.510506""","=""""","=""""","=""L2579"""
"=""6s2.6g""","=""2G""","=""7/2""",8,"=""""","=""13.510517""","=""""","=""""","=""L2579"""
"=""6s2.9d""","=""2D""","=""3/2""",4,"=""""","=""13.5461""","=""""","=""""","=""L3466"""
