conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
4p6.5s,2S,0.5,2.0,0.0,4p6.5p,2P*,0.5,2.0,1.559591,1.559591,794.97891,36140000.0,0.34242,0.68484,0.0090878
4p6.5s,2S,0.5,2.0,0.0,4p6.5p,2P*,1.5,4.0,1.589049,1.589049,780.24148,38120000.0,0.69583,1.3917,0.018467
4p6.5s,2S,0.5,2.0,0.0,4p6.6p,2P*,0.5,2.0,2.940295,2.940295,421.67261,1500000.0,0.0039985,0.0079971,0.00010612
4p6.5s,2S,0.5,2.0,0.0,4p6.6p,2P*,1.5,4.0,2.949905,2.949905,420.29891,1770000.0,0.0093752,0.01875,0.00024882
4p6.5s,2S,0.5,2.0,0.0,4p6.7p,2P*,0.5,2.0,3.451103,3.451103,359.25967,289000.0,0.00055921,0.0011184,1.4841e-05
4p6.5s,2S,0.5,2.0,0.0,4p6.7p,2P*,1.5,4.0,3.455453,3.455453,358.80734,396000.0,0.0015286,0.0030573,4.057e-05
4p6.5s,2S,0.5,2.0,0.0,4p6.8p,2P*,0.5,2.0,3.699061,3.699061,335.17748,89100.0,0.00015007,0.00030014,3.9828e-06
4p6.5s,2S,0.5,2.0,0.0,4p6.8p,2P*,1.5,4.0,3.701398,3.701398,334.96585,137000.0,0.0004609,0.00092181,1.2232e-05
4p6.5s,2S,0.5,2.0,0.0,4p6.9p,2P*,0.5,2.0,3.838416,3.838416,323.00879,38400.0,6.0065e-05,0.00012013,1.5941e-06
4p6.5s,2S,0.5,2.0,0.0,4p6.9p,2P*,1.5,4.0,3.839814,3.839814,322.89114,64000.0,0.00020007,0.00040014,5.3099e-06
4p6.5s,2S,0.5,2.0,0.0,4p6.10p,2P*,0.5,2.0,3.924577,3.924577,315.91734,20100.0,3.0075e-05,6.015e-05,7.9818e-07
4p6.5s,2S,0.5,2.0,0.0,4p6.10p,2P*,1.5,4.0,3.925483,3.925483,315.8444,33800.0,0.0001011,0.0002022,2.6832e-06
4p6.5s,2S,0.5,2.0,0.0,4p6.11p,2P*,0.5,2.0,3.981573,3.981573,311.39503,12700.0,1.8462e-05,3.6925e-05,4.8999e-07
4p6.5s,2S,0.5,2.0,0.0,4p6.11p,2P*,1.5,4.0,3.982189,3.982189,311.34685,25100.0,7.2955e-05,0.00014591,1.9362e-06
4p6.5s,2S,0.5,2.0,0.0,4p6.12p,2P*,0.5,2.0,4.021241,4.021241,308.32322,6980.0,9.9478e-06,1.9896e-05,2.6401e-07
4p6.5s,2S,0.5,2.0,0.0,4p6.12p,2P*,1.5,4.0,4.02168,4.02168,308.28957,14900.0,4.2461e-05,8.4923e-05,1.1269e-06
4p6.5s,2S,0.5,2.0,0.0,4p6.13p,2P*,0.5,2.0,4.049948,4.049948,306.13775,4510.0,6.3368e-06,1.2674e-05,1.6818e-07
4p6.5s,2S,0.5,2.0,0.0,4p6.13p,2P*,1.5,4.0,4.05027,4.05027,306.11342,10500.0,2.9501e-05,5.9003e-05,7.8297e-07
4p6.5s,2S,0.5,2.0,0.0,4p6.14p,2P*,0.5,2.0,4.071396,4.071396,304.52503,3720.0,5.1719e-06,1.0344e-05,1.3726e-07
4p6.5s,2S,0.5,2.0,0.0,4p6.14p,2P*,1.5,4.0,4.071644,4.071644,304.50648,8200.0,2.2798e-05,4.5596e-05,6.0506e-07
4p6.5s,2S,0.5,2.0,0.0,4p6.15p,2P*,0.5,2.0,4.087841,4.087841,303.29995,2490.0,3.434e-06,6.8681e-06,9.1139e-08
4p6.5s,2S,0.5,2.0,0.0,4p6.15p,2P*,1.5,4.0,4.088031,4.088031,303.28586,4930.0,1.3597e-05,2.7194e-05,3.6086e-07
4p6.5s,2S,0.5,2.0,0.0,4p6.16p,2P*,0.5,2.0,4.100727,4.100727,302.34687,1770.0,2.4257e-06,4.8515e-06,6.4379e-08
4p6.5s,2S,0.5,2.0,0.0,4p6.16p,2P*,1.5,4.0,4.10088,4.10088,302.33559,4120.0,1.1292e-05,2.2584e-05,2.9969e-07
4p6.5s,2S,0.5,2.0,0.0,4p6.17p,2P*,0.5,2.0,4.111011,4.111011,301.59053,1390.0,1.8954e-06,3.7909e-06,5.0305e-08
4p6.5s,2S,0.5,2.0,0.0,4p6.17p,2P*,1.5,4.0,4.111135,4.111135,301.58143,3260.0,8.8903e-06,1.7781e-05,2.3595e-07
4p6.5s,2S,0.5,2.0,0.0,4p6.18p,2P*,0.5,2.0,4.119354,4.119354,300.97971,1050.0,1.426e-06,2.852e-06,3.7846e-08
4p6.5s,2S,0.5,2.0,0.0,4p6.18p,2P*,1.5,4.0,4.119458,4.119458,300.97211,2640.0,7.1704e-06,1.4341e-05,1.903e-07
4p6.5s,2S,0.5,2.0,0.0,4p6.19p,2P*,0.5,2.0,4.12621,4.12621,300.47961,870.0,1.1776e-06,2.3553e-06,3.1254e-08
4p6.5s,2S,0.5,2.0,0.0,4p6.19p,2P*,1.5,4.0,4.126295,4.126295,300.47342,2050.0,5.5495e-06,1.1099e-05,1.4728e-07
4p6.5s,2S,0.5,2.0,0.0,4p6.20p,2P*,0.5,2.0,4.131914,4.131914,300.06481,570.0,7.6942e-07,1.5388e-06,2.042e-08
4p6.5p,2P*,0.5,2.0,1.559591,4p6.6d,2D,1.5,4.0,3.55675,1.997159,620.80273,2948000.0,0.034066,0.068132,0.00090412
4p6.5p,2P*,1.5,4.0,1.589049,4p6.6d,2D,1.5,4.0,3.55675,1.967701,630.09663,630000.0,0.0037499,0.014999,9.9521e-05
4p6.5p,2P*,1.5,4.0,1.589049,4p6.6d,2D,2.5,6.0,3.557031,1.967982,630.00679,3712000.0,0.033132,0.13253,0.00087933
4p5.5s.5p,4S,1.5,4.0,16.64489,4p5.4d.(3D).5s,2D*,1.5,4.0,18.46174,1.81685,682.41296,107000.0,0.00074703,0.0029881,1.9826e-05
4p5.5s.5p,4S,1.5,4.0,16.64489,4p5.5s.6s,4P*,2.5,6.0,18.67066,2.02577,612.03492,29700000.0,0.25018,1.0007,0.0066399
4p5.5s.5p,4S,1.5,4.0,16.64489,4p5.5s.6s,4P*,1.5,4.0,18.76005,2.11516,586.16936,9710000.0,0.050018,0.20007,0.0013275
4p5.5s.5p,4S,1.5,4.0,16.64489,4p5.5s.(1P).6s,2P*,0.5,2.0,18.88453,2.23964,553.58986,3270000.0,0.007512,0.030048,0.00019937
4p5.5s.5p,4S,1.5,4.0,16.64489,4p5.5p2,4D*,2.5,6.0,19.02054,2.37565,521.8959,2860000.0,0.017518,0.070072,0.00046493
