Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""4p6""","=""1S""","=""0""",1,"=""""","=""0.000000""","=""""","=""0.000014""","=""                                  ""","=""L9039"""
"=""4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""",5,"=""""","=""16.5322523""","=""""","=""0.0000020""","=""  96                              ""","=""L9039"""
"=""4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""",3,"=""""","=""16.7217180""","=""""","=""0.0000020""","=""  91                              ""","=""L9039"""
"=""4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""0""",1,"=""""","=""17.2083100""","=""""","=""0.0000019""","=""  52                              ""","=""L9039"""
"=""4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""",3,"=""""","=""17.4334240""","=""""","=""0.0000012""","=""  49                              ""","=""L9039"""
"=""4p5.4d""","=""3P*""","=""0""",1,"=""""","=""17.7325096""","=""""","=""0.0000012""","=""  52         :    48  4p5.5s 3P   ""","=""L9039"""
"=""4p5.4d""","=""3P*""","=""1""",3,"=""""","=""17.7870182""","=""""","=""0.0000020""","=""  52         :    31  4p5.5s 3P   ""","=""L9039"""
"=""4p5.4d""","=""3P*""","=""2""",5,"=""""","=""17.8482533""","=""""","=""0.0000012""","=""  89         :     5  4p5.4d 3D   ""","=""L9039"""
"=""4p5.4d""","=""3F*""","=""4""",9,"=""""","=""18.0119430""","=""""","=""0.0000012""","="" 100                              ""","=""L9039"""
"=""4p5.4d""","=""3F*""","=""3""",7,"=""""","=""18.2049213""","=""""","=""0.0000011""","=""  86         :     9  4p5.4d 1F   ""","=""L9039"""
"=""4p5.4d""","=""3F*""","=""2""",5,"=""""","=""18.4348031""","=""""","=""0.0000017""","=""  75         :    15  4p5.4d 1D   ""","=""L9039"""
"=""4p5.4d""","=""3D*""","=""3""",7,"=""""","=""18.830352""","=""""","=""0.000004""","=""  56         :    44  4p5.4d 1F   ""","=""L9039"""
"=""4p5.4d""","=""3D*""","=""1""",3,"=""""","=""19.2558396""","=""""","=""0.0000015""","=""  94         :     4  4p5.4d 1P   ""","=""L9039"""
"=""4p5.4d""","=""3D*""","=""2""",5,"=""""","=""19.4111657""","=""""","=""0.0000025""","=""  56         :    36  4p5.4d 1D   ""","=""L9039"""
"=""4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""",3,"=""""","=""19.1275357""","=""""","=""0.0000011""","=""  93                              ""","=""L9039"""
"=""4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""0""",1,"=""""","=""19.9862740""","=""""","=""0.0000017""","=""  90                              ""","=""L9039"""
"=""4p5.4d""","=""1D*""","=""2""",5,"=""""","=""19.225427""","=""""","=""0.000004""","=""  46         :    29  4p5.4d 3D   ""","=""L9039"""
"=""4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""",5,"=""""","=""19.4329127""","=""""","=""0.0000012""","=""  90                              ""","=""L9039"""
"=""4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""3""",7,"=""""","=""19.4525611""","=""""","=""0.0000010""","="" 100                              ""","=""L9039"""
"=""4p5.4d""","=""1F*""","=""3""",7,"=""""","=""19.482490""","=""""","=""0.000004""","=""  47         :    39  4p5.4d 3D   ""","=""L9039"""
"=""4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""1""",3,"=""""","=""19.6083075""","=""""","=""0.0000009""","=""  97                              ""","=""L9039"""
"=""4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""2""",5,"=""""","=""19.6777620""","=""""","=""0.0000009""","=""  90                              ""","=""L9039"""
"=""4p5.(2P*<1/2>).5p""","=""2[3/2]""","=""1""",3,"=""""","=""20.3240539""","=""""","=""0.0000025""","=""  95                              ""","=""L9039"""
"=""4p5.(2P*<1/2>).5p""","=""2[3/2]""","=""2""",5,"=""""","=""20.4534261""","=""""","=""0.0000015""","=""  99                              ""","=""L9039"""
"=""4p5.(2P*<1/2>).5p""","=""2[1/2]""","=""1""",3,"=""""","=""20.4684992""","=""""","=""0.0000014""","=""  91                              ""","=""L9039"""
"=""4p5.(2P*<1/2>).5p""","=""2[1/2]""","=""0""",1,"=""""","=""20.7837732""","=""""","=""0.0000012""","=""  90                              ""","=""L9039"""
"=""4p5.4d""","=""1P*""","=""1""",3,"=""""","=""21.0349776""","=""""","=""0.0000011""","=""  96         :     4  4p5.4d 3D   ""","=""L9039"""
"=""4p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""2""",5,"=""""","=""22.2843152""","=""""","=""0.0000020""","=""  99                              ""","=""L9039"""
"=""4p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""1""",3,"=""""","=""22.3380312""","=""""","=""0.0000014""","=""  99                              ""","=""L9039"""
"=""4p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""0""",1,"=""""","=""22.7805578""","=""""","=""0.0000025""","=""  98                              ""","=""L9039"""
"=""4p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""1""",3,"=""""","=""22.8379543""","=""""","=""0.0000016""","=""  63                              ""","=""L9039"""
"=""4p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""4""",9,"=""""","=""22.8949704""","=""""","=""0.0000025""","="" 100                              ""","=""L9039"""
"=""4p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""3""",7,"=""""","=""22.9527952""","=""""","=""0.0000015""","=""  79                              ""","=""L9039"""
"=""4p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""2""",5,"=""""","=""22.9168545""","=""""","=""0.0000014""","=""  97                              ""","=""L9039"""
