obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""55.8755""","=""0.0005""","=""55.8755""","=""0.0005""","=""860000g""","=""""",,"=""0.000000""","=""22.18937""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p2.(3P).7d""","=""4P""","=""1/2""",4,2,,"=""""","=""L5883""",
"=""55.8924""","=""0.0005""","=""55.8924""","=""0.0005""","=""860000g""","=""""",,"=""0.000000""","=""22.18266""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p2.(3P).7d""","=""4P""","=""3/2""",4,4,,"=""""","=""L5883""",
"=""55.9131""","=""0.0005""","=""55.9131""","=""0.0005""","=""860000g""","=""""",,"=""0.000000""","=""22.17445""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p2.(3P).7d""","=""4P""","=""5/2""",4,6,,"=""""","=""L5883""",
"=""56.0713""","=""0.0005""","=""56.0713""","=""0.0005""","=""850000g""","=""""",,"=""0.000000""","=""22.11189""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p2.(3P).7d""","=""4D""","=""5/2""",4,6,,"=""""","=""L5883""",
"=""57.1156""","=""0.0005""","=""57.1156""","=""0.0005""","=""1300000g""","=""""",,"=""0.000000""","=""21.70759""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p2.(3P).6d""","=""4P""","=""1/2""",4,2,,"=""""","=""L5883""",
"=""57.1364""","=""0.0005""","=""57.1364""","=""0.0005""","=""2000000g""","=""""",,"=""0.000000""","=""21.69969""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p2.(3P).6d""","=""4P""","=""3/2""",4,4,,"=""""","=""L5883""",
"=""57.1779""","=""0.0005""","=""57.1779""","=""0.0005""","=""3100000g""","=""""",,"=""0.000000""","=""21.68393""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p2.(3P).6d""","=""4P""","=""5/2""",4,6,,"=""""","=""L5883""",
"=""57.3523""","=""0.0005""","=""57.3523""","=""0.0005""","=""2000000g""","=""""",,"=""0.000000""","=""21.61800""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p2.(3P).6d""","=""4D""","=""5/2""",4,6,,"=""""","=""L5883""",
"=""57.3627""","=""0.0007""","=""57.3627""","=""0.0007""","=""310000g""","=""""",,"=""0.000000""","=""21.6141""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p2.(3P).6d""","=""4D""","=""3/2""",4,4,,"=""""","=""L5883""",
"=""57.3813""","=""0.0005""","=""57.38074""","=""0.00008""","=""500000g""","=""""",,"=""0.000000""","=""21.60728""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p2.(3P).7s""","=""2P""","=""3/2""",4,4,,"=""""","=""L5883""",
"=""57.4397""","=""0.0005""","=""57.43883""","=""0.00007""","=""800000g""","=""""",,"=""0.000000""","=""21.58543""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p2.(3P).7s""","=""4P""","=""5/2""",4,6,,"=""""","=""L5883""",
"=""57.6057""","=""0.0005""","=""57.60512""","=""0.00008""","=""490000g""","=""""",,"=""0.000000""","=""21.52312""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p2.(3P).7s""","=""4P""","=""3/2""",4,4,,"=""""","=""L5883""",
"=""57.6978""","=""0.0007""","=""57.6978""","=""0.0007""","=""300000g""","=""""",,"=""0.000000""","=""21.4885""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p2.(3P).7s""","=""4P""","=""1/2""",4,2,,"=""""","=""L5883""",
"=""58.8958""","=""0.0007""","=""58.8963""","=""0.0008""","=""290000*""","=""""",,"=""1.841535""","=""22.8928""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s2.3p2.(1D).7s""","=""2D""","=""3/2""",4,4,,"=""""","=""L5883""",
"=""58.8958""","=""0.0007""","=""58.8963""","=""0.0008""","=""290000*""","=""""",,"=""1.841535""","=""22.8928""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s2.3p2.(1D).7s""","=""2D""","=""5/2""",4,6,,"=""""","=""L5883""",
"=""58.9079""","=""0.0007""","=""58.9074""","=""0.0008""","=""290000*""","=""""",,"=""1.845474""","=""22.8928""","=""3s2.3p3""","=""2D*""","=""5/2""","=""3s2.3p2.(1D).7s""","=""2D""","=""3/2""",6,4,,"=""""","=""L5883""",
"=""58.9079""","=""0.0007""","=""58.9074""","=""0.0008""","=""290000*""","=""""",,"=""1.845474""","=""22.8928""","=""3s2.3p3""","=""2D*""","=""5/2""","=""3s2.3p2.(1D).7s""","=""2D""","=""5/2""",6,6,,"=""""","=""L5883""",
"=""59.3507""","=""0.0005""","=""59.35056""","=""0.00006""","=""9600000g""","=""""",,"=""0.000000""","=""20.890150""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p2.(3P).5d""","=""4P""","=""1/2""",4,2,,"=""""","=""L5883""",
"=""59.3835""","=""0.0005""","=""59.38319""","=""0.00005""","=""21000000g""","=""""",,"=""0.000000""","=""20.878670""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p2.(3P).5d""","=""4P""","=""3/2""",4,4,,"=""""","=""L5883""",
"=""59.4475""","=""0.0005""","=""59.44697""","=""0.00006""","=""29000000g""","=""""",,"=""0.000000""","=""20.856267""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p2.(3P).5d""","=""4P""","=""5/2""",4,6,,"=""""","=""L5883""",
"=""59.7494""","=""0.0005""","=""59.74962""","=""0.00006""","=""2700000g""","=""""",,"=""0.000000""","=""20.750624""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p2.(3P).5d""","=""4D""","=""5/2""",4,6,,"=""""","=""L5883""",
"=""59.7760""","=""0.0005""","=""59.77580""","=""0.00006""","=""440000g""","=""""",,"=""0.000000""","=""20.741536""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p2.(3P).5d""","=""4D""","=""3/2""",4,4,,"=""""","=""L5883""",
"=""59.9834""","=""0.0007""","=""59.98466""","=""0.00006""","=""270000g""","=""""",,"=""0.000000""","=""20.669316""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p2.(3P).5d""","=""4F""","=""5/2""",4,6,,"=""""","=""L5883""",
"=""60.0661""","=""0.0015""","=""60.06734""","=""0.00005""","=""4100000bl""","=""""",,"=""0.000000""","=""20.640866""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p2.(3P).6s""","=""4P""","=""5/2""",4,6,,"=""""","=""L5883""",
"=""60.2446""","=""0.0005""","=""60.24410""","=""0.00005""","=""2700000g""","=""""",,"=""0.000000""","=""20.580304""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p2.(3P).6s""","=""4P""","=""3/2""",4,4,,"=""""","=""L5883""",
"=""60.3430""","=""0.0005""","=""60.34302""","=""0.00006""","=""1700000g""","=""""",,"=""0.000000""","=""20.546567""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p2.(3P).6s""","=""4P""","=""1/2""",4,2,,"=""""","=""L5883""",
"=""61.6437""","=""0.0005""","=""61.64316""","=""0.00007""","=""410000""","=""""",,"=""1.841535""","=""21.954747""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s2.3p2.(1D).6s""","=""2D""","=""3/2""",4,4,,"=""""","=""L5883""",
"=""61.6560""","=""0.0005""","=""61.65550""","=""0.00007""","=""650000""","=""""",,"=""1.845474""","=""21.954659""","=""3s2.3p3""","=""2D*""","=""5/2""","=""3s2.3p2.(1D).6s""","=""2D""","=""5/2""",6,6,,"=""""","=""L5883""",
"=""62.7390""","=""0.0005""","=""62.73929""","=""0.00012""","=""390000""","=""""",,"=""1.845474""","=""21.60728""","=""3s2.3p3""","=""2D*""","=""5/2""","=""3s2.3p2.(3P).7s""","=""2P""","=""3/2""",6,4,,"=""""","=""L5883""",
"=""62.9340""","=""0.0007""","=""62.93421""","=""0.00012""","=""240000""","=""""",,"=""1.841535""","=""21.54214""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s2.3p2.(3P).7s""","=""2P""","=""1/2""",4,2,,"=""""","=""L5883""",
