spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
S III,S,2,3s2.3p2,3P,0.0,1,0.0,0.0,even,,no,34.86,,,,,,,,,,L7237
S III,S,2,3s2.3p2,3P,1.0,3,0.037033,,even,,no,34.86,2087.6826722338205,"ASD 1/sum(Aki), J-resolved",2087.6826722338205,1/1,yes,0.037033,0.037033,,,
S III,S,2,3s2.3p2,3P,2.0,5,0.103289,,even,,no,34.86,485.42485183984024,"ASD 1/sum(Aki), J-resolved",485.42485183984024,3/3,yes,0.06625600000000001,0.103289,,,
S III,S,2,3s2.3p2,1D,2.0,5,1.40384,,even,,no,34.86,15.02547193129152,"ASD 1/sum(Aki), J-resolved",15.02547193129152,5/5,yes,1.300551,1.40384,,,
S III,S,2,3s2.3p2,1S,0.0,1,3.36753,,even,,no,34.86,0.3636601668472845,"ASD 1/sum(Aki), J-resolved",0.3636601668472845,3/3,yes,1.96369,3.330497,,,
S III,S,2,3s.3p3,5S*,2.0,5,7.274391,,odd,,no,34.86,4.8065679821157906e-05,"ASD 1/sum(Aki), J-resolved",4.8065679821157906e-05,4/4,yes,7.171101999999999,7.274391,,,
S III,S,2,3s.3p3,3D*,1.0,3,10.41707,,odd,,no,34.86,1.4595250355248394e-08,"ASD 1/sum(Aki), J-resolved",1.4595250355248394e-08,5/5,yes,10.41707,10.41707,,,
S III,S,2,3s.3p3,3D*,2.0,5,10.42046,,odd,,no,34.86,1.4835578030467233e-08,"ASD 1/sum(Aki), J-resolved",1.4835578030467233e-08,3/3,yes,10.383427000000001,10.383427000000001,,,
S III,S,2,3s.3p3,3D*,3.0,7,10.427,,odd,,no,34.86,1.5090216861506518e-08,"ASD 1/sum(Aki), J-resolved",1.5090216861506518e-08,2/2,yes,10.323711,10.323711,,,
S III,S,2,3s.3p3,3P*,2.0,5,12.24286,,odd,,no,34.86,3.6438102595121665e-09,"ASD 1/sum(Aki), J-resolved",3.6438102595121665e-09,3/3,yes,12.139571,12.205827000000001,,,
S III,S,2,3s.3p3,3P*,1.0,3,12.24541,,odd,,no,34.86,3.536884577662381e-09,"ASD 1/sum(Aki), J-resolved",3.536884577662381e-09,5/5,yes,12.142121,12.24541,,,
S III,S,2,3s.3p3,3P*,0.0,1,12.24619,,odd,,no,34.86,3.472222222222222e-09,"ASD 1/sum(Aki), J-resolved",3.472222222222222e-09,1/1,yes,12.209157000000001,12.209157000000001,,,
S III,S,2,3s2.3p.3d,1D*,2.0,5,12.91416,,odd,,no,34.86,7.3529411764705886e-09,"ASD 1/sum(Aki), J-resolved",7.3529411764705886e-09,1/1,yes,11.51032,11.51032,,,
S III,S,2,3s2.3p.3d,3F*,2.0,5,15.14076,,odd,,no,34.86,2.028397565922921e-06,"ASD 1/sum(Aki), J-resolved",2.028397565922921e-06,1/2,no,13.73692,15.103727000000001,,,
S III,S,2,3s2.3p.3d,3F*,3.0,7,15.17616,,odd,,no,34.86,1.937984496124031e-06,"ASD 1/sum(Aki), J-resolved",1.937984496124031e-06,1/2,no,13.772319999999999,15.072871,,,
S III,S,2,3s2.3p.3d,3F*,4.0,9,15.22509,,odd,,no,34.86,0.689893066574681,"ASD 1/sum(Aki), J-resolved",0.689893066574681,4/4,yes,2.9822299999999995,15.121801,,,
S III,S,2,3s.3p3,1P*,1.0,3,16.966466,,odd,,no,34.86,1.8164446365839216e-10,"ASD 1/sum(Aki), J-resolved",1.8164446365839216e-10,2/5,no,15.562626,16.966466,,,
