Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""3s2.3p""","=""2P*""","=""1/2""",2,"=""""","=""0.000000""","=""""","=""0""","=""  96                  :     2  3p3               2P*  ""","=""L7237"""
"=""3s2.3p""","=""2P*""","=""3/2""",4,"=""""","=""0.117962""","=""""","=""""","=""  96                  :     2  3p3               2P*  ""","="""""
"=""3s.3p2""","=""4P""","=""1/2""",2,"=""""","=""8.82570""","=""""","=""""","=""  99                                                  ""","="""""
"=""3s.3p2""","=""4P""","=""3/2""",4,"=""""","=""8.86843""","=""""","=""""","=""  99                                                  ""","="""""
"=""3s.3p2""","=""4P""","=""5/2""",6,"=""""","=""8.93609""","=""""","=""""","=""  99                                                  ""","="""""
"=""3s.3p2""","=""2D""","=""3/2""",4,"=""""","=""11.66730""","=""""","=""""","=""  82                  :    16  3s2.3d            2D   ""","="""""
"=""3s.3p2""","=""2D""","=""5/2""",6,"=""""","=""11.67315""","=""""","=""""","=""  82                  :    16  3s2.3d            2D   ""","="""""
"=""3s.3p2""","=""2S""","=""1/2""",2,"=""""","=""15.31320""","=""""","=""""","=""  97                  :     2  3s.3d2.(1S)       2S   ""","="""""
"=""3s.3p2""","=""2P""","=""1/2""",2,"=""""","=""16.56672""","=""""","=""""","=""  95                  :     3  3p2.(1D).3d       2P   ""","="""""
"=""3s.3p2""","=""2P""","=""3/2""",4,"=""""","=""16.64431""","=""""","=""""","=""  95                  :     3  3p2.(1D).3d       2P   ""","="""""
"=""3s2.3d""","=""2D""","=""3/2""",4,"=""""","=""18.86211""","=""""","=""""","=""  80                  :    15  3s.3p2.(1D)       2D   ""","="""""
"=""3s2.3d""","=""2D""","=""5/2""",6,"=""""","=""18.86380""","=""""","=""""","=""  80                  :    15  3s.3p2.(1D)       2D   ""","="""""
"=""3s2.4s""","=""2S""","=""1/2""",2,"=""""","=""22.49671""","=""""","=""""","=""  96                  :     3  3p2.(1S).4s       2S   ""","="""""
"=""3p3""","=""2D*""","=""3/2""",4,"=""""","=""22.94392""","=""""","=""""","=""  59                  :    40  3s.3p.(3P*).3d    2D*  ""","="""""
"=""3p3""","=""2D*""","=""5/2""",6,"=""""","=""22.95543""","=""""","=""""","=""  59                  :    40  3s.3p.(3P*).3d    2D*  ""","="""""
"=""3p3""","=""4S*""","=""3/2""",4,"=""""","=""24.35737""","=""""","=""""","=""  99                  :     1  3p.(2P*).3d2.(3P) 4S*  ""","="""""
"=""3s.3p.(3P*).3d""","=""4F*""","=""3/2""",4,"=""""","=""25.22369""","=""""","=""""","="" 100                                                  ""","="""""
"=""3s.3p.(3P*).3d""","=""4F*""","=""5/2""",6,"=""""","=""25.24725""","=""""","=""""","="" 100                                                  ""","="""""
"=""3s.3p.(3P*).3d""","=""4F*""","=""7/2""",8,"=""""","=""25.28116""","=""""","=""""","="" 100                                                  ""","="""""
"=""3s.3p.(3P*).3d""","=""4F*""","=""9/2""",10,"=""""","=""25.32562""","=""""","=""""","="" 100                                                  ""","="""""
"=""3p3""","=""2P*""","=""3/2""",4,"=""""","=""26.20612""","=""""","=""""","=""  63                  :    19  3s.3p.(3P*).3d    2P*  ""","="""""
"=""3p3""","=""2P*""","=""1/2""",2,"=""""","=""26.20732""","=""""","=""""","=""  62                  :    19  3s.3p.(3P*).3d    2P*  ""","="""""
"=""3s2.4p""","=""2P*""","=""1/2""",2,"=""""","=""26.47245""","=""""","=""""","=""  83                  :    10  3p3               2P*  ""","="""""
"=""3s2.4p""","=""2P*""","=""3/2""",4,"=""""","=""26.49856""","=""""","=""""","=""  85                  :     8  3p3               2P*  ""","="""""
"=""3s.3p.(3P*).3d""","=""4P*""","=""5/2""",6,"=""""","=""27.54908""","=""""","=""""","=""  98                  :     1  3s.3p.(3P*).3d    4D*  ""","="""""
"=""3s.3p.(3P*).3d""","=""4P*""","=""3/2""",4,"=""""","=""27.58507""","=""""","=""""","=""  98                  :     1  3s.3p.(3P*).3d    4D*  ""","="""""
"=""3s.3p.(3P*).3d""","=""4P*""","=""1/2""",2,"=""""","=""27.61034""","=""""","=""""","=""  99                                                  ""","="""""
"=""3s.3p.(3P*).3d""","=""4D*""","=""1/2""",2,"=""""","=""27.81495""","=""""","=""""","=""  99                                                  ""","="""""
"=""3s.3p.(3P*).3d""","=""4D*""","=""3/2""",4,"=""""","=""27.82647""","=""""","=""""","=""  98                  :     1  3s.3p.(3P*).3d    4P*  ""","="""""
"=""3s.3p.(3P*).3d""","=""4D*""","=""5/2""",6,"=""""","=""27.83933""","=""""","=""""","=""  98                  :     1  3s.3p.(3P*).3d    4P*  ""","="""""
"=""3s.3p.(3P*).3d""","=""4D*""","=""7/2""",8,"=""""","=""27.84900""","=""""","=""""","=""  99                                                  ""","="""""
"=""3s.3p.(3P*).3d""","=""2D*""","=""5/2""",6,"=""""","=""28.96400""","=""""","=""""","=""  43                  :    31  3s.3p.(1P*).3d    2D*  ""","="""""
"=""3s.3p.(3P*).3d""","=""2D*""","=""3/2""",4,"=""""","=""28.96788""","=""""","=""""","=""  43                  :    31  3s.3p.(1P*).3d    2D*  ""","="""""
"=""3s.3p.(3P*).3d""","=""2F*""","=""5/2""",6,"=""""","=""29.96032""","=""""","=""""","=""  66                  :    31  3s.3p.(1P*).3d    2F*  ""","="""""
"=""3s.3p.(3P*).3d""","=""2F*""","=""7/2""",8,"=""""","=""30.05642""","=""""","=""""","=""  66                  :    32  3s.3p.(1P*).3d    2F*  ""","="""""
"=""3s2.4d""","=""2D""","=""3/2""",4,"=""""","=""31.66504""","=""""","=""""","=""  95                  :     3  3p2.(1S).4d       2D   ""","="""""
"=""3s2.4d""","=""2D""","=""5/2""",6,"=""""","=""31.66560""","=""""","=""""","=""  95                  :     3  3p2.(1S).4d       2D   ""","="""""
"=""""","=""b 2F*""","=""7/2""",8,"=""""","=""31.93969""","=""""","=""""","=""  52  3s2(1S)4f       :    26  3s.3p.(1P*).3d    2F*  ""","="""""
"=""""","=""b 2F*""","=""5/2""",6,"=""""","=""31.95601""","=""""","=""""","=""  53  3s2(1S)4f       :    26  3s.3p.(1P*).3d    2F*  ""","="""""
"=""3s.3p.(3P*).4s""","=""4P*""","=""1/2""",2,"=""""","=""32.61988""","=""""","=""""","=""  99                                                  ""","="""""
"=""3s.3p.(3P*).4s""","=""4P*""","=""3/2""",4,"=""""","=""32.66340""","=""""","=""""","=""  99                                                  ""","="""""
"=""3s.3p.(3P*).4s""","=""4P*""","=""5/2""",6,"=""""","=""32.74022""","=""""","=""""","=""  99                                                  ""","="""""
"=""3s.3p.(3P*).3d""","=""2P*""","=""3/2""",4,"=""""","=""32.84128""","=""""","=""""","=""  74                  :    18  3p3               2P*  ""","="""""
"=""3s.3p.(3P*).3d""","=""2P*""","=""1/2""",2,"=""""","=""32.86264""","=""""","=""""","=""  74                  :    17  3p3               2P*  ""","="""""
"=""3s.3p.(3P*).4s""","=""2P*""","=""1/2""",2,"=""""","=""33.57823""","=""""","=""""","=""  88                  :     4  3s.3p.(3P*).3d    2P*  ""","="""""
"=""3s.3p.(3P*).4s""","=""2P*""","=""3/2""",4,"=""""","=""33.65389""","=""""","=""""","=""  88                  :     4  3s2.5p            2P*  ""","="""""
"=""3s2.5s""","=""2S""","=""1/2""",2,"=""""","=""33.60231""","=""""","=""""","="" 100                                                  ""","="""""
"=""""","=""c 2F*""","=""7/2""",8,"=""""","=""34.41752""","=""""","=""""","=""  44  3s2(1S)4f       :    36  3s.3p.(1P*).3d    2F*  ""","="""""
"=""""","=""c 2F*""","=""5/2""",6,"=""""","=""34.42829""","=""""","=""""","=""  43  3s2(1S)4f       :    36  3s.3p.(1P*).3d    2F*  ""","="""""
"=""3s.3p.(1P*).3d""","=""2P*""","=""3/2""",4,"=""""","=""34.54725""","=""""","=""""","=""  81                  :     5  3p3               2P*  ""","="""""
"=""3s.3p.(1P*).3d""","=""2P*""","=""1/2""",2,"=""""","=""34.55153""","=""""","=""""","=""  84                  :     5  3p3               2P*  ""","="""""
"=""3s.3p.(1P*).3d""","=""2D*""","=""3/2""",4,"=""""","=""34.85116""","=""""","=""""","=""  62                  :    15  3s.3p.(3P*).3d    2D*  ""","="""""
"=""3s.3p.(1P*).3d""","=""2D*""","=""5/2""",6,"=""""","=""34.86827""","=""""","=""""","=""  64                  :    15  3s.3p.(3P*).3d    2D*  ""","="""""
"=""3s2.5p""","=""2P*""","=""1/2""",2,"=""""","=""35.35065""","=""""","=""""","=""  91                  :     4  3s.3p.(3P*).4s    2P*  ""","="""""
"=""3s2.5p""","=""2P*""","=""3/2""",4,"=""""","=""35.37220""","=""""","=""""","=""  90                  :     5  3s.3p.(3P*).4s    2P*  ""","="""""
"=""3s.3p.(3P*).4p""","=""2P""","=""1/2""",2,"=""""","=""36.27396""","=""""","=""""","=""  66                  :    32  3s.3p.(3P*).4p    4D   ""","="""""
"=""3s.3p.(3P*).4p""","=""2P""","=""3/2""",4,"=""""","=""36.31422""","=""""","=""""","=""  68                  :    30  3s.3p.(3P*).4p    4D   ""","="""""
