Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Reference
"=""2s2.2p4""","=""3P""","=""2""",5,"=""""","=""0.00000""","=""""","=""0""","=""L7237"""
"=""2s2.2p4""","=""3P""","=""1""",3,"=""""","=""0.9900""","=""""","=""""","="""""
"=""2s2.2p4""","=""3P""","=""0""",1,"=""""","=""1.3202""","=""""","=""""","="""""
"=""2s2.2p4""","=""1D""","=""2""",5,"=""""","=""7.22752""","=""""","=""""","="""""
"=""2s2.2p4""","=""1S""","=""0""",1,"=""""","=""15.213""","=""""","=""""","="""""
"=""2s.2p5""","=""3P*""","=""2""",5,"=""""","=""55.1714""","=""""","=""""","="""""
"=""2s.2p5""","=""3P*""","=""1""",3,"=""""","=""56.0402""","=""""","=""""","="""""
"=""2s.2p5""","=""3P*""","=""0""",1,"=""""","=""56.523""","=""""","=""""","="""""
"=""2s.2p5""","=""1P*""","=""1""",3,"=""""","=""76.3833""","=""""","=""""","="""""
"=""2p6""","=""1S""","=""0""",1,"=""""","=""128.8467""","=""""","=""""","="""""
"=""2s2.2p3.(4S*).3s""","=""3S*""","=""1""",3,"=""""","=""221.082""","=""""","=""""","="""""
"=""2s2.2p3.(2D*).3s""","=""3D*""","=""1""",3,"=""""","=""228.747""","=""""","=""""","="""""
"=""2s2.2p3.(2D*).3s""","=""3D*""","=""2""",5,"=""""","=""228.772""","=""""","=""""","="""""
"=""2s2.2p3.(2D*).3s""","=""3D*""","=""3""",7,"=""""","=""228.859""","=""""","=""""","="""""
"=""2s2.2p3.(2D*).3s""","=""1D*""","=""2""",5,"=""""","=""230.462""","=""""","=""""","="""""
"=""2s2.2p3.(2P*).3s""","=""3P*""","=""1""",3,"=""""","=""""","=""""","=""""","="""""
"=""2s2.2p3.(2P*).3s""","=""3P*""","=""0""",1,"=""""","=""""","=""""","=""""","="""""
"=""2s2.2p3.(2P*).3s""","=""3P*""","=""2""",5,"=""""","=""234.557""","=""""","=""""","="""""
"=""2s2.2p3.(2P*).3s""","=""1P*""","=""1""",3,"=""""","=""236.103""","=""""","=""""","="""""
"=""2s2.2p3.(4S*).3d""","=""3D*""","=""2""",5,"=""""","=""252.336""","=""""","=""""","="""""
"=""2s2.2p3.(4S*).3d""","=""3D*""","=""1""",3,"=""""","=""252.351""","=""""","=""""","="""""
"=""2s2.2p3.(4S*).3d""","=""3D*""","=""3""",7,"=""""","=""252.416""","=""""","=""""","="""""
"=""2s2.2p3.(2D*).3d""","=""3D*""","=""1""",3,"=""""","=""261.028""","=""""","=""""","="""""
"=""2s2.2p3.(2D*).3d""","=""3D*""","=""2""",5,"=""""","=""261.374""","=""""","=""""","="""""
"=""2s2.2p3.(2D*).3d""","=""3D*""","=""3""",7,"=""""","=""261.388""","=""?""","=""""","="""""
"=""2s2.2p3.(2D*).3d""","=""1P*""","=""1""",3,"=""""","=""261.470""","=""""","=""""","="""""
"=""2s2.2p3.(2D*).3d""","=""3P*""","=""0""",1,"=""""","=""""","=""""","=""""","="""""
"=""2s2.2p3.(2D*).3d""","=""3P*""","=""2""",5,"=""""","=""262.406""","=""""","=""""","="""""
"=""2s2.2p3.(2D*).3d""","=""3P*""","=""1""",3,"=""""","=""262.763""","=""""","=""""","="""""
"=""2s2.2p3.(2D*).3d""","=""1D*""","=""2""",5,"=""""","=""262.528""","=""""","=""""","="""""
"=""2s2.2p3.(2D*).3d""","=""3S*""","=""1""",3,"=""""","=""263.532""","=""""","=""""","="""""
"=""2s2.2p3.(2D*).3d""","=""1F*""","=""3""",7,"=""""","=""264.670""","=""""","=""""","="""""
"=""2s2.2p3.(2P*).3d""","=""3P*""","=""0""",1,"=""""","=""265.671""","=""""","=""""","="""""
"=""2s2.2p3.(2P*).3d""","=""3P*""","=""1""",3,"=""""","=""265.921""","=""""","=""""","="""""
"=""2s2.2p3.(2P*).3d""","=""3P*""","=""2""",5,"=""""","=""266.144""","=""""","=""""","="""""
"=""2s2.2p3.(2P*).3d""","=""3D*""","=""2""",5,"=""""","=""267.134""","=""""","=""""","="""""
"=""2s2.2p3.(2P*).3d""","=""3D*""","=""1""",3,"=""""","=""267.342""","=""""","=""""","="""""
"=""2s2.2p3.(2P*).3d""","=""3D*""","=""3""",7,"=""""","=""267.363""","=""""","=""""","="""""
"=""2s2.2p3.(2P*).3d""","=""1D*""","=""2""",5,"=""""","=""268.148""","=""""","=""""","="""""
"=""2s2.2p3.(2P*).3d""","=""1F*""","=""3""",7,"=""""","=""268.615""","=""""","=""""","="""""
"=""2s2.2p3.(2P*).3d""","=""1P*""","=""1""",3,"=""""","=""271.553""","=""?""","=""""","="""""
"=""2s2.2p3.(4S*).4d""","=""3D*""","=""3""",7,"=""""","=""308.641""","=""?""","=""""","="""""
"=""2s2.2p3.(2D*).4d""","=""3D*""","=""3""",7,"=""""","=""318.186""","=""?""","=""""","="""""
"=""2s2.2p3.(2D*).4d""","=""3P*""","=""2""",5,"=""""","=""318.872""","=""?""","=""""","="""""
"=""S X (2p3 4S*<3/2>)""","=""Limit""","=""---""",,"=""[""","=""379.84""","=""]""","=""0.21""","=""L11770"""
