Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""2p6.3s2""","=""1S""","=""0""",1,"=""""","=""0.00000""","=""""","=""0""","=""  96         :     4  3p2   1S   ""","=""L7237"""
"=""3s.3p""","=""3P*""","=""0""",1,"=""""","=""10.29366""","=""""","=""""","=""  99                             ""","="""""
"=""3s.3p""","=""3P*""","=""1""",3,"=""""","=""10.33948""","=""""","=""""","=""  99                             ""","="""""
"=""3s.3p""","=""3P*""","=""2""",5,"=""""","=""10.43392""","=""""","=""""","=""  99                             ""","="""""
"=""3s.3p""","=""1P*""","=""1""",3,"=""""","=""15.76468""","=""""","=""""","=""  96         :     4  3p.3d 1P*  ""","="""""
"=""3p2""","=""1D""","=""2""",5,"=""""","=""24.02059""","=""""","=""""","=""  69         :    30  3s.3d 1D   ""","="""""
"=""3p2""","=""3P""","=""0""",1,"=""""","=""24.79277""","=""""","=""""","=""  99                             ""","="""""
"=""3p2""","=""3P""","=""1""",3,"=""""","=""24.84279""","=""""","=""""","=""  99                             ""","="""""
"=""3p2""","=""3P""","=""2""",5,"=""""","=""24.93893""","=""""","=""""","=""  98                             ""","="""""
"=""3s.3d""","=""3D""","=""1""",3,"=""""","=""29.12903""","=""""","=""""","=""  99                             ""","="""""
"=""3s.3d""","=""3D""","=""2""",5,"=""""","=""29.12973""","=""""","=""""","=""  99                             ""","="""""
"=""3s.3d""","=""3D""","=""3""",7,"=""""","=""29.13083""","=""""","=""""","=""  99                             ""","="""""
"=""3p2""","=""1S""","=""0""",1,"=""""","=""29.17968""","=""""","=""""","=""  92         :     4  3d2   1S   ""","="""""
"=""3s.3d""","=""1D""","=""2""",5,"=""""","=""33.56257""","=""""","=""""","=""  68         :    28  3p2   1D   ""","="""""
"=""3s.4s""","=""3S""","=""1""",3,"=""""","=""38.63287""","=""""","=""""","=""  98         :     1  3p.4p 3S   ""","="""""
"=""3s.4s""","=""1S""","=""0""",1,"=""""","=""39.68833""","=""""","=""""","=""  97         :     2  3p.4p 1S   ""","="""""
"=""3p.3d""","=""3F*""","=""2""",5,"=""""","=""40.06334""","=""""","=""""","=""  98                             ""","="""""
"=""3p.3d""","=""3F*""","=""3""",7,"=""""","=""40.11475""","=""""","=""""","=""  98                             ""","="""""
"=""3p.3d""","=""3F*""","=""4""",9,"=""""","=""40.18081""","=""""","=""""","=""                                 ""","="""""
"=""3p.3d""","=""1D*""","=""2""",5,"=""""","=""40.72314""","=""""","=""""","=""  99                             ""","="""""
"=""3p.3d""","=""3P*""","=""2""",5,"=""""","=""42.81648""","=""""","=""""","=""  95         :     2  3p.3d 3D*  ""","="""""
"=""3p.3d""","=""3P*""","=""1""",3,"=""""","=""42.86292""","=""""","=""""","=""  95         :     2  3p.3d 3D*  ""","="""""
"=""3p.3d""","=""3P*""","=""0""",1,"=""""","=""42.89271""","=""""","=""""","=""  97         :     1  3s.4p 3P*  ""","="""""
"=""3p.3d""","=""3D*""","=""1""",3,"=""""","=""43.12680""","=""""","=""""","=""  97         :     2  3p.3d 3P*  ""","="""""
"=""3p.3d""","=""3D*""","=""2""",5,"=""""","=""43.14777""","=""""","=""""","=""  96         :     2  3p.3d 3P*  ""","="""""
"=""3p.3d""","=""3D*""","=""3""",7,"=""""","=""43.16280""","=""""","=""""","=""  99                             ""","="""""
"=""3s.4p""","=""3P*""","=""0""",1,"=""""","=""43.28564""","=""""","=""""","=""  97         :     1  3p.3d 3P*  ""","="""""
"=""3s.4p""","=""3P*""","=""1""",3,"=""""","=""43.29046""","=""""","=""""","=""  77         :    18  3s.4p 1P*  ""","="""""
"=""3s.4p""","=""3P*""","=""2""",5,"=""""","=""43.32979""","=""""","=""""","=""  97         :     1  3p.3d 3P*  ""","="""""
"=""3s.4p""","=""1P*""","=""1""",3,"=""""","=""43.33674""","=""""","=""""","=""  73         :    19  3s.4p 3P*  ""","="""""
"=""3p.3d""","=""1F*""","=""3""",7,"=""""","=""45.48509""","=""""","=""""","=""  81         :    18  3s.nf 1F*  ""","="""""
"=""3s.4d""","=""3D""","=""1""",3,"=""""","=""49.10090""","=""""","=""""","=""  90         :     7  3s.nd 3D   ""","="""""
"=""3s.4d""","=""3D""","=""2""",5,"=""""","=""49.10264""","=""""","=""""","=""  90         :     7  3s.nd 3D   ""","="""""
"=""3s.4d""","=""3D""","=""3""",7,"=""""","=""49.10526""","=""""","=""""","=""  90         :     7  3s.nd 3D   ""","="""""
"=""3s.4d""","=""1D""","=""2""",5,"=""""","=""49.29676""","=""""","=""""","=""  87         :     9  3s.nd 1D   ""","="""""
"=""3s.4f""","=""3F*""","=""2""",5,"=""""","=""50.94630""","=""""","=""""","=""  77         :    21  3s.nf 3F*  ""","="""""
"=""3s.4f""","=""3F*""","=""3""",7,"=""""","=""50.94661""","=""""","=""""","=""  77         :    21  3s.nf 3F*  ""","="""""
"=""3s.4f""","=""3F*""","=""4""",9,"=""""","=""50.94735""","=""""","=""""","=""                                 ""","="""""
"=""3s.4f""","=""1F*""","=""3""",7,"=""""","=""51.82352""","=""""","=""""","=""  69         :    16  3p.3d 1F*  ""","="""""
"=""3p.4s""","=""3P*""","=""0""",1,"=""""","=""52.16538""","=""""","=""""","=""  97                             ""","="""""
"=""3p.4s""","=""3P*""","=""1""",3,"=""""","=""52.20439""","=""""","=""""","=""  95         :     2  3p.4s 1P*  ""","="""""
"=""3p.4s""","=""3P*""","=""2""",5,"=""""","=""52.31431""","=""""","=""""","=""  97                             ""","="""""
"=""3p.4s""","=""1P*""","=""1""",3,"=""""","=""52.63452""","=""""","=""""","=""  81         :    11  3s.5p 1P*  ""","="""""
"=""3s.5s""","=""3S""","=""1""",3,"=""""","=""53.11967""","=""""","=""""","=""  98         :     1  3p.4p 3S   ""","="""""
"=""3s.5s""","=""1S""","=""0""",1,"=""""","=""53.41260""","=""""","=""""","=""  95         :     4  3p.4p 1S   ""","="""""
"=""3s.5p""","=""3P*""","=""0""",1,"=""""","=""55.21062""","=""""","=""""","=""  99                             ""","="""""
"=""3s.5p""","=""3P*""","=""1""",3,"=""""","=""55.21642""","=""""","=""""","=""  99                             ""","="""""
"=""3s.5p""","=""3P*""","=""2""",5,"=""""","=""55.23472""","=""""","=""""","=""  99                             ""","="""""
"=""3s.5p""","=""1P*""","=""1""",3,"=""""","=""55.53573""","=""""","=""""","=""  87         :    10  3p.4s 1P*  ""","="""""
"=""3p.4p""","=""1P""","=""1""",3,"=""""","=""55.80423""","=""""","=""""","=""  94         :     5  3p.4p 3D   ""","="""""
"=""3p.4p""","=""3D""","=""1""",3,"=""""","=""56.05125""","=""""","=""""","=""  85         :     8  3s.nd 3D   ""","="""""
"=""3p.4p""","=""3D""","=""2""",5,"=""""","=""56.09625""","=""""","=""""","=""  89         :     9  3s.nd 3D   ""","="""""
"=""3p.4p""","=""3D""","=""3""",7,"=""""","=""56.18898""","=""""","=""""","=""  89         :     9  3s.nd 3D   ""","="""""
"=""3p.4p""","=""3P""","=""0""",1,"=""""","=""56.74329""","=""""","=""""","=""  97         :     2  4p2   3P   ""","="""""
"=""3p.4p""","=""3P""","=""1""",3,"=""""","=""56.77404""","=""""","=""""","=""  94         :     2  3p.4p 3S   ""","="""""
"=""3p.4p""","=""3P""","=""2""",5,"=""""","=""56.83943""","=""""","=""""","=""  95         :     2  3p.4p 1D   ""","="""""
"=""3p.4p""","=""3S""","=""1""",3,"=""""","=""57.01955""","=""""","=""""","=""  94         :     2  3p.4p 3P   ""","="""""
"=""3p.4p""","=""1D""","=""2""",5,"=""""","=""57.06043""","=""""","=""""","=""  58         :    37  3s.5d 1D   ""","="""""
"=""3s.5d""","=""3D""","=""1""",3,"=""""","=""58.03058""","=""""","=""""","=""  84         :     8  3s.nd 3D   ""","="""""
"=""3s.5d""","=""3D""","=""2""",5,"=""""","=""58.03414""","=""""","=""""","=""  83         :     8  3s.nd 3D   ""","="""""
"=""3s.5d""","=""3D""","=""3""",7,"=""""","=""58.04098""","=""""","=""""","=""  83         :     8  3s.nd 3D   ""","="""""
"=""3s.5d""","=""1D""","=""2""",5,"=""""","=""58.30102""","=""""","=""""","=""  52         :    27  3p.4p 1D   ""","="""""
"=""3p.4p""","=""1S""","=""0""",1,"=""""","=""58.58577""","=""""","=""""","=""  87         :     3  3s.5s 1S   ""","="""""
"=""3s.5f""","=""3F*""","=""2""",5,"=""""","=""58.75934""","=""""","=""""","=""                                 ""","="""""
"=""3s.5f""","=""3F*""","=""3""",7,"=""""","=""58.75940""","=""""","=""""","=""                                 ""","="""""
"=""3s.5f""","=""3F*""","=""4""",9,"=""""","=""58.75977""","=""""","=""""","=""                                 ""","="""""
"=""3s.5g""","=""1G""","=""4""",9,"=""""","=""58.82763""","=""""","=""""","=""  87         :     5  3s.ng 1G   ""","="""""
"=""3s.5g""","=""3G""","=""3""",7,"=""""","=""58.83141""","=""""","=""""","=""  93         :     5  3s.ng 3G   ""","="""""
"=""3s.5g""","=""3G""","=""4""",9,"=""""","=""58.83244""","=""""","=""""","=""  91         :     7  3s.ng 3G   ""","="""""
