spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
S V,S,4,2p6.3s2,1S,0.0,1,0.0,0.0,even,,no,72.5945,,,,,,,,,,L7237
S V,S,4,3s.3p,3P*,0.0,1,10.29366,,odd,,no,72.5945,,,,,,,,,,
S V,S,4,3s.3p,3P*,1.0,3,10.33948,,odd,,no,72.5945,6.060606029274564e-06,"ASD 1/sum(Aki), J-resolved",6.060606029274564e-06,2/2,yes,10.33948,10.33948,,,
S V,S,4,3s.3p,3P*,2.0,5,10.43392,,odd,,no,72.5945,13.484358144552319,"ASD 1/sum(Aki), J-resolved",13.484358144552319,2/2,yes,10.43392,10.43392,,,
S V,S,4,3s.3p,1P*,1.0,3,15.76468,,odd,,no,72.5945,2.0533880900697646e-10,"ASD 1/sum(Aki), J-resolved",2.0533880900697646e-10,6/6,yes,15.76468,15.76468,,,
S V,S,4,3p2,1D,2.0,5,24.02059,,even,,no,72.5945,4.816628543051748e-09,"ASD 1/sum(Aki), J-resolved",4.816628543051748e-09,4/4,yes,8.255909999999998,24.02059,,,
S V,S,4,3p2,3P,0.0,1,24.79277,,even,,no,72.5945,2.43282602423192e-10,"ASD 1/sum(Aki), J-resolved",2.43282602423192e-10,2/2,yes,14.45329,14.45329,,,
S V,S,4,3p2,3P,1.0,3,24.84279,,even,,no,72.5945,2.4212898006238144e-10,"ASD 1/sum(Aki), J-resolved",2.4212898006238144e-10,6/6,yes,14.40887,24.84279,,,
S V,S,4,3p2,3P,2.0,5,24.93893,,even,,no,72.5945,2.408883845058245e-10,"ASD 1/sum(Aki), J-resolved",2.408883845058245e-10,6/6,yes,14.505009999999999,24.93893,,,
S V,S,4,3s.3d,3D,1.0,3,29.12903,,even,,no,72.5945,1.5663794813878976e-10,"ASD 1/sum(Aki), J-resolved",1.5663794813878976e-10,6/6,yes,18.83537,18.83537,,,
S V,S,4,3s.3d,3D,2.0,5,29.12973,,even,,no,72.5945,1.5772213901045507e-10,"ASD 1/sum(Aki), J-resolved",1.5772213901045507e-10,7/7,yes,18.79025,29.12973,,,
S V,S,4,3s.3d,3D,3.0,7,29.13083,,even,,no,72.5945,1.5923566878110925e-10,"ASD 1/sum(Aki), J-resolved",1.5923566878110925e-10,4/4,yes,18.69691,18.69691,,,
S V,S,4,3p2,1S,0.0,1,29.17968,,even,,no,72.5945,2.498569496932995e-10,"ASD 1/sum(Aki), J-resolved",2.498569496932995e-10,6/6,yes,13.415000000000001,18.840200000000003,,,
S V,S,4,3s.3d,1D,2.0,5,33.56257,,even,,no,72.5945,8.926190841411854e-11,"ASD 1/sum(Aki), J-resolved",8.926190841411854e-11,11/11,yes,17.797890000000002,33.56257,,,
S V,S,4,3s.4s,3S,1.0,3,38.63287,,even,,no,72.5945,9.0411547941537e-11,"ASD 1/sum(Aki), J-resolved",9.0411547941537e-11,4/4,yes,28.198949999999996,28.339209999999998,,,
S V,S,4,3s.4s,1S,0.0,1,39.68833,,even,,no,72.5945,1.5748031496062991e-10,"ASD 1/sum(Aki), J-resolved",1.5748031496062991e-10,1/1,yes,23.923650000000002,23.923650000000002,,,
S V,S,4,3p.3d,3F*,2.0,5,40.06334,,odd,,no,72.5945,1.4000986249072765e-09,"ASD 1/sum(Aki), J-resolved",1.4000986249072765e-09,9/9,yes,10.934309999999996,29.769679999999997,,,
S V,S,4,3p.3d,3F*,3.0,7,40.11475,,odd,,no,72.5945,1.4215532147654582e-09,"ASD 1/sum(Aki), J-resolved",1.4215532147654582e-09,7/7,yes,10.985020000000002,29.77527,,,
S V,S,4,3p.3d,3F*,4.0,9,40.18081,,odd,,no,72.5945,1.3982259288410715e-09,"ASD 1/sum(Aki), J-resolved",1.3982259288410715e-09,4/4,yes,11.049980000000001,29.74689,,,
