conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
2p6.3s2,1S,0.0,1.0,0.0,3s.3p,3P*,1.0,3.0,10.33948,10.33948,119.91338,165000.0,0.00010671,0.00010671,2.8321e-06
2p6.3s2,1S,0.0,1.0,0.0,3s.3p,3P*,2.0,5.0,10.43392,10.43392,118.82801,0.0682,7.2186e-11,7.2186e-11,1.9158e-12
2p6.3s2,1S,0.0,1.0,0.0,3s.3p,1P*,1.0,3.0,15.76468,15.76468,78.64682,4870000000.0,1.3548,1.3548,0.035956
2p6.3s2,1S,0.0,1.0,0.0,3p2,1D,2.0,5.0,24.02059,24.02059,51.6158,34100.0,6.81e-06,6.81e-06,1.8074e-07
2p6.3s2,1S,0.0,1.0,0.0,3p2,3P,1.0,3.0,24.84279,24.84279,49.90752,0.166,1.8596e-11,1.8596e-11,4.9354e-13
2p6.3s2,1S,0.0,1.0,0.0,3p2,3P,2.0,5.0,24.93893,24.93893,49.71512,205.0,3.798e-08,3.798e-08,1.008e-09
2p6.3s2,1S,0.0,1.0,0.0,3s.3d,3D,2.0,5.0,29.12973,29.12973,42.56277,0.00957,1.2996e-12,1.2996e-12,3.4491e-14
2p6.3s2,1S,0.0,1.0,0.0,3s.3d,1D,2.0,5.0,33.56257,33.56257,36.94121,315000.0,3.2223e-05,3.2223e-05,8.5519e-07
2p6.3s2,1S,0.0,1.0,0.0,3p.3d,1D*,2.0,5.0,40.72314,40.72314,30.44564,0.335,2.3277e-11,2.3277e-11,6.1777e-13
2p6.3s2,1S,0.0,1.0,0.0,3s.4p,3P*,1.0,3.0,43.29046,43.29046,28.64007,611000000.0,0.022541,0.022541,0.00059823
2p6.3s2,1S,0.0,1.0,0.0,3s.4p,1P*,1.0,3.0,43.33674,43.33674,28.60949,2430000000.0,0.089456,0.089456,0.0023742
2p6.3s2,1S,0.0,1.0,0.0,3s.5p,3P*,2.0,5.0,55.23472,55.23472,22.44679,2.04,7.7049e-11,7.7049e-11,2.0449e-12
2p6.3s2,1S,0.0,1.0,0.0,3s.5p,1P*,1.0,3.0,55.53573,55.53573,22.32512,1520000000.0,0.034073,0.034073,0.0009043
2p6.3s2,1S,0.0,1.0,0.0,3s.6p,3P*,2.0,5.0,60.76277,60.76277,20.40463,1.39,4.3381e-11,4.3381e-11,1.1513e-12
2p6.3s2,1S,0.0,1.0,0.0,3s.6p,1P*,1.0,3.0,61.08776,61.08776,20.29608,431000000.0,0.0079851,0.0079851,0.00021193
2p6.3s2,1S,0.0,1.0,0.0,3s.7p,1P*,1.0,3.0,64.389,64.389,19.25549,300000000.0,0.0050028,0.0050028,0.00013277
2p6.3s2,1S,0.0,1.0,0.0,3s.7p,3P*,2.0,5.0,64.5439,64.5439,19.20928,0.977,2.7024e-11,2.7024e-11,7.1721e-13
2p6.3s2,1S,0.0,1.0,0.0,3s.8p,1P*,1.0,3.0,66.2932,66.2932,18.7024,311000000.0,0.0048926,0.0048926,0.00012985
3s.3p,3P*,0.0,1.0,10.29366,3s.3p,3P*,1.0,3.0,10.33948,0.04582,27058.96953,0.000853,2.809e-08,2.809e-08,7.4551e-10
3s.3p,3P*,0.0,1.0,10.29366,3s.3p,1P*,1.0,3.0,15.76468,5.47102,226.6199,0.222,5.1278e-10,5.1278e-10,1.3609e-11
3s.3p,3P*,0.0,1.0,10.29366,3p2,3P,1.0,3.0,24.84279,14.54913,85.2176,1400000000.0,0.45726,0.45726,0.012136
3s.3p,3P*,0.0,1.0,10.29366,3s.3d,3D,1.0,3.0,29.12903,18.83537,65.8252,3560000000.0,0.69377,0.69377,0.018413
3s.3p,3P*,0.0,1.0,10.29366,3s.4s,3S,1.0,3.0,38.63287,28.33921,43.75005,1220000000.0,0.10503,0.10503,0.0027874
3s.3p,3P*,0.0,1.0,10.29366,3p.3d,3F*,2.0,5.0,40.06334,29.76968,41.64781,90300.0,1.1741e-05,1.1741e-05,3.116e-07
3s.3p,3P*,0.0,1.0,10.29366,3p.3d,1D*,2.0,5.0,40.72314,30.42948,40.74476,827.0,1.0292e-07,1.0292e-07,2.7314e-09
3s.3p,3P*,0.0,1.0,10.29366,3p.3d,3P*,2.0,5.0,42.81648,32.52282,38.12222,49700.0,5.4143e-06,5.4143e-06,1.437e-07
3s.3p,3P*,0.0,1.0,10.29366,3p.3d,3D*,2.0,5.0,43.14777,32.85411,37.7378,43500.0,4.6438e-06,4.6438e-06,1.2325e-07
3s.3p,3P*,0.0,1.0,10.29366,3s.4d,3D,1.0,3.0,49.1009,38.80724,31.94873,748000000.0,0.034339,0.034339,0.00091136
3s.3p,3P*,1.0,3.0,10.33948,3s.3p,3P*,2.0,5.0,10.43392,0.09444,13128.35646,0.00596,2.5667e-08,7.7001e-08,6.812e-10
3s.3p,3P*,1.0,3.0,10.33948,3s.3p,1P*,1.0,3.0,15.76468,5.4252,228.53388,0.162,1.2685e-10,3.8054e-10,3.3665e-12
3s.3p,3P*,1.0,3.0,10.33948,3s.3p,1P*,1.0,3.0,15.76468,5.4252,228.53388,0.0136,1.0649e-11,3.1946e-11,2.8262e-13
3s.3p,3P*,1.0,3.0,10.33948,3p2,1D,2.0,5.0,24.02059,13.68111,90.62437,5480000.0,0.0011246,0.0033737,2.9846e-05
3s.3p,3P*,1.0,3.0,10.33948,3p2,3P,0.0,1.0,24.79277,14.45329,85.78268,4110000000.0,0.15114,0.45342,0.0040113
3s.3p,3P*,1.0,3.0,10.33948,3p2,3P,1.0,3.0,24.84279,14.50331,85.48683,1040000000.0,0.11394,0.34183,0.0030241
3s.3p,3P*,1.0,3.0,10.33948,3p2,3P,2.0,5.0,24.93893,14.59945,84.92388,1050000000.0,0.18922,0.56765,0.0050218
3s.3p,3P*,1.0,3.0,10.33948,3s.3d,3D,1.0,3.0,29.12903,18.78955,65.98572,2650000000.0,0.17298,0.51895,0.004591
3s.3p,3P*,1.0,3.0,10.33948,3s.3d,3D,2.0,5.0,29.12973,18.79025,65.98326,4770000000.0,0.51891,1.5567,0.013772
