Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""2p6.3s""","=""2S""","=""1/2""",2,"=""""","=""0.00000""","=""""","=""0""","=""                                              ""","=""L7237"""
"=""2p6.3p""","=""2P*""","=""1/2""",2,"=""""","=""13.12665""","=""""","=""""","=""                                              ""","="""""
"=""2p6.3p""","=""2P*""","=""3/2""",4,"=""""","=""13.28338""","=""""","=""""","=""                                              ""","="""""
"=""2p6.3d""","=""2D""","=""3/2""",4,"=""""","=""30.67648""","=""""","=""""","=""                                              ""","="""""
"=""2p6.3d""","=""2D""","=""5/2""",6,"=""""","=""30.68051""","=""""","=""""","=""                                              ""","="""""
"=""2p6.4s""","=""2S""","=""1/2""",2,"=""""","=""45.00488""","=""""","=""""","=""                                              ""","="""""
"=""2p6.4p""","=""2P*""","=""1/2""",2,"=""""","=""49.73864""","=""""","=""""","=""                                              ""","="""""
"=""2p6.4p""","=""2P*""","=""3/2""",4,"=""""","=""49.79541""","=""""","=""""","=""                                              ""","="""""
"=""2p6.4d""","=""2D""","=""3/2""",4,"=""""","=""56.01566""","=""""","=""""","=""                                              ""","="""""
"=""2p6.4d""","=""2D""","=""5/2""",6,"=""""","=""56.01777""","=""""","=""""","=""                                              ""","="""""
"=""2p6.4f""","=""2F*""","=""5/2""",6,"=""""","=""57.36130""","=""""","=""""","=""                                              ""","="""""
"=""2p6.4f""","=""2F*""","=""7/2""",8,"=""""","=""57.36130""","=""""","=""""","=""                                              ""","="""""
"=""2p6.5s""","=""2S""","=""1/2""",2,"=""""","=""62.50073""","=""""","=""""","=""                                              ""","="""""
"=""2p6.5p""","=""2P*""","=""1/2""",2,"=""""","=""64.72336""","=""""","=""""","=""                                              ""","="""""
"=""2p6.5p""","=""2P*""","=""3/2""",4,"=""""","=""64.75069""","=""""","=""""","=""                                              ""","="""""
"=""2p6.5d""","=""2D""","=""3/2""",4,"=""""","=""67.70127""","=""""","=""""","=""                                              ""","="""""
"=""2p6.5d""","=""2D""","=""5/2""",6,"=""""","=""67.70264""","=""""","=""""","=""                                              ""","="""""
"=""2p6.5f""","=""2F*""","=""7/2""",8,"=""""","=""68.40947""","=""""","=""""","=""                                              ""","="""""
"=""2p6.5f""","=""2F*""","=""5/2""",6,"=""""","=""68.40947""","=""""","=""""","=""                                              ""","="""""
"=""2p6.5g""","=""2G""","=""7/2""",8,"=""""","=""68.45354""","=""""","=""""","=""                                              ""","="""""
"=""2p6.5g""","=""2G""","=""9/2""",10,"=""""","=""68.45354""","=""""","=""""","=""                                              ""","="""""
"=""2p6.6s""","=""2S""","=""1/2""",2,"=""""","=""71.13441""","=""""","=""""","=""                                              ""","="""""
"=""2p6.6p""","=""2P*""","=""1/2""",2,"=""""","=""72.35114""","=""""","=""""","=""                                              ""","="""""
"=""2p6.6p""","=""2P*""","=""3/2""",4,"=""""","=""72.36637""","=""""","=""""","=""                                              ""","="""""
"=""2p6.6d""","=""2D""","=""3/2""",4,"=""""","=""74.00034""","=""""","=""""","=""                                              ""","="""""
"=""2p6.6d""","=""2D""","=""5/2""",6,"=""""","=""74.00137""","=""""","=""""","=""                                              ""","="""""
"=""2p6.6f""","=""2F*""","=""7/2""",8,"=""""","=""74.41400""","=""""","=""""","=""                                              ""","="""""
"=""2p6.6f""","=""2F*""","=""5/2""",6,"=""""","=""74.41400""","=""""","=""""","=""                                              ""","="""""
"=""2p6.6g""","=""2G""","=""7/2""",8,"=""""","=""74.44244""","=""""","=""""","=""                                              ""","="""""
"=""2p6.6g""","=""2G""","=""9/2""",10,"=""""","=""74.44244""","=""""","=""""","=""                                              ""","="""""
"=""2p6.6h""","=""2H*""","=""9/2""",10,"=""""","=""74.44618""","=""""","=""""","=""                                              ""","="""""
"=""2p6.6h""","=""2H*""","=""11/2""",12,"=""""","=""74.44618""","=""""","=""""","=""                                              ""","="""""
"=""2p6.7s""","=""2S""","=""1/2""",2,"=""""","=""76.02696""","=""""","=""""","=""                                              ""","="""""
"=""2p6.7p""","=""2P*""","=""1/2""",2,"=""""","=""76.76394""","=""""","=""""","=""                                              ""","="""""
"=""2p6.7p""","=""2P*""","=""3/2""",4,"=""""","=""76.77330""","=""""","=""""","=""                                              ""","="""""
"=""2p6.7d""","=""2D""","=""5/2""",6,"=""""","=""77.7737""","=""""","=""""","=""                                              ""","="""""
"=""2p6.7d""","=""2D""","=""3/2""",4,"=""""","=""77.7737""","=""""","=""""","=""                                              ""","="""""
"=""2p6.7f""","=""2F*""","=""5/2""",6,"=""""","=""78.03445""","=""""","=""""","=""                                              ""","="""""
"=""2p6.7f""","=""2F*""","=""7/2""",8,"=""""","=""78.03445""","=""""","=""""","=""                                              ""","="""""
"=""2p6.7h""","=""2H*""","=""9/2""",10,"=""""","=""78.05596""","=""""","=""""","=""                                              ""","="""""
"=""2p6.7h""","=""2H*""","=""11/2""",12,"=""""","=""78.05596""","=""""","=""""","=""                                              ""","="""""
"=""2p6.7i""","=""2I""","=""11/2""",12,"=""""","=""78.05672""","=""""","=""""","=""                                              ""","="""""
"=""2p6.7i""","=""2I""","=""13/2""",14,"=""""","=""78.05672""","=""""","=""""","=""                                              ""","="""""
"=""2p6.8s""","=""2S""","=""1/2""",2,"=""""","=""79.0658""","=""""","=""""","=""                                              ""","="""""
"=""2p6.8p""","=""2P*""","=""1/2""",2,"=""[""","=""79.546""","=""]""","=""""","=""                                              ""","="""""
"=""2p6.8p""","=""2P*""","=""3/2""",4,"=""[""","=""79.5521""","=""]""","=""""","=""                                              ""","="""""
"=""2p6.8d""","=""2D""","=""3/2""",4,"=""""","=""80.2092""","=""""","=""""","=""                                              ""","="""""
"=""2p6.8d""","=""2D""","=""5/2""",6,"=""""","=""80.2092""","=""""","=""""","=""                                              ""","="""""
"=""2p6.8f""","=""2F*""","=""5/2""",6,"=""""","=""80.38431""","=""""","=""""","=""                                              ""","="""""
"=""2p6.8f""","=""2F*""","=""7/2""",8,"=""""","=""80.38431""","=""""","=""""","=""                                              ""","="""""
"=""2p6.9p""","=""2P*""","=""1/2""",2,"=""[""","=""81.4131""","=""]""","=""""","=""                                              ""","="""""
"=""2p6.9p""","=""2P*""","=""3/2""",4,"=""[""","=""81.4173""","=""]""","=""""","=""                                              ""","="""""
"=""2p6.9d""","=""2D""","=""3/2""",4,"=""""","=""81.8718""","=""""","=""""","=""                                              ""","="""""
"=""2p6.9d""","=""2D""","=""5/2""",6,"=""""","=""81.8718""","=""""","=""""","=""                                              ""","="""""
"=""2p6.9f""","=""2F*""","=""7/2""",8,"=""""","=""81.9941""","=""""","=""""","=""                                              ""","="""""
"=""2p6.9f""","=""2F*""","=""5/2""",6,"=""""","=""81.9941""","=""""","=""""","=""                                              ""","="""""
"=""2p6.10f""","=""2F*""","=""5/2""",6,"=""""","=""83.1470""","=""""","=""""","=""                                              ""","="""""
"=""2p6.10f""","=""2F*""","=""7/2""",8,"=""""","=""83.1470""","=""""","=""""","=""                                              ""","="""""
"=""S VII (2p6 1S<0>)""","=""Limit""","=""---""",,"=""""","=""88.0529""","=""""","=""0.0004""","=""                                              ""","=""L7237,L4882"""
"=""2p5.3s.(3P*).3p""","=""4S""","=""3/2""",4,"=""""","=""173.19353""","=""+x""","=""""","=""  96         :     3  2p5.3s.(3P*).3p    4P   ""","="""""
"=""2p5.3s.(3P*).3p""","=""4D""","=""7/2""",8,"=""""","=""174.77196""","=""+x""","=""""","="" 100                                          ""","="""""
"=""2p5.3s.(3P*).3p""","=""4D""","=""5/2""",6,"=""""","=""174.95166""","=""+x""","=""""","=""  88         :     6  2p5.3s.(3P*).3p    4P   ""","="""""
"=""2p5.3s.(3P*).3p""","=""4D""","=""3/2""",4,"=""""","=""175.20459""","=""+x""","=""""","=""  83         :     6  2p5.3s.(3P*).3p    4P   ""","="""""
"=""2p5.3s.(3P*).3p""","=""4D""","=""1/2""",2,"=""""","=""175.49155""","=""+x""","=""""","=""  86         :     5  2p5.3s.(3P*).3p    4P   ""","="""""
"=""2p5.3s.(3P*).3p""","=""4P""","=""5/2""",6,"=""""","=""175.95780""","=""+x""","=""""","=""  83         :    10  2p5.3s.(1P*).3p    2D   ""","="""""
"=""2p5.3s.(3P*).3p""","=""4P""","=""3/2""",4,"=""""","=""176.10532""","=""+x""","=""""","=""  56         :    24  2p5.3s.(1P*).3p    2D   ""","="""""
"=""2p5.3s.(3P*).3p""","=""4P""","=""1/2""",2,"=""""","=""176.33230""","=""+x""","=""""","=""  88         :     7  2p5.3s.(3P*).3p    4D   ""","="""""
"=""2p5.(2P*).3p2.(3P)""","=""4P*""","=""5/2""",6,"=""""","=""189.29682""","=""+x""","=""""","=""  94         :     5  2p5.(2P*).3p2.(3P) 4D*  ""","="""""
"=""2p5.(2P*).3p2.(3P)""","=""4D*""","=""1/2""",2,"=""""","=""""","=""""","=""""","=""                                              ""","="""""
"=""2p5.(2P*).3p2.(3P)""","=""4D*""","=""7/2""",8,"=""""","=""190.63968""","=""+x""","=""""","="" 100                                          ""","="""""
"=""2p5.(2P*).3p2.(3P)""","=""4D*""","=""5/2""",6,"=""""","=""190.84630""","=""+x""","=""""","=""  77         :    18  2p5.(2P*).3p2.(3P) 2D*  ""","="""""
"=""2p5.(2P*).3p2.(3P)""","=""4D*""","=""3/2""",4,"=""""","=""190.97777""","=""+x""","=""""","=""  48         :    36  2p5.(2P*).3p2.(3P) 2D*  ""","="""""
"=""2p5.3s.(3P*).3d""","=""4P*""","=""1/2""",2,"=""""","=""194.28861""","=""+x""","=""""","="" 100                                          ""","="""""
"=""2p5.3s.(3P*).3d""","=""4P*""","=""3/2""",4,"=""""","=""194.43315""","=""+x""","=""""","=""  96         :     3  2p5.3s.(3P*).3d    4D*  ""","="""""
"=""2p5.3s.(3P*).3d""","=""4P*""","=""5/2""",6,"=""""","=""194.70253""","=""+x""","=""""","=""  92         :     6  2p5.3s.(3P*).3d    4D*  ""","="""""
"=""2p5.3s.(3P*).3d""","=""4F*""","=""9/2""",10,"=""""","=""194.96285""","=""+x""","=""""","="" 100                                          ""","="""""
"=""2p5.3s.(3P*).3d""","=""4F*""","=""7/2""",8,"=""""","=""195.18737""","=""+x""","=""""","=""  90         :     5  2p5.3s.(3P*).3d    4D*  ""","="""""
"=""2p5.3s.(3P*).3d""","=""4F*""","=""5/2""",6,"=""""","=""195.43441""","=""+x""","=""""","=""  83         :     6  2p5.3s.(3P*).3d    4D*  ""","="""""
"=""2p5.3s.(3P*).3d""","=""4F*""","=""3/2""",4,"=""""","=""195.71208""","=""+x""","=""""","=""  83         :     8  2p5.3s.(3P*).3d    4D*  ""","="""""
"=""2p5.3s.(3P*).3d""","=""4D*""","=""5/2""",6,"=""""","=""196.33""","=""""","=""""","=""                                              ""","="""""
"=""2p5.3s.(3P*).3d""","=""4D*""","=""7/2""",8,"=""""","=""196.33""","=""""","=""""","=""                                              ""","="""""
"=""2p5.3s.(1P*).3d""","=""2F*""","=""5/2""",6,"=""""","=""197.28""","=""""","=""""","=""                                              ""","="""""
"=""2p5.3s.(1P*).3d""","=""2F*""","=""7/2""",8,"=""""","=""197.28""","=""""","=""""","=""                                              ""","="""""
"=""2p5.3s.(1P*).3d""","=""2D*""","=""5/2""",6,"=""""","=""197.82""","=""""","=""""","=""                                              ""","="""""
"=""S VII (2p5.3s 3P*<2>)""","=""Limit""","=""---""",,"=""""","=""258.1325""","=""""","=""""","=""                                              ""","="""""
"=""2p5.3s.(1P*).3p""","=""2D""","=""3/2""",4,"=""""","=""""","=""""","=""""","=""                                              ""","="""""
"=""2p5.3s.(1P*).3p""","=""2D""","=""5/2""",6,"=""""","=""""","=""""","=""""","=""                                              ""","="""""
"=""2p5.3s.(1P*).3p""","=""2P""","=""3/2""",4,"=""""","=""""","=""""","=""""","=""                                              ""","="""""
