obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""4.62120""","=""10g""","=""""",,"=""0.0000""","=""268.294""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).7d""","=""2[3/2]*""","=""1""",1,3,,"=""""","=""L3463""",
"=""4.7098""","=""4.70981""","=""50g""","=""1.36e+11""",D,"=""0.0000""","=""263.247""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).6d""","=""2[3/2]*""","=""1""",1,3,,"=""T5249""","=""L3463""",
"=""4.7307""","=""4.73070""","=""50g""","=""1.04e+11""",D,"=""0.0000""","=""262.084""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""1""",1,3,,"=""T5249""","=""L3463""",
"=""4.8647""","=""4.86469""","=""150g""","=""1.95e+11""",D,"=""0.0000""","=""254.866""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""1""",1,3,,"=""T5249""","=""L3463""",
"=""4.8874""","=""4.88739""","=""100g""","=""7.63e+10""",D,"=""0.0000""","=""253.682""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""1""",1,3,,"=""T5249""","=""L3463""",
"=""5.0027""","=""5.0027""","=""70g""","=""1.07e+10""",D,"=""0.0000""","=""247.834""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""",1,3,,"=""T5249""","=""L3463""",
"=""5.1807""","=""5.1807""","=""350g""","=""5.15e+11""",D,"=""0.0000""","=""239.319""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).4d""","=""2[3/2]*""","=""1""",1,3,,"=""T5249""","=""L3463""",
"=""5.2097""","=""5.2097""","=""200g""","=""9.99e+10""",D,"=""0.0000""","=""237.99""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).4d""","=""2[3/2]*""","=""1""",1,3,,"=""T5249""","=""L3463""",
"=""5.2334""","=""5.2334""","=""100g""","=""2.44e+09""",D,"=""0.0000""","=""236.91""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).4d""","=""2[1/2]*""","=""1""",1,3,,"=""T5249""","=""L7069""",
"=""5.4652""","=""5.4652""","=""100g""","=""1.86e+10""",D,"=""0.0000""","=""226.861""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""",1,3,,"=""T5249""","=""L3463""",
"=""5.4938""","=""5.4938""","=""100g""","=""1.51e+10""",D+,"=""0.0000""","=""225.680""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""",1,3,,"=""T7663c84""","=""L3463""",
