obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""3.4310""","=""20g,bl""","=""7.14e+11""",D+,"=""0.0000""","=""361.36?""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).4d""","=""4P""","=""5/2""",4,6,,"=""u21,LS""","=""""",
"=""4.1357""","=""4.13570""","=""30g""","=""3.17e+11""",B,"=""0.0000""","=""299.790?""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s.2p3.(5S*).3p""","=""4P""","=""5/2""",4,6,,"=""T7370c84""","=""L7069""",
"=""""","=""4.15093""","=""""","=""1.46e+09""",D+,"=""0.0000""","=""298.690""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(1D).3d""","=""2D?""","=""5/2""",4,6,,"=""T7370c84""","=""""",
"=""""","=""4.15343""","=""""","=""5.59e+08""",D,"=""0.0000""","=""298.511""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(1D).3d""","=""2D?""","=""3/2""",4,4,,"=""T7370c84""","=""""",
"=""4.2005""","=""4.20049""","=""10""","=""9.05e+11""",C,"=""46.9228""","=""342.089?""","=""2s.2p4""","=""4P""","=""5/2""","=""2s.2p3.(3P*).3d""","=""4D*""","=""7/2""",6,8,,"=""u21,LS""","=""L7069""",
"=""""","=""4.20186""","=""""","=""1.16e+09""",D+,"=""0.0000""","=""295.070?""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""2D""","=""5/2""",4,6,,"=""T7370c84""","=""""",
"=""""","=""4.20398""","=""""","=""3.19e+08""",D,"=""0.0000""","=""294.921?""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""2D""","=""3/2""",4,4,,"=""T7370c84""","=""""",
"=""4.2485""","=""4.24850""","=""60g""","=""1.93e+12""",B+,"=""0.0000""","=""291.830""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""4P""","=""1/2""",4,2,,"=""T7370c84""","=""L7069""",
"=""4.2495""","=""4.24950""","=""70g""","=""1.88e+12""",B+,"=""0.0000""","=""291.762""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""4P""","=""3/2""",4,4,,"=""T7370c84""","=""L7069""",
"=""4.2543""","=""4.25431""","=""70g""","=""1.77e+12""",B+,"=""0.0000""","=""291.432""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""4P""","=""5/2""",4,6,,"=""T7370c84""","=""L7069""",
"=""4.2676""","=""4.26805""","=""30g""","=""1.86e+10""",C,"=""0.0000""","=""290.494""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""2F""","=""5/2""",4,6,,"=""T7370c84""","=""u26""",
"=""4.2712""","=""4.27131""","=""30g""","=""3.92e+08""",D,"=""0.0000""","=""290.272?""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""2P""","=""1/2""",4,2,,"=""T7370c84""","=""u26""",
"=""4.2831""","=""4.28380""","=""10bl""","=""""",,"=""10.36445""","=""299.790?""","=""2s2.2p3""","=""2D*""","=""5/2""","=""2s.2p3.(5S*).3p""","=""4P""","=""5/2""",6,6,,"=""""","=""u26""",
"=""""","=""4.28971""","=""""","=""4.06e+10""",C,"=""0.0000""","=""289.027""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""2P""","=""3/2""",4,4,,"=""T7370c84""","=""""",
"=""4.2916""","=""4.29165""","=""30""","=""1.07e+12""",B+,"=""10.22154""","=""299.118""","=""2s2.2p3""","=""2D*""","=""3/2""","=""2s2.2p2.(1D).3d""","=""2F""","=""5/2""",4,6,,"=""T7370c84""","=""u26""",
"=""4.2937""","=""4.29377""","=""""","=""2.14e+10""",C+,"=""10.36445""","=""299.118""","=""2s2.2p3""","=""2D*""","=""5/2""","=""2s2.2p2.(1D).3d""","=""2F""","=""5/2""",6,6,,"=""T7370c84""","=""L4484""",
"=""""","=""4.29801""","=""""","=""8.02e+11""",B+,"=""10.22154""","=""298.690""","=""2s2.2p3""","=""2D*""","=""3/2""","=""2s2.2p2.(1D).3d""","=""2D?""","=""5/2""",4,6,,"=""T7370c84""","=""""",
"=""""","=""4.30014""","=""""","=""8.22e+11""",B+,"=""10.36445""","=""298.690""","=""2s2.2p3""","=""2D*""","=""5/2""","=""2s2.2p2.(1D).3d""","=""2D?""","=""5/2""",6,6,,"=""T7370c84""","=""""",
"=""4.3002""","=""4.30020""","=""50bl""","=""2.20e+12""",B+,"=""10.36445""","=""298.687""","=""2s2.2p3""","=""2D*""","=""5/2""","=""2s2.2p2.(1D).3d""","=""2F""","=""7/2""",6,8,,"=""T7370c84""","=""L7069""",
"=""""","=""4.30069""","=""""","=""8.38e+11""",B+,"=""10.22154""","=""298.511""","=""2s2.2p3""","=""2D*""","=""3/2""","=""2s2.2p2.(1D).3d""","=""2D?""","=""3/2""",4,4,,"=""T7370c84""","=""""",
"=""""","=""4.30282""","=""""","=""1.06e+11""",B,"=""10.36445""","=""298.511""","=""2s2.2p3""","=""2D*""","=""5/2""","=""2s2.2p2.(1D).3d""","=""2D?""","=""3/2""",6,4,,"=""T7370c84""","=""""",
"=""4.3263""","=""4.32630""","=""50""","=""9.01e+11""",C,"=""46.9228""","=""333.505?""","=""2s.2p4""","=""4P""","=""5/2""","=""2s.2p3.(3D*).3d""","=""4D*""","=""7/2""",6,8,,"=""u21,LS""","=""L7069""",
"=""""","=""4.35264""","=""""","=""3.34e+11""",B,"=""10.22154""","=""295.070?""","=""2s2.2p3""","=""2D*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""2D""","=""5/2""",4,6,,"=""T7370c84""","=""""",
"=""4.3550""","=""4.35482""","=""30*""","=""5.99e+11""",B+,"=""10.36445""","=""295.070?""","=""2s2.2p3""","=""2D*""","=""5/2""","=""2s2.2p2.(3P).3d""","=""2D""","=""5/2""",6,6,,"=""T7370c84""","=""u26""",
"=""4.3550""","=""4.35491""","=""30*""","=""3.32e+11""",B,"=""10.22154""","=""294.921?""","=""2s2.2p3""","=""2D*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""2D""","=""3/2""",4,4,,"=""T7370c84""","=""u26""",
