spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
S X,S,9,2s2.2p3,4S*,1.5,4,0.0,0.0,odd,,no,447.7,,,,,,,,,,L7237
S X,S,9,2s2.2p3,2D*,1.5,4,10.22154,,odd,,no,447.7,0.06535947712418301,"ASD 1/sum(Aki), J-resolved",0.06535947712418301,1/1,yes,10.22154,10.22154,,,
S X,S,9,2s2.2p3,2D*,2.5,6,10.36445,,odd,,no,447.7,2.5900025900025896,"ASD 1/sum(Aki), J-resolved",2.5900025900025896,3/3,yes,10.36445,10.36445,,,
S X,S,9,2s2.2p3,2P*,0.5,2,15.7429,,odd,,no,447.7,0.005076760620583218,"ASD 1/sum(Aki), J-resolved",0.005076760620583218,3/3,yes,15.7429,15.7429,,,
S X,S,9,2s2.2p3,2P*,1.5,4,15.9697,,odd,,no,447.7,0.00209898035732202,"ASD 1/sum(Aki), J-resolved",0.00209898035732202,5/5,yes,15.9697,15.9697,,,
S X,S,9,2s.2p4,4P,2.5,6,46.9228,,even,,no,447.7,2.0048919363246322e-10,"ASD 1/sum(Aki), J-resolved",2.0048919363246322e-10,4/4,yes,46.9228,46.9228,,,
S X,S,9,2s.2p4,4P,1.5,4,47.7788,,even,,no,447.7,1.8960332509759035e-10,"ASD 1/sum(Aki), J-resolved",1.8960332509759035e-10,6/6,yes,47.7788,47.7788,,,
S X,S,9,2s.2p4,4P,0.5,2,48.2153,,even,,no,447.7,1.8374446518304418e-10,"ASD 1/sum(Aki), J-resolved",1.8374446518304418e-10,5/5,yes,48.2153,48.2153,,,
S X,S,9,2s.2p4,2D,1.5,4,64.5614,,even,,no,447.7,7.22907413171106e-11,"ASD 1/sum(Aki), J-resolved",7.22907413171106e-11,9/9,yes,54.33986000000001,64.5614,,,
S X,S,9,2s.2p4,2D,2.5,6,64.5789,,even,,no,447.7,7.456464218380368e-11,"ASD 1/sum(Aki), J-resolved",7.456464218380368e-11,7/7,yes,54.21445000000001,64.5789,,,
S X,S,9,2s.2p4,2S,0.5,2,75.4796,,even,,no,447.7,3.833767688091292e-11,"ASD 1/sum(Aki), J-resolved",3.833767688091292e-11,10/10,yes,59.5099,75.4796,,,
S X,S,9,2s.2p4,2P,1.5,4,78.9653,,even,,no,447.7,1.831424675609775e-11,"ASD 1/sum(Aki), J-resolved",1.831424675609775e-11,12/12,yes,68.60085,78.9653,,,
S X,S,9,2s.2p4,2P,0.5,2,80.052,,even,,no,447.7,1.8468448421296613e-11,"ASD 1/sum(Aki), J-resolved",1.8468448421296613e-11,12/12,yes,69.83046,80.052,,,
