Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""2s2.2p2""","=""3P""","=""0""",1,"=""""","=""0.0000""","=""""","=""0""","=""                                     ""","=""L7237"""
"=""2s2.2p2""","=""3P""","=""1""",3,"=""""","=""0.64571""","=""""","=""""","=""                                     ""","="""""
"=""2s2.2p2""","=""3P""","=""2""",5,"=""""","=""1.53593""","=""""","=""""","=""                                     ""","="""""
"=""2s2.2p2""","=""1D""","=""2""",5,"=""""","=""8.32508""","=""""","=""""","=""                                     ""","="""""
"=""2s2.2p2""","=""1S""","=""0""",1,"=""""","=""16.4811""","=""""","=""""","=""                                     ""","="""""
"=""2s.2p3""","=""5S*""","=""2""",5,"=""""","=""23.0922""","=""+x""","=""""","=""                                     ""","="""""
"=""2s.2p3""","=""3D*""","=""2""",5,"=""""","=""44.0238""","=""""","=""""","=""                                     ""","="""""
"=""2s.2p3""","=""3D*""","=""3""",7,"=""""","=""44.058""","=""""","=""""","=""                                     ""","="""""
"=""2s.2p3""","=""3D*""","=""1""",3,"=""""","=""44.0595""","=""""","=""""","=""                                     ""","="""""
"=""2s.2p3""","=""3P*""","=""0""",1,"=""""","=""51.6948""","=""""","=""""","=""                                     ""","="""""
"=""2s.2p3""","=""3P*""","=""1""",3,"=""""","=""51.6997""","=""""","=""""","=""                                     ""","="""""
"=""2s.2p3""","=""3P*""","=""2""",5,"=""""","=""51.7534""","=""""","=""""","=""                                     ""","="""""
"=""2s.2p3""","=""1D*""","=""2""",5,"=""""","=""65.7336""","=""""","=""""","=""                                     ""","="""""
"=""2s.2p3""","=""3S*""","=""1""",3,"=""""","=""66.359""","=""""","=""""","=""                                     ""","="""""
"=""2s.2p3""","=""1P*""","=""1""",3,"=""""","=""73.458""","=""""","=""""","=""                                     ""","="""""
"=""2p4""","=""3P""","=""2""",5,"=""""","=""100.6382""","=""""","=""""","=""                                     ""","="""""
"=""2p4""","=""3P""","=""1""",3,"=""""","=""101.7329""","=""""","=""""","=""                                     ""","="""""
"=""2p4""","=""3P""","=""0""",1,"=""""","=""102.1190""","=""""","=""""","=""                                     ""","="""""
"=""2p4""","=""1D""","=""2""",5,"=""""","=""107.6756""","=""""","=""""","=""                                     ""","="""""
"=""2p4""","=""1S""","=""0""",1,"=""[""","=""122.3397""","=""]""","=""""","=""                                     ""","="""""
"=""2s2.2p.3s""","=""3P*""","=""0""",1,"=""""","=""""","=""""","=""""","=""                                     ""","="""""
"=""2s2.2p.3s""","=""3P*""","=""1""",3,"=""""","=""287.676""","=""""","=""""","=""                                     ""","="""""
"=""2s2.2p.3s""","=""3P*""","=""2""",5,"=""""","=""289.049""","=""""","=""""","=""                                     ""","="""""
"=""2s2.2p.3s""","=""1P*""","=""1""",3,"=""""","=""290.750""","=""""","=""""","=""                                     ""","="""""
