obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""3.09496""","=""30g,bl""","=""""",,"=""1.53593""","=""402.137?""","=""2s2.2p2""","=""3P""","=""2""","=""2s2.2p.4d""","=""1F*""","=""3""",5,7,,"=""""","=""""",
"=""3.1054""","=""3.1054""","=""70g""","=""6.88e+11""",D+,"=""1.53593""","=""400.79?""","=""2s2.2p2""","=""3P""","=""2""","=""2s2.2p.4d""","=""3D*""","=""3""",5,7,,"=""T5249""","=""L7069""",
"=""3.1483""","=""3.14831""","=""40bl""","=""1.00e+12""",C,"=""8.32508""","=""402.137?""","=""2s2.2p2""","=""1D""","=""2""","=""2s2.2p.4d""","=""1F*""","=""3""",5,7,,"=""T5249""","=""L7069""",
"=""3.6659""","=""3.6659""","=""20""","=""6.46e+11""",C,"=""8.32508""","=""346.54?""","=""2s2.2p2""","=""1D""","=""2""","=""2s.2p2.(2D).3p""","=""1F*""","=""3""",5,7,,"=""T5052""","=""L7069""",
"=""3.6733""","=""3.6733""","=""10""","=""5.22e+11""",D+,"=""8.32508""","=""345.85?""","=""2s2.2p2""","=""1D""","=""2""","=""2s.2p2.(2D).3p""","=""1D*""","=""2""",5,5,,"=""T5052""","=""L7069""",
"=""""","=""3.70648""","=""""","=""3.88e+09""",E',"=""44.0238""","=""378.530""","=""2s.2p3""","=""3D*""","=""2""","=""2s.2p2.(2P).3d""","=""3P""","=""2""",5,5,,"=""T5052""","=""""",
"=""""","=""3.70686""","=""""","=""1.26e+10""",D,"=""44.058""","=""378.530""","=""2s.2p3""","=""3D*""","=""3""","=""2s.2p2.(2P).3d""","=""3P""","=""2""",7,5,,"=""T5052""","=""""",
"=""3.7773""","=""3.77727""","=""30g""","=""5.38e+11""",C,"=""1.53593""","=""329.773""","=""2s2.2p2""","=""3P""","=""2""","=""2s.2p2.(4P).3p""","=""3D*""","=""3""",5,7,,"=""T5052""","=""L7069""",
"=""""","=""3.79353""","=""""","=""3.73e+10""",E',"=""51.6997""","=""378.530""","=""2s.2p3""","=""3P*""","=""1""","=""2s.2p2.(2P).3d""","=""3P""","=""2""",3,5,,"=""T5520c4,LS""","=""""",
"=""""","=""3.79416""","=""""","=""1.12e+11""",D,"=""51.7534""","=""378.530""","=""2s.2p3""","=""3P*""","=""2""","=""2s.2p2.(2P).3d""","=""3P""","=""2""",5,5,,"=""T5520c4,LS""","=""""",
"=""""","=""3.86173""","=""""","=""8.40e+09""",C,"=""0.0000""","=""321.058?""","=""2s2.2p2""","=""3P""","=""0""","=""2s2.2p.3d""","=""1P*""","=""1""",1,3,,"=""u31""","=""""",
"=""""","=""3.86952""","=""""","=""5.18e+09""",C,"=""0.64571""","=""321.058?""","=""2s2.2p2""","=""3P""","=""1""","=""2s2.2p.3d""","=""1P*""","=""1""",3,3,,"=""u31""","=""""",
"=""""","=""3.88030+""","=""""","=""1.09e+08""",D,"=""1.53593""","=""321.058?""","=""2s2.2p2""","=""3P""","=""2""","=""2s2.2p.3d""","=""1P*""","=""1""",5,3,,"=""u31""","=""""",
"=""""","=""3.88055""","=""""","=""1.17e+09""",D+,"=""1.53593""","=""321.037""","=""2s2.2p2""","=""3P""","=""2""","=""2s2.2p.3d""","=""1F*""","=""3""",5,7,,"=""u31""","=""""",
