obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""125.528""","=""""","=""10""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""125.649""","=""""","=""40""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""125.880""","=""""","=""50""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""157.387""","=""""","=""50""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""157.482""","=""""","=""50""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""""","=""158.9173""","=""""","=""4.44e+07""",E,"=""0.0000000""","=""7.801805""","=""3s2.3p2""","=""3P""","=""0""","=""3s2.3p.6d""","=""3D*""","=""1""",1,3,,"=""T6066LS""","=""""",
"=""""","=""159.1123""","=""""","=""3.32e+07""",E,"=""0.0095610""","=""7.801805""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.6d""","=""3D*""","=""1""",3,3,,"=""T6066LS""","=""""",
"=""159.241""","=""""","=""50""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""159.455""","=""""","=""150""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""""","=""159.4566""","=""""","=""7.91e+07""",D,"=""0.0276679""","=""7.803087""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.6d""","=""3D*""","=""3""",5,7,,"=""T6066LS""","=""""",
"=""""","=""159.4829""","=""""","=""2.19e+06""",E,"=""0.0276679""","=""7.801805""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.6d""","=""3D*""","=""1""",5,3,,"=""T6066LS""","=""""",
"=""159.493""","=""""","=""50""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""""","=""159.4950""","=""""","=""5.92e+07""",E,"=""0.0095610""","=""7.783107""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.6d""","=""3D*""","=""2""",3,5,,"=""T6066LS""","=""""",
"=""159.795""","=""""","=""30""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""""","=""159.8674""","=""""","=""1.96e+07""",E,"=""0.0276679""","=""7.783107""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.6d""","=""3D*""","=""2""",5,5,,"=""T6066LS""","=""""",
"=""162.287""","=""""","=""100""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""162.571""","=""162.5705""","=""30""","=""7.16e+07""",E,"=""0.0000000""","=""7.626487""","=""3s2.3p2""","=""3P""","=""0""","=""3s2.3p.5d""","=""3D*""","=""1""",1,3,,"=""T8363""","=""L3521""",
"=""""","=""162.7746""","=""""","=""5.34e+07""",E,"=""0.0095610""","=""7.626487""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.5d""","=""3D*""","=""1""",3,3,,"=""T8363""","=""""",
"=""162.943""","=""162.9441""","=""300""","=""8.73e+07""",C,"=""0.0095610""","=""7.618564""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.5d""","=""3D*""","=""2""",3,5,,"=""T5071""","=""L3521""",
"=""162.992""","=""""","=""200""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""""","=""162.99478""","=""""","=""2.11e+08""",C,"=""0.0276679""","=""7.6343040""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.5d""","=""3D*""","=""3""",5,7,,"=""T5071""","=""""",
"=""163.113""","=""""","=""75""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""""","=""163.1624""","=""""","=""3.54e+06""",E,"=""0.0276679""","=""7.626487""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.5d""","=""3D*""","=""1""",5,3,,"=""T8363""","=""""",
