conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
3s2.3p2,3P,0.0,1.0,0.0,3s2.3p2,3P,1.0,3.0,0.009561,0.009561,129677.01956,8.25e-06,6.2397e-09,6.2397e-09,1.656e-10
3s2.3p2,3P,0.0,1.0,0.0,3s2.3p2,3P,2.0,5.0,0.027668,0.027668,44811.56806,3.49e-10,5.2533e-14,5.2533e-14,1.3942e-15
3s2.3p2,3P,0.0,1.0,0.0,3s2.3p2,1D,2.0,5.0,0.780958,0.780958,1587.59132,3.97e-07,7.5006e-14,7.5006e-14,1.9907e-15
3s2.3p2,3P,0.0,1.0,0.0,3s.3p3,5S*,2.0,5.0,4.131904,4.131904,300.06553,0.000657,4.4343e-12,4.4343e-12,1.1769e-13
3s2.3p2,3P,0.0,1.0,0.0,3s2.3p.4s,3P*,1.0,3.0,4.929647,4.929647,251.50725,73900000.0,0.21025,0.21025,0.0055799
3s2.3p2,3P,0.0,1.0,0.0,3s2.3p.4s,1P*,1.0,3.0,5.082346,5.082346,243.95073,791000.0,0.0021172,0.0021172,5.619e-05
3s2.3p2,3P,0.0,1.0,0.0,3s.3p3,3D*,1.0,3.0,5.613532,5.613532,220.86665,26200000.0,0.057483,0.057483,0.0015256
3s2.3p2,3P,0.0,1.0,0.0,3s.3p3,3D*,2.0,5.0,5.615694,5.615694,220.7816,0.00468,1.71e-11,1.71e-11,4.5384e-13
3s2.3p2,3P,0.0,1.0,0.0,3s2.3p.3d,3P*,1.0,3.0,6.269434,6.269434,197.75979,27900000.0,0.049075,0.049075,0.0013025
3s2.3p2,3P,0.0,1.0,0.0,3s2.3p.3d,3D*,1.0,3.0,6.718116,6.718116,184.55202,168000000.0,0.25735,0.25735,0.0068301
3s2.3p2,3P,0.0,1.0,0.0,3s2.3p.5s,3P*,1.0,3.0,6.734055,6.734055,184.11521,15000000.0,0.022869,0.022869,0.00060695
3s2.3p2,3P,0.0,1.0,0.0,3s2.3p.4d,1P*,1.0,3.0,7.29046,7.29046,170.06361,30600000.0,0.039804,0.039804,0.0010564
3s2.3p2,3P,0.0,1.0,0.0,3s2.3p.4d,3D*,1.0,3.0,7.322074,7.322074,169.32935,67500000.0,0.087046,0.087046,0.0023102
3s2.3p2,3P,0.0,1.0,0.0,3s2.3p.(2P*<3/2>).4f,2[5/2],2.0,5.0,7.328817,7.328817,169.17356,0.0131,2.8104e-11,2.8104e-11,7.4588e-13
3s2.3p2,3P,0.0,1.0,0.0,3s2.3p.(2P*<3/2>).4f,2[3/2],2.0,5.0,7.338758,7.338758,168.9444,22.0,4.707e-08,4.707e-08,1.2492e-09
3s2.3p2,3P,0.0,1.0,0.0,3s2.3p.nd,a 3P*,1.0,3.0,7.440348,7.440348,166.63762,17500000.0,0.021856,0.021856,0.00058005
3s2.3p2,3P,0.0,1.0,0.0,3s2.3p.5d,3D*,1.0,3.0,7.626487,7.626487,162.57052,71600000.0,0.085109,0.085109,0.0022588
3s2.3p2,3P,0.0,1.0,0.0,3s2.3p.6d,3D*,1.0,3.0,7.801805,7.801805,158.91733,44400000.0,0.050432,0.050432,0.0013385
3s2.3p2,3P,1.0,3.0,0.009561,3s2.3p2,3P,2.0,5.0,0.027668,0.018107,68473.45399,1.21e-10,1.4175e-14,4.2526e-14,3.7622e-16
3s2.3p2,3P,1.0,3.0,0.009561,3s2.3p2,3P,2.0,5.0,0.027668,0.018107,68473.45399,4.21e-05,4.9321e-09,1.4796e-08,1.309e-10
3s2.3p2,3P,1.0,3.0,0.009561,3s2.3p2,1D,2.0,5.0,0.780958,0.771397,1607.26856,4.02e-06,2.5948e-13,7.7845e-13,6.8867e-15
3s2.3p2,3P,1.0,3.0,0.009561,3s2.3p2,1D,2.0,5.0,0.780958,0.771397,1607.26856,0.00071,4.5829e-11,1.3749e-10,1.2163e-12
3s2.3p2,3P,1.0,3.0,0.009561,3s2.3p2,1S,0.0,1.0,1.908659,1.899098,652.85849,0.0274,5.8362e-11,1.7508e-10,1.5489e-12
3s2.3p2,3P,1.0,3.0,0.009561,3s.3p3,5S*,2.0,5.0,4.131904,4.122343,300.76148,1100.0,2.4863e-06,7.4588e-06,6.5985e-08
3s2.3p2,3P,1.0,3.0,0.009561,3s.3p3,5S*,2.0,5.0,4.131904,4.122343,300.76148,0.00145,3.2773e-12,9.832e-12,8.698e-14
3s2.3p2,3P,1.0,3.0,0.009561,3s2.3p.4s,3P*,0.0,1.0,4.920085,4.910524,252.48669,222000000.0,0.070724,0.21217,0.001877
3s2.3p2,3P,1.0,3.0,0.009561,3s2.3p.4s,3P*,1.0,3.0,4.929647,4.920086,251.99599,54900000.0,0.052266,0.1568,0.0013871
3s2.3p2,3P,1.0,3.0,0.009561,3s2.3p.4s,3P*,2.0,5.0,4.953795,4.944234,250.76522,54700000.0,0.085947,0.25784,0.002281
3s2.3p2,3P,1.0,3.0,0.009561,3s2.3p.4s,1P*,1.0,3.0,5.082346,5.072785,244.41052,628000.0,0.00056242,0.0016873,1.4927e-05
3s2.3p2,3P,1.0,3.0,0.009561,3s.3p3,3D*,1.0,3.0,5.613532,5.603971,221.24347,18100000.0,0.013282,0.039847,0.00035252
3s2.3p2,3P,1.0,3.0,0.009561,3s.3p3,3D*,2.0,5.0,5.615694,5.606133,221.15813,34600000.0,0.042285,0.12686,0.0011223
3s2.3p2,3P,1.0,3.0,0.009561,3s.3p3,3D*,3.0,7.0,5.619193,5.609632,221.0202,0.00458,7.8265e-12,2.3479e-11,2.0771e-13
3s2.3p2,3P,1.0,3.0,0.009561,3s2.3p.3d,3P*,2.0,5.0,6.261182,6.251621,198.32328,21800000.0,0.021425,0.064274,0.00056861
3s2.3p2,3P,1.0,3.0,0.009561,3s2.3p.3d,3P*,1.0,3.0,6.269434,6.259873,198.06184,20700000.0,0.012174,0.036522,0.0003231
3s2.3p2,3P,1.0,3.0,0.009561,3s2.3p.3d,3P*,0.0,1.0,6.273903,6.264342,197.92055,86900000.0,0.017011,0.051034,0.00045148
3s2.3p2,3P,1.0,3.0,0.009561,3s2.3p.3d,3D*,1.0,3.0,6.718116,6.708556,184.81504,123000000.0,0.062985,0.18896,0.0016716
3s2.3p2,3P,1.0,3.0,0.009561,3s2.3p.3d,3D*,2.0,5.0,6.720575,6.711014,184.74735,233000000.0,0.19871,0.59613,0.0052738
3s2.3p2,3P,1.0,3.0,0.009561,3s2.3p.5s,3P*,0.0,1.0,6.725525,6.715964,184.61116,56800000.0,0.0096739,0.029022,0.00025675
3s2.3p2,3P,1.0,3.0,0.009561,3s2.3p.5s,3P*,1.0,3.0,6.734055,6.724494,184.37699,33500000.0,0.017073,0.05122,0.00045313
3s2.3p2,3P,1.0,3.0,0.009561,3s2.3p.5s,3P*,2.0,5.0,6.760638,6.751077,183.651,13100000.0,0.01104,0.03312,0.000293
3s2.3p2,3P,1.0,3.0,0.009561,3s2.3p.4d,1D*,2.0,5.0,7.005522,6.995961,177.22254,239000.0,0.00018756,0.00056269,4.9779e-06
3s2.3p2,3P,1.0,3.0,0.009561,3s2.3p.4d,1P*,1.0,3.0,7.29046,7.280899,170.28693,18800000.0,0.008173,0.024519,0.00021691
3s2.3p2,3P,1.0,3.0,0.009561,3s2.3p.4d,3D*,2.0,5.0,7.319059,7.309498,169.62067,122000000.0,0.087705,0.26312,0.0023277
3s2.3p2,3P,1.0,3.0,0.009561,3s2.3p.(2P*<3/2>).4f,2[7/2],3.0,7.0,7.319406,7.309845,169.61263,19.7,1.9825e-08,5.9476e-08,5.2616e-10
3s2.3p2,3P,1.0,3.0,0.009561,3s2.3p.4d,3D*,1.0,3.0,7.322074,7.312513,169.55074,39700000.0,0.01711,0.05133,0.0004541
3s2.3p2,3P,1.0,3.0,0.009561,3s2.3p.(2P*<3/2>).4f,2[5/2],3.0,7.0,7.328701,7.31914,169.39722,4.31,4.3264e-09,1.2979e-08,1.1482e-10
3s2.3p2,3P,1.0,3.0,0.009561,3s2.3p.(2P*<3/2>).4f,2[5/2],2.0,5.0,7.328817,7.319256,169.39455,32.0,2.2943e-08,6.883e-08,6.0892e-10
3s2.3p2,3P,1.0,3.0,0.009561,3s2.3p.(2P*<3/2>).4f,2[3/2],1.0,3.0,7.338682,7.329121,169.16653,86.2,3.6982e-08,1.1095e-07,9.8151e-10
3s2.3p2,3P,1.0,3.0,0.009561,3s2.3p.(2P*<3/2>).4f,2[3/2],2.0,5.0,7.338758,7.329197,169.16479,4.38,3.1319e-09,9.3956e-09,8.312e-11
3s2.3p2,3P,1.0,3.0,0.009561,3s2.3p.nd,a 3P*,2.0,5.0,7.428803,7.419242,167.11168,8300000.0,0.0057916,0.017375,0.00015371
3s2.3p2,3P,1.0,3.0,0.009561,3s2.3p.nd,a 3P*,1.0,3.0,7.440348,7.430788,166.85203,25800000.0,0.010768,0.032305,0.00028579
3s2.3p2,3P,1.0,3.0,0.009561,3s2.3p.nd,a 3P*,0.0,1.0,7.444321,7.43476,166.76288,82700000.0,0.011493,0.03448,0.00030503
3s2.3p2,3P,1.0,3.0,0.009561,3s2.3p.5d,1D*,2.0,5.0,7.476354,7.466793,166.04746,7670000.0,0.0052841,0.015852,0.00014024
3s2.3p2,3P,1.0,3.0,0.009561,3s2.3p.5d,3D*,2.0,5.0,7.618564,7.609003,162.94408,87300000.0,0.057916,0.17375,0.0015371
3s2.3p2,3P,1.0,3.0,0.009561,3s2.3p.5d,3D*,1.0,3.0,7.626487,7.616926,162.77459,53400000.0,0.021212,0.063635,0.00056296
3s2.3p2,3P,1.0,3.0,0.009561,3s2.3p.6d,3D*,2.0,5.0,7.783107,7.773546,159.49503,59200000.0,0.037629,0.11289,0.00099868
3s2.3p2,3P,1.0,3.0,0.009561,3s2.3p.6d,3D*,1.0,3.0,7.801805,7.792244,159.11232,33200000.0,0.012601,0.037803,0.00033443
3s2.3p2,3P,2.0,5.0,0.027668,3s2.3p2,1D,2.0,5.0,0.780958,0.75329,1645.90262,2.32e-05,9.4223e-13,4.7111e-12,2.5007e-14
3s2.3p2,3P,2.0,5.0,0.027668,3s2.3p2,1D,2.0,5.0,0.780958,0.75329,1645.90262,0.00199,8.082e-11,4.041e-10,2.145e-12
3s2.3p2,3P,2.0,5.0,0.027668,3s2.3p2,1S,0.0,1.0,1.908659,1.880991,659.14307,0.000775,1.0096e-12,5.048e-12,2.6795e-14
3s2.3p2,3P,2.0,5.0,0.027668,3s.3p3,5S*,2.0,5.0,4.131904,4.104236,302.08837,3300.0,4.5148e-06,2.2574e-05,1.1982e-07
3s2.3p2,3P,2.0,5.0,0.027668,3s.3p3,5S*,2.0,5.0,4.131904,4.104236,302.08837,0.00109,1.4913e-12,7.4563e-12,3.9578e-14
3s2.3p2,3P,2.0,5.0,0.027668,3s2.3p.4s,3P*,1.0,3.0,4.929647,4.901979,252.92681,90400000.0,0.05202,0.2601,0.0013806
3s2.3p2,3P,2.0,5.0,0.027668,3s2.3p.4s,3P*,2.0,5.0,4.953795,4.926127,251.68696,168000000.0,0.15955,0.79774,0.0042344
3s2.3p2,3P,2.0,5.0,0.027668,3s2.3p.4s,1P*,1.0,3.0,5.082346,5.054678,245.28605,581000.0,0.00031444,0.0015722,8.3451e-06
3s2.3p2,3P,2.0,5.0,0.027668,3s.3p3,3D*,1.0,3.0,5.613532,5.585864,221.96065,1050000.0,0.00046532,0.0023266,1.235e-05
3s2.3p2,3P,2.0,5.0,0.027668,3s.3p3,3D*,2.0,5.0,5.615694,5.588026,221.87475,10900000.0,0.0080446,0.040223,0.0002135
3s2.3p2,3P,2.0,5.0,0.027668,3s.3p3,3D*,3.0,7.0,5.619193,5.591525,221.73592,45400000.0,0.046851,0.23425,0.0012434
3s2.3p2,3P,2.0,5.0,0.027668,3s2.3p.3d,3P*,2.0,5.0,6.261182,6.233514,198.89937,65800000.0,0.039026,0.19513,0.0010357
3s2.3p2,3P,2.0,5.0,0.027668,3s2.3p.3d,3P*,1.0,3.0,6.269434,6.241766,198.6364,36500000.0,0.012955,0.064773,0.00034381
3s2.3p2,3P,2.0,5.0,0.027668,3s2.3p.3d,1F*,3.0,7.0,6.616075,6.588407,188.18539,5000000.0,0.0037165,0.018582,9.8635e-05
3s2.3p2,3P,2.0,5.0,0.027668,3s2.3p.3d,3D*,1.0,3.0,6.718116,6.690449,185.31522,7920000.0,0.0024466,0.012233,6.4932e-05
3s2.3p2,3P,2.0,5.0,0.027668,3s2.3p.3d,3D*,2.0,5.0,6.720575,6.692907,185.24716,74000000.0,0.038071,0.19036,0.0010104
3s2.3p2,3P,2.0,5.0,0.027668,3s2.3p.3d,3D*,3.0,7.0,6.727083,6.699415,185.0672,305000000.0,0.21925,1.0963,0.005819
3s2.3p2,3P,2.0,5.0,0.027668,3s2.3p.5s,3P*,1.0,3.0,6.734055,6.706387,184.8748,39200000.0,0.012052,0.060259,0.00031986
