Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Reference
"=""2s2.2p2""","=""3P""","=""0""",1,"=""""","=""0.0000""","=""""","=""0""","=""L5815"""
"=""2s2.2p2""","=""3P""","=""1""",3,"=""""","=""0.31554""","=""""","=""""","="""""
"=""2s2.2p2""","=""3P""","=""2""",5,"=""""","=""0.7952""","=""""","=""""","="""""
"=""2s2.2p2""","=""1D""","=""2""",5,"=""""","=""6.56198""","=""""","=""""","="""""
"=""2s2.2p2""","=""1S""","=""0""",1,"=""""","=""13.3654""","=""""","=""""","="""""
"=""2s.2p3""","=""5S*""","=""2""",5,"=""""","=""18.693""","=""+x""","=""""","="""""
"=""2s.2p3""","=""3D*""","=""3""",7,"=""""","=""36.2322""","=""""","=""""","="""""
"=""2s.2p3""","=""3D*""","=""2""",5,"=""""","=""36.2401""","=""""","=""""","="""""
"=""2s.2p3""","=""3D*""","=""1""",3,"=""""","=""36.2581""","=""""","=""""","="""""
"=""2s.2p3""","=""3P*""","=""1""",3,"=""""","=""42.6517""","=""""","=""""","="""""
"=""2s.2p3""","=""3P*""","=""0""",1,"=""""","=""42.6599""","=""""","=""""","="""""
"=""2s.2p3""","=""3P*""","=""2""",5,"=""""","=""42.6652""","=""""","=""""","="""""
"=""2s.2p3""","=""1D*""","=""2""",5,"=""""","=""54.6030""","=""""","=""""","="""""
"=""2s.2p3""","=""3S*""","=""1""",3,"=""""","=""55.4137""","=""""","=""""","="""""
"=""2s.2p3""","=""1P*""","=""1""",3,"=""""","=""61.0938""","=""""","=""""","="""""
"=""2p4""","=""3P""","=""2""",5,"=""""","=""83.6601""","=""""","=""""","="""""
"=""2p4""","=""3P""","=""1""",3,"=""""","=""84.22""","=""""","=""""","="""""
"=""2p4""","=""3P""","=""0""",1,"=""""","=""84.4430""","=""""","=""""","="""""
"=""2p4""","=""1D""","=""2""",5,"=""""","=""89.2069""","=""""","=""""","="""""
"=""2p4""","=""1S""","=""0""",1,"=""""","=""101.6285""","=""""","=""""","="""""
"=""2s2.2p.3s""","=""3P*""","=""0""",1,"=""""","=""""","=""""","=""""","="""""
"=""2s2.2p.3s""","=""3P*""","=""1""",3,"=""""","=""201.273""","=""""","=""""","="""""
"=""2s2.2p.3s""","=""3P*""","=""2""",5,"=""""","=""201.91""","=""""","=""""","="""""
"=""2s2.2p.3s""","=""1P*""","=""1""",3,"=""""","=""203.439""","=""""","=""""","="""""
"=""2s.2p2.(4P).3s""","=""5P""","=""1""",3,"=""""","=""221.314""","=""+x""","=""""","="""""
"=""2s.2p2.(4P).3s""","=""5P""","=""2""",5,"=""""","=""221.583""","=""+x""","=""""","="""""
"=""2s.2p2.(4P).3s""","=""5P""","=""3""",7,"=""""","=""221.983""","=""+x""","=""""","="""""
"=""2s2.2p.3d""","=""1D*""","=""2""",5,"=""""","=""222.434""","=""?""","=""""","="""""
"=""2s2.2p.3d""","=""3D*""","=""1""",3,"=""""","=""224.183""","=""""","=""""","="""""
"=""2s2.2p.3d""","=""3D*""","=""2""",5,"=""""","=""224.292""","=""""","=""""","="""""
"=""2s2.2p.3d""","=""3D*""","=""3""",7,"=""""","=""224.589""","=""""","=""""","="""""
"=""2s2.2p.3d""","=""3P*""","=""2""",5,"=""""","=""225.112""","=""""","=""""","="""""
"=""2s2.2p.3d""","=""3P*""","=""1""",3,"=""""","=""225.27""","=""""","=""""","="""""
"=""2s2.2p.3d""","=""3P*""","=""0""",1,"=""""","=""225.357""","=""""","=""""","="""""
"=""2s2.2p.3d""","=""1F*""","=""3""",7,"=""""","=""227.856""","=""""","=""""","="""""
"=""2s2.2p.3d""","=""1P*""","=""1""",3,"=""""","=""227.952""","=""""","=""""","="""""
"=""2s.2p2.(4P).3p""","=""3S*""","=""1""",3,"=""""","=""230.430""","=""?""","=""""","="""""
"=""2s.2p2.(4P).3p""","=""3D*""","=""1""",3,"=""""","=""""","=""""","=""""","="""""
"=""2s.2p2.(4P).3p""","=""3D*""","=""2""",5,"=""""","=""235.090""","=""""","=""""","="""""
"=""2s.2p2.(4P).3p""","=""3D*""","=""3""",7,"=""""","=""235.445""","=""""","=""""","="""""
"=""2s.2p2.(2D).3s""","=""3D""","=""3""",7,"=""""","=""237.690""","=""""","=""""","="""""
"=""2s.2p2.(2D).3s""","=""3D""","=""2""",5,"=""""","=""237.690""","=""""","=""""","="""""
"=""2s.2p2.(2D).3s""","=""3D""","=""1""",3,"=""""","=""237.690""","=""""","=""""","="""""
"=""2s.2p2.(4P).3d""","=""5P""","=""3""",7,"=""""","=""244.501""","=""+x?""","=""""","="""""
"=""2s.2p2.(4P).3d""","=""5P""","=""2""",5,"=""""","=""244.653""","=""+x?""","=""""","="""""
"=""2s.2p2.(4P).3d""","=""5P""","=""1""",3,"=""""","=""244.772""","=""+x?""","=""""","="""""
"=""2s.2p2.(4P).3d""","=""3P""","=""2""",5,"=""""","=""244.742""","=""?""","=""""","="""""
"=""2s.2p2.(4P).3d""","=""3F""","=""2""",5,"=""""","=""246.127""","=""?""","=""""","="""""
"=""2s.2p2.(4P).3d""","=""3F""","=""3""",7,"=""""","=""246.37""","=""?""","=""""","="""""
"=""2s.2p2.(4P).3d""","=""3F""","=""4""",9,"=""""","=""246.710""","=""?""","=""""","="""""
"=""2s.2p2.(2D).3p""","=""1F*""","=""3""",7,"=""""","=""247.955""","=""""","=""""","="""""
"=""2s.2p2.(2D).3p""","=""1D*""","=""2""",5,"=""""","=""249.130""","=""""","=""""","="""""
"=""2s.2p2.(4P).3d""","=""3D""","=""2""",5,"=""""","=""249.418""","=""?""","=""""","="""""
"=""2s.2p2.(4P).3d""","=""3D""","=""3""",7,"=""""","=""249.418""","=""?""","=""""","="""""
"=""2s.2p2.(2D).3d""","=""3F""","=""2""",5,"=""""","=""258.510""","=""""","=""""","="""""
"=""2s.2p2.(2D).3d""","=""3F""","=""3""",7,"=""""","=""258.510""","=""""","=""""","="""""
