spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
Si VI,Si,5,2s2.2p5,2P*,1.5,4,0.0,0.0,odd,,no,205.279,,,,,,,,,,L5815
Si VI,Si,5,2s2.2p5,2P*,0.5,2,0.631,,odd,,no,205.279,0.4201652778943737,"ASD 1/sum(Aki), J-resolved",0.4201652778943737,2/2,yes,0.631,0.631,,,
Si VI,Si,5,2s.2p6,2S,0.5,2,50.3992,,even,,no,205.279,3.8226299615866607e-11,"ASD 1/sum(Aki), J-resolved",3.8226299615866607e-11,3/3,yes,50.3992,50.3992,,,
Si VI,Si,5,2s2.2p4.(3P).3s,4P,2.5,6,122.8083,,even,,no,205.279,1.3315519618139871e-08,"ASD 1/sum(Aki), J-resolved",1.3315519618139871e-08,3/3,yes,122.8083,122.8083,,,
Si VI,Si,5,2s2.2p4.(3P).3s,4P,1.5,4,123.196,,even,,no,205.279,7.800310828439558e-10,"ASD 1/sum(Aki), J-resolved",7.800310828439558e-10,4/4,yes,123.196,123.196,,,
Si VI,Si,5,2s2.2p4.(3P).3s,4P,0.5,2,123.423,,even,,no,205.279,3.66905064014741e-09,"ASD 1/sum(Aki), J-resolved",3.66905064014741e-09,3/3,yes,122.792,123.423,,,
Si VI,Si,5,2s2.2p4.(3P).3s,2P,1.5,4,124.657,,even,,no,205.279,1.277139206996048e-11,"ASD 1/sum(Aki), J-resolved",1.277139206996048e-11,4/4,yes,124.657,124.657,,,
Si VI,Si,5,2s2.2p4.(3P).3s,2P,0.5,2,125.1147,,even,,no,205.279,1.2547051435307119e-11,"ASD 1/sum(Aki), J-resolved",1.2547051435307119e-11,3/3,yes,124.4837,125.1147,,,
Si VI,Si,5,2s2.2p4.(1D).3s,2D,2.5,6,129.1191,,even,,no,205.279,3.2467532146019566e-11,"ASD 1/sum(Aki), J-resolved",3.2467532146019566e-11,3/3,yes,129.1191,129.1191,,,
Si VI,Si,5,2s2.2p4.(1D).3s,2D,1.5,4,129.1261,,even,,no,205.279,3.2331070109188704e-11,"ASD 1/sum(Aki), J-resolved",3.2331070109188704e-11,4/4,yes,128.4951,129.1261,,,
Si VI,Si,5,2s2.2p4.(3P).3p,4P*,2.5,6,132.5159,,odd,,no,205.279,1.482993893579854e-09,"ASD 1/sum(Aki), J-resolved",1.482993893579854e-09,5/5,yes,9.707599999999985,9.707599999999985,,,
Si VI,Si,5,2s2.2p4.(3P).3p,4P*,1.5,4,132.645,,odd,,no,205.279,1.4896002885534511e-09,"ASD 1/sum(Aki), J-resolved",1.4896002885534511e-09,8/8,yes,9.836700000000008,82.2458,,,
Si VI,Si,5,2s2.2p4.(3P).3p,4P*,0.5,2,132.8031,,odd,,no,205.279,1.511732023125267e-09,"ASD 1/sum(Aki), J-resolved",1.511732023125267e-09,6/6,yes,9.607100000000003,82.4039,,,
Si VI,Si,5,2s2.2p4.(3P).3p,4D*,3.5,8,133.7709,,odd,,no,205.279,9.708704496297169e-10,"ASD 1/sum(Aki), J-resolved",9.708704496297169e-10,2/2,yes,10.962600000000009,10.962600000000009,,,
Si VI,Si,5,2s2.2p4.(3P).3p,4D*,2.5,6,133.99,,odd,,no,205.279,1.0074433846285559e-09,"ASD 1/sum(Aki), J-resolved",1.0074433846285559e-09,5/5,yes,10.794000000000011,11.181700000000006,,,
Si VI,Si,5,2s2.2p4.(3P).3p,4D*,1.5,4,134.1776,,odd,,no,205.279,9.975765971483136e-10,"ASD 1/sum(Aki), J-resolved",9.975765971483136e-10,8/8,yes,10.981600000000014,83.7784,,,
Si VI,Si,5,2s2.2p4.(3P).3p,4D*,0.5,2,134.2753,,odd,,no,205.279,9.94652588539597e-10,"ASD 1/sum(Aki), J-resolved",9.94652588539597e-10,6/6,yes,10.852299999999985,83.87609999999998,,,
Si VI,Si,5,2s2.2p4.(3P).3p,2D*,2.5,6,134.7455,,odd,,no,205.279,1.1936651949371645e-09,"ASD 1/sum(Aki), J-resolved",1.1936651949371645e-09,5/5,yes,10.088499999999996,11.93719999999999,,,
Si VI,Si,5,2s2.2p4.(3P).3p,2D*,1.5,4,135.0866,,odd,,no,205.279,1.2223593981102324e-09,"ASD 1/sum(Aki), J-resolved",1.2223593981102324e-09,7/7,yes,10.429600000000008,12.278300000000002,,,
Si VI,Si,5,2s2.2p4.(3P).3p,2P*,1.5,4,135.4119,,odd,,no,205.279,1.194648928519376e-09,"ASD 1/sum(Aki), J-resolved",1.194648928519376e-09,8/8,yes,10.297200000000004,85.0127,,,
Si VI,Si,5,2s2.2p4.(3P).3p,4S*,1.5,4,135.608,,odd,,no,205.279,6.462345817314525e-10,"ASD 1/sum(Aki), J-resolved",6.462345817314525e-10,7/7,yes,12.799700000000001,12.799700000000001,,,
Si VI,Si,5,2s2.2p4.(1S).3s,2S,0.5,2,135.6944,,even,,no,205.279,3.13479586567717e-11,"ASD 1/sum(Aki), J-resolved",3.13479586567717e-11,7/7,yes,135.6944,135.6944,,,
Si VI,Si,5,2s2.2p4.(1D).3p,2F*,2.5,6,139.301,,odd,,no,205.279,1.2011738880219817e-09,"ASD 1/sum(Aki), J-resolved",1.2011738880219817e-09,4/4,yes,10.17489999999998,16.492699999999985,,,
Si VI,Si,5,2s2.2p4.(1D).3p,2F*,3.5,8,139.3854,,odd,,no,205.279,1.1680605522590292e-09,"ASD 1/sum(Aki), J-resolved",1.1680605522590292e-09,2/2,yes,10.266300000000001,16.5771,,,
Si VI,Si,5,2s2.2p4.(1D).3p,2D*,1.5,4,140.6081,,odd,,no,205.279,8.247542384460297e-10,"ASD 1/sum(Aki), J-resolved",8.247542384460297e-10,8/8,yes,11.482,90.2089,,,
Si VI,Si,5,2s2.2p4.(1D).3p,2D*,2.5,6,140.6596,,odd,,no,205.279,8.169983900719925e-10,"ASD 1/sum(Aki), J-resolved",8.169983900719925e-10,5/5,yes,11.540500000000009,17.85130000000001,,,
Si VI,Si,5,2s2.2p4.(1D).3p,2P*,1.5,4,142.3216,,odd,,no,205.279,2.710163196000059e-10,"ASD 1/sum(Aki), J-resolved",2.710163196000059e-10,9/9,yes,17.664599999999993,91.92239999999998,,,
Si VI,Si,5,2s2.2p4.(1D).3p,2P*,0.5,2,142.6168,,odd,,no,205.279,2.654336389359296e-10,"ASD 1/sum(Aki), J-resolved",2.654336389359296e-10,7/7,yes,13.490700000000004,92.2176,,,
Si VI,Si,5,2s2.2p4.(3P).3d,4D,3.5,8,146.446,,even,,no,205.279,4.425887604533828e-10,"ASD 1/sum(Aki), J-resolved",4.425887604533828e-10,7/7,yes,13.93010000000001,13.93010000000001,,,
Si VI,Si,5,2s2.2p4.(3P).3d,4D,2.5,6,146.5058,,even,,no,205.279,4.3288639658713306e-10,"ASD 1/sum(Aki), J-resolved",4.3288639658713306e-10,14/14,yes,13.860799999999983,146.5058,,,
Si VI,Si,5,2s2.2p4.(3P).3d,4D,1.5,4,146.5879,,even,,no,205.279,4.05087726851355e-10,"ASD 1/sum(Aki), J-resolved",4.05087726851355e-10,16/16,yes,13.94289999999998,146.5879,,,
Si VI,Si,5,2s2.2p4.(3P).3d,4D,0.5,2,146.6602,,even,,no,205.279,3.8842818899577153e-10,"ASD 1/sum(Aki), J-resolved",3.8842818899577153e-10,11/11,yes,13.857100000000003,146.6602,,,
Si VI,Si,5,2s2.2p4.(3P).3d,4F,4.5,10,147.5219,,even,,no,205.279,3.999990208023971e-10,"ASD 1/sum(Aki), J-resolved",3.999990208023971e-10,2/2,yes,13.750999999999976,13.750999999999976,,,
Si VI,Si,5,2s2.2p4.(3P).3d,4F,3.5,8,147.7323,,even,,no,205.279,4.005312614609517e-10,"ASD 1/sum(Aki), J-resolved",4.005312614609517e-10,6/6,yes,13.7423,13.961399999999998,,,
Si VI,Si,5,2s2.2p4.(3P).3d,4F,2.5,6,147.9408,,even,,no,205.279,1.598443111039079e-10,"ASD 1/sum(Aki), J-resolved",1.598443111039079e-10,12/12,yes,147.9408,147.9408,,,
Si VI,Si,5,2s2.2p4.(3P).3d,4F,1.5,4,148.0777,,even,,no,205.279,1.62991868303092e-10,"ASD 1/sum(Aki), J-resolved",1.62991868303092e-10,13/13,yes,147.4467,148.0777,,,
Si VI,Si,5,2s2.2p4.(3P).3d,4P,0.5,2,148.1486,,even,,no,205.279,6.903788799293052e-10,"ASD 1/sum(Aki), J-resolved",6.903788799293052e-10,2/2,yes,148.1486,148.1486,,,
Si VI,Si,5,2s2.2p4.(3P).3d,4P,1.5,4,148.2831,,even,,no,205.279,4.139072847682119e-10,"ASD 1/sum(Aki), J-resolved",4.139072847682119e-10,2/2,yes,148.2831,148.2831,,,
Si VI,Si,5,2s2.2p4.(3P).3d,4P,2.5,6,148.4992,,even,,no,205.279,,,,,,,,,,
Si VI,Si,5,2s2.2p4.(3P).3d,2F,3.5,8,148.1595,,even,,no,205.279,,,,,,,,,,
Si VI,Si,5,2s2.2p4.(3P).3d,2F,2.5,6,148.4278,,even,,no,205.279,5.968723886832995e-11,"ASD 1/sum(Aki), J-resolved",5.968723886832995e-11,2/2,yes,148.4278,148.4278,,,
Si VI,Si,5,2s2.2p4.(3P).3d,2P,0.5,2,148.869,,even,,no,205.279,1.352537563349478e-11,"ASD 1/sum(Aki), J-resolved",1.352537563349478e-11,7/7,yes,148.238,148.869,,,
Si VI,Si,5,2s2.2p4.(3P).3d,2P,1.5,4,149.369,,even,,no,205.279,8.64647261659096e-12,"ASD 1/sum(Aki), J-resolved",8.64647261659096e-12,9/9,yes,148.738,149.369,,,
Si VI,Si,5,2s2.2p4.(3P).3d,2D,1.5,4,148.92,,even,,no,205.279,5.208806195270748e-12,"ASD 1/sum(Aki), J-resolved",5.208806195270748e-12,10/10,yes,148.92,148.92,,,
Si VI,Si,5,2s2.2p4.(3P).3d,2D,2.5,6,149.148,,even,,no,205.279,4.233723377642228e-12,"ASD 1/sum(Aki), J-resolved",4.233723377642228e-12,9/9,yes,149.148,149.148,,,
Si VI,Si,5,2s2.2p4.(1D).3d,2G,4.5,10,152.8317,,even,yes,no,205.279,4.3478260869565215e-10,"ASD 1/sum(Aki), J-resolved",4.3478260869565215e-10,1/1,yes,13.446300000000008,13.446300000000008,,,
Si VI,Si,5,2s2.2p4.(1D).3d,2S,0.5,2,153.64,,even,,no,205.279,2.759168717648747e-12,"ASD 1/sum(Aki), J-resolved",2.759168717648747e-12,5/5,yes,153.64,153.64,,,
