spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
Si VIII,Si,7,2s2.2p3,4S*,1.5,4,0.0,0.0,odd,,no,303.59,,,,,,,,,,L5815
Si VIII,Si,7,2s2.2p3,2D*,1.5,4,8.57575,,odd,,no,303.59,0.6426652613719618,"ASD 1/sum(Aki), J-resolved",0.6426652613719618,2/2,yes,8.57575,8.57575,,,
Si VIII,Si,7,2s2.2p3,2D*,2.5,6,8.60705,,odd,,no,303.59,23.94578673879188,"ASD 1/sum(Aki), J-resolved",23.94578673879188,3/3,yes,8.60705,8.60705,,,
Si VIII,Si,7,2s2.2p3,2P*,0.5,2,13.0615,,odd,,no,303.59,0.023070642538158267,"ASD 1/sum(Aki), J-resolved",0.023070642538158267,5/5,yes,13.0615,13.0615,,,
Si VIII,Si,7,2s2.2p3,2P*,1.5,4,13.129,,odd,,no,303.59,0.009472875944864827,"ASD 1/sum(Aki), J-resolved",0.009472875944864827,8/8,yes,13.129,13.129,,,
Si VIII,Si,7,2s.2p4,4P,2.5,6,38.766,,even,,no,303.59,2.642925443601821e-10,"ASD 1/sum(Aki), J-resolved",2.642925443601821e-10,4/4,yes,38.766,38.766,,,
Si VIII,Si,7,2s.2p4,4P,1.5,4,39.21,,even,,no,303.59,2.556701490185224e-10,"ASD 1/sum(Aki), J-resolved",2.556701490185224e-10,6/6,yes,39.21,39.21,,,
Si VIII,Si,7,2s.2p4,4P,0.5,2,39.444,,even,,no,303.59,2.5058844431436034e-10,"ASD 1/sum(Aki), J-resolved",2.5058844431436034e-10,6/6,yes,39.444,39.444,,,
Si VIII,Si,7,2s.2p4,2D,2.5,6,53.358,,even,,no,303.59,9.792401096631945e-11,"ASD 1/sum(Aki), J-resolved",9.792401096631945e-11,6/6,yes,44.750949999999996,44.78225,,,
Si VIII,Si,7,2s.2p4,2D,1.5,4,53.362,,even,,no,303.59,9.608178481469396e-11,"ASD 1/sum(Aki), J-resolved",9.608178481469396e-11,8/8,yes,44.78625,44.78625,,,
Si VIII,Si,7,2s.2p4,2S,0.5,2,62.566,,even,,no,303.59,5.3395471342172224e-11,"ASD 1/sum(Aki), J-resolved",5.3395471342172224e-11,7/7,yes,49.437000000000005,62.566,,,
Si VIII,Si,7,2s.2p4,2P,1.5,4,65.765,,even,,no,303.59,2.305842312636038e-11,"ASD 1/sum(Aki), J-resolved",2.305842312636038e-11,11/11,yes,57.15795,65.765,,,
Si VIII,Si,7,2s.2p4,2P,0.5,2,66.06,,even,,no,303.59,2.3361647649385075e-11,"ASD 1/sum(Aki), J-resolved",2.3361647649385075e-11,9/9,yes,57.48425,66.06,,,
Si VIII,Si,7,2p5,2P*,1.5,4,101.69,,odd,,no,303.59,3.760368275427422e-11,"ASD 1/sum(Aki), J-resolved",3.760368275427422e-11,8/8,yes,48.332,62.924,,,
Si VIII,Si,7,2p5,2P*,0.5,2,102.402,,odd,,no,303.59,3.6908047511877195e-11,"ASD 1/sum(Aki), J-resolved",3.6908047511877195e-11,6/6,yes,49.04,63.192,,,
Si VIII,Si,7,2s2.2p2.(3P).3s,4P,0.5,2,177.361,,even,,no,303.59,1.8468039211340854e-11,"ASD 1/sum(Aki), J-resolved",1.8468039211340854e-11,4/4,yes,177.361,177.361,,,
Si VIII,Si,7,2s2.2p2.(3P).3s,4P,1.5,4,177.653,,even,,no,303.59,1.826243854689429e-11,"ASD 1/sum(Aki), J-resolved",1.826243854689429e-11,5/5,yes,177.653,177.653,,,
Si VIII,Si,7,2s2.2p2.(3P).3s,4P,2.5,6,178.056,,even,,no,303.59,1.8147219353298068e-11,"ASD 1/sum(Aki), J-resolved",1.8147219353298068e-11,4/4,yes,178.056,178.056,,,
Si VIII,Si,7,2s2.2p2.(3P).3s,2P,0.5,2,179.776,,even,,no,303.59,6.040492662436577e-12,"ASD 1/sum(Aki), J-resolved",6.040492662436577e-12,6/6,yes,171.20025,179.776,,,
Si VIII,Si,7,2s2.2p2.(3P).3s,2P,1.5,4,180.26,,even,,no,303.59,6.063844840986896e-12,"ASD 1/sum(Aki), J-resolved",6.063844840986896e-12,7/7,yes,171.65295,180.26,,,
Si VIII,Si,7,2s2.2p2.(1D).3s,2D,2.5,6,184.329,,even,,no,303.59,9.84456281940561e-12,"ASD 1/sum(Aki), J-resolved",9.84456281940561e-12,5/5,yes,175.72195000000002,184.329,,,
Si VIII,Si,7,2s2.2p2.(1D).3s,2D,1.5,4,184.507,,even,,no,303.59,9.87345047462876e-12,"ASD 1/sum(Aki), J-resolved",9.87345047462876e-12,7/7,yes,175.93125,184.507,,,
Si VIII,Si,7,2s2.2p2.(3P).3d,2P,1.5,4,201.473,,even,,no,303.59,4.899559039686428e-12,"ASD 1/sum(Aki), J-resolved",4.899559039686428e-12,5/5,yes,188.34400000000002,201.473,,,
Si VIII,Si,7,2s.2p3.(5S*).3s,4S*,1.5,4,201.928,,odd,,no,303.59,8.338104604219065e-12,"ASD 1/sum(Aki), J-resolved",8.338104604219065e-12,15/15,yes,163.162,163.162,,,
Si VIII,Si,7,2s2.2p2.(3P).3d,4D,,4,202.512,,even,yes,no,303.59,6.788746338642409e-12,"ASD 1/sum(Aki), J-resolved",6.788746338642409e-12,11/11,yes,189.383,194.09425,,,
Si VIII,Si,7,2s2.2p2.(3P).3d,4D,,2,202.67,,even,,no,303.59,6.788746338642409e-12,"ASD 1/sum(Aki), J-resolved",6.788746338642409e-12,11/11,yes,189.383,194.09425,,,
Si VIII,Si,7,2s2.2p2.(3P).3d,2F,2.5,6,202.595,,even,,no,303.59,5.526693885568101e-12,"ASD 1/sum(Aki), J-resolved",5.526693885568101e-12,4/4,yes,194.01925,202.595,,,
Si VIII,Si,7,2s2.2p2.(3P).3d,2F,3.5,8,203.147,,even,,no,303.59,5.524861878453039e-12,"ASD 1/sum(Aki), J-resolved",5.524861878453039e-12,1/1,yes,194.53995,194.53995,,,
Si VIII,Si,7,2s2.2p2.(3P).3d,4P,2.5,6,203.02,,even,,no,303.59,1.20219031949628e-12,"ASD 1/sum(Aki), J-resolved",1.20219031949628e-12,5/5,yes,203.02,203.02,,,
Si VIII,Si,7,2s2.2p2.(3P).3d,4P,1.5,4,203.189,,even,,no,303.59,1.168570171673044e-12,"ASD 1/sum(Aki), J-resolved",1.168570171673044e-12,6/6,yes,203.189,203.189,,,
Si VIII,Si,7,2s2.2p2.(3P).3d,4P,0.5,2,203.289,,even,,no,303.59,1.1465340119171318e-12,"ASD 1/sum(Aki), J-resolved",1.1465340119171318e-12,5/5,yes,203.289,203.289,,,
