Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Reference
"=""2s2.2p""","=""2P*""","=""1/2""",2,"=""""","=""0.00000""","=""""","=""0""","=""L5815"""
"=""2s2.2p""","=""2P*""","=""3/2""",4,"=""""","=""0.86672""","=""""","=""""","="""""
"=""2s.2p2""","=""4P""","=""1/2""",2,"=""""","=""19.963""","=""+x""","=""""","="""""
"=""2s.2p2""","=""4P""","=""3/2""",4,"=""""","=""20.270""","=""+x""","=""""","="""""
"=""2s.2p2""","=""4P""","=""5/2""",6,"=""""","=""20.713""","=""+x""","=""""","="""""
"=""2s.2p2""","=""2D""","=""3/2""",4,"=""""","=""35.689""","=""""","=""""","="""""
"=""2s.2p2""","=""2D""","=""5/2""",6,"=""""","=""35.693""","=""""","=""""","="""""
"=""2s.2p2""","=""2S""","=""1/2""",2,"=""""","=""45.585""","=""""","=""""","="""""
"=""2s.2p2""","=""2P""","=""1/2""",2,"=""""","=""48.359""","=""""","=""""","="""""
"=""2s.2p2""","=""2P""","=""3/2""",4,"=""""","=""48.853""","=""""","=""""","="""""
"=""2p3""","=""4S*""","=""3/2""",4,"=""""","=""63.149""","=""+x""","=""""","="""""
"=""2p3""","=""2D*""","=""3/2""",4,"=""""","=""71.344""","=""""","=""""","="""""
"=""2p3""","=""2D*""","=""5/2""",6,"=""""","=""71.347""","=""""","=""""","="""""
"=""2p3""","=""2P*""","=""1/2""",2,"=""""","=""80.188""","=""""","=""""","="""""
"=""2p3""","=""2P*""","=""3/2""",4,"=""""","=""80.266""","=""""","=""""","="""""
"=""2s2.3d""","=""2D""","=""3/2""",4,"=""""","=""245.397""","=""?""","=""""","="""""
"=""2s2.3d""","=""2D""","=""5/2""",6,"=""""","=""245.455""","=""""","=""""","="""""
"=""2s.2p.(3P*).3s""","=""4P*""","=""1/2""",2,"=""""","=""247.079""","=""+x""","=""""","="""""
"=""2s.2p.(3P*).3s""","=""4P*""","=""3/2""",4,"=""""","=""247.366""","=""+x""","=""""","="""""
"=""2s.2p.(3P*).3s""","=""4P*""","=""5/2""",6,"=""""","=""247.916""","=""+x""","=""""","="""""
"=""2s.2p.(3P*).3s""","=""2P*""","=""1/2""",2,"=""""","=""251.819""","=""?""","=""""","="""""
"=""2s.2p.(3P*).3s""","=""2P*""","=""3/2""",4,"=""""","=""252.414""","=""?""","=""""","="""""
"=""2s.2p.(3P*).3p""","=""2P""","=""1/2""",2,"=""""","=""255.977""","=""""","=""""","="""""
"=""2s.2p.(3P*).3p""","=""2P""","=""3/2""",4,"=""""","=""256.244""","=""""","=""""","="""""
"=""2s.2p.(3P*).3p""","=""2D""","=""3/2""",4,"=""""","=""261.080""","=""?""","=""""","="""""
"=""2s.2p.(3P*).3p""","=""2D""","=""5/2""",6,"=""""","=""261.639""","=""""","=""""","="""""
"=""2s.2p.(3P*).3p""","=""2S""","=""1/2""",2,"=""""","=""264.41""","=""""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""4D*""","=""1/2""",2,"=""""","=""266.678""","=""+x""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""4D*""","=""3/2""",4,"=""""","=""266.678""","=""+x""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""4D*""","=""5/2""",6,"=""""","=""266.735""","=""+x""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""4D*""","=""7/2""",8,"=""""","=""267.041""","=""+x""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""2D*""","=""3/2""",4,"=""""","=""267.02""","=""""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""2D*""","=""5/2""",6,"=""""","=""267.121""","=""""","=""""","="""""
"=""2s.2p.(1P*).3s""","=""2P*""","=""1/2""",2,"=""""","=""""","=""""","=""""","="""""
"=""2s.2p.(1P*).3s""","=""2P*""","=""3/2""",4,"=""""","=""267.599""","=""""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""4P*?""","=""1/2""",2,"=""""","=""""","=""""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""4P*?""","=""5/2""",6,"=""""","=""267.920""","=""+x""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""4P*?""","=""3/2""",4,"=""""","=""268.07""","=""+x""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""2F*""","=""5/2""",6,"=""""","=""271.351""","=""""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""2F*""","=""7/2""",8,"=""""","=""271.921""","=""""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""2P*""","=""3/2""",4,"=""""","=""272.667""","=""?""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""2P*""","=""1/2""",2,"=""""","=""272.987""","=""?""","=""""","="""""
"=""2s.2p.(1P*).3p""","=""2S?""","=""1/2""",2,"=""""","=""278.51""","=""""","=""""","="""""
