obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""3.42380""","=""""","=""9.48e+10""",B,"=""0.86672""","=""362.991?""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.6d""","=""2D""","=""5/2""",4,6,,"=""T7059""","=""""",
"=""""","=""3.59321""","=""""","=""1.62e+11""",B+,"=""0.86672""","=""345.918""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.5d""","=""2D""","=""5/2""",4,6,,"=""T7059""","=""""",
"=""""","=""3.94429""","=""""","=""2.71e+11""",B+,"=""0.00000""","=""314.338""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s2.4d""","=""2D""","=""3/2""",2,4,,"=""T7059""","=""""",
"=""""","=""3.95520""","=""""","=""5.46e+10""",D+,"=""0.86672""","=""314.338""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.4d""","=""2D""","=""3/2""",4,4,,"=""T7192c4,LS""","=""""",
"=""""","=""3.95520""","=""""","=""3.21e+11""",B+,"=""0.86672""","=""314.338""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.4d""","=""2D""","=""5/2""",4,6,,"=""T7059""","=""""",
"=""""","=""4.2512""","=""""","=""2.33e+07""",E,"=""71.347""","=""362.991?""","=""2p3""","=""2D*""","=""5/2""","=""2s2.6d""","=""2D""","=""5/2""",6,6,,"=""c70,LS""","=""""",
"=""""","=""4.3853""","=""""","=""3.40e+06""",E,"=""80.266""","=""362.991?""","=""2p3""","=""2P*""","=""3/2""","=""2s2.6d""","=""2D""","=""5/2""",4,6,,"=""c70,LS""","=""""",
"=""""","=""4.4518""","=""""","=""2.15e+10""",B,"=""0.00000""","=""278.51""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s.2p.(1P*).3p""","=""2S?""","=""1/2""",2,2,,"=""T7059""","=""""",
"=""""","=""4.4657""","=""""","=""1.91e+10""",C+,"=""0.86672""","=""278.51""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s.2p.(1P*).3p""","=""2S?""","=""1/2""",4,2,,"=""T7059""","=""""",
"=""""","=""4.6672""","=""""","=""6.70e+07""",D,"=""80.266""","=""345.918""","=""2p3""","=""2P*""","=""3/2""","=""2s2.5d""","=""2D""","=""5/2""",4,6,,"=""c70,LS""","=""""",
"=""""","=""4.6891""","=""""","=""1.29e+11""",B,"=""0.00000""","=""264.41""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s.2p.(3P*).3p""","=""2S""","=""1/2""",2,2,,"=""T7059""","=""""",
"=""""","=""4.7045""","=""""","=""2.98e+11""",B+,"=""0.86672""","=""264.41""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s.2p.(3P*).3p""","=""2S""","=""1/2""",4,2,,"=""T7059""","=""""",
"=""""","=""4.74890""","=""""","=""3.61e+11""",B+,"=""0.00000""","=""261.080?""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s.2p.(3P*).3p""","=""2D""","=""3/2""",2,4,,"=""T7059""","=""""",
