Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Reference
"=""1s2.2s2""","=""1S""","=""0""",1,"=""""","=""0.0000""","=""""","=""0""","=""L5815"""
"=""1s2.2s.2p""","=""3P*""","=""0""",1,"=""""","=""21.0528""","=""""","=""""","="""""
"=""1s2.2s.2p""","=""3P*""","=""1""",3,"=""""","=""21.3431""","=""""","=""""","="""""
"=""1s2.2s.2p""","=""3P*""","=""2""",5,"=""""","=""21.9846""","=""""","=""""","="""""
"=""1s2.2s.2p""","=""1P*""","=""1""",3,"=""""","=""40.8750""","=""""","=""""","="""""
"=""1s2.2p2""","=""3P""","=""0""",1,"=""""","=""55.008""","=""""","=""""","="""""
"=""1s2.2p2""","=""3P""","=""1""",3,"=""""","=""55.3582""","=""""","=""""","="""""
"=""1s2.2p2""","=""3P""","=""2""",5,"=""""","=""55.9125""","=""""","=""""","="""""
"=""1s2.2p2""","=""1D""","=""2""",5,"=""""","=""61.3971""","=""""","=""""","="""""
"=""1s2.2p2""","=""1S""","=""0""",1,"=""""","=""75.4764""","=""""","=""""","="""""
"=""1s2.2s.3s""","=""3S""","=""1""",3,"=""""","=""274.09""","=""""","=""""","="""""
"=""1s2.2s.3s""","=""1S""","=""0""",1,"=""""","=""277.949""","=""""","=""""","="""""
"=""1s2.2s.3p""","=""1P*""","=""1""",3,"=""""","=""283.309""","=""""","=""""","="""""
"=""1s2.2s.3p""","=""3P*""","=""1""",3,"=""""","=""283.330""","=""""","=""""","="""""
"=""1s2.2s.3p""","=""3P*""","=""2""",5,"=""""","=""283.330""","=""""","=""""","="""""
"=""1s2.2s.3p""","=""3P*""","=""0""",1,"=""""","=""283.330""","=""""","=""""","="""""
"=""1s2.2s.3d""","=""3D""","=""1""",3,"=""""","=""""","=""""","=""""","="""""
"=""1s2.2s.3d""","=""3D""","=""2""",5,"=""""","=""289.137""","=""""","=""""","="""""
"=""1s2.2s.3d""","=""3D""","=""3""",7,"=""""","=""289.196""","=""""","=""""","="""""
"=""1s2.2s.3d""","=""1D""","=""2""",5,"=""""","=""292.763""","=""""","=""""","="""""
"=""1s2.2p.3s""","=""3P*""","=""2""",5,"=""""","=""301.309""","=""?""","=""""","="""""
"=""1s2.2p.3s""","=""1P*""","=""1""",3,"=""""","=""306.343""","=""?""","=""""","="""""
"=""1s2.2p.3p""","=""3D""","=""3""",7,"=""""","=""308.388""","=""""","=""""","="""""
"=""1s2.2p.3p""","=""3S""","=""1""",3,"=""""","=""310.013""","=""""","=""""","="""""
"=""1s2.2p.3p""","=""3P""","=""0""",1,"=""""","=""310.849""","=""?""","=""""","="""""
"=""1s2.2p.3p""","=""3P""","=""1""",3,"=""""","=""311.216""","=""""","=""""","="""""
"=""1s2.2p.3p""","=""3P""","=""2""",5,"=""""","=""311.495""","=""""","=""""","="""""
"=""1s2.2p.3d""","=""1D*""","=""2""",5,"=""""","=""313.065""","=""""","=""""","="""""
"=""1s2.2p.3p""","=""1D""","=""2""",5,"=""""","=""313.980""","=""""","=""""","="""""
"=""1s2.2p.3d""","=""3D*""","=""1""",3,"=""""","=""""","=""""","=""""","="""""
"=""1s2.2p.3d""","=""3D*""","=""2""",5,"=""""","=""315.80""","=""""","=""""","="""""
"=""1s2.2p.3d""","=""3D*""","=""3""",7,"=""""","=""316.094""","=""""","=""""","="""""
"=""1s2.2p.3d""","=""3P*""","=""0""",1,"=""""","=""""","=""""","=""""","="""""
"=""1s2.2p.3d""","=""3P*""","=""2""",5,"=""""","=""316.999""","=""""","=""""","="""""
"=""1s2.2p.3d""","=""3P*""","=""1""",3,"=""""","=""317.180""","=""""","=""""","="""""
"=""1s2.2p.3d""","=""1F*""","=""3""",7,"=""""","=""320.243""","=""""","=""""","="""""
"=""1s2.2s.4p""","=""1P*""","=""1""",3,"=""""","=""369.937""","=""?""","=""""","="""""
"=""1s2.2s.4d""","=""3D""","=""2""",5,"=""""","=""371.752""","=""""","=""""","="""""
"=""1s2.2s.4d""","=""3D""","=""1""",3,"=""""","=""371.752""","=""""","=""""","="""""
"=""1s2.2s.4d""","=""3D""","=""3""",7,"=""""","=""371.768""","=""""","=""""","="""""
"=""1s2.2s.4d""","=""1D""","=""2""",5,"=""""","=""372.916""","=""""","=""""","="""""
"=""1s2.2s.4f""","=""3F*""","=""4""",9,"=""""","=""373.158""","=""""","=""""","="""""
"=""1s2.2s.4f""","=""3F*""","=""3""",7,"=""""","=""373.158""","=""""","=""""","="""""
"=""1s2.2s.4f""","=""3F*""","=""2""",5,"=""""","=""373.158""","=""""","=""""","="""""
"=""1s2.2p.4p""","=""3D""","=""3""",7,"=""""","=""394.33""","=""?""","=""""","="""""
"=""1s2.2p.4p""","=""3P""","=""2""",5,"=""""","=""395.184""","=""?""","=""""","="""""
"=""1s2.2p.4d""","=""1D*""","=""2""",5,"=""""","=""395.947""","=""?""","=""""","="""""
"=""1s2.2p.4p""","=""1D""","=""2""",5,"=""""","=""396.029""","=""?""","=""""","="""""
"=""1s2.2p.4d""","=""3D*""","=""3""",7,"=""""","=""397.138""","=""""","=""""","="""""
"=""1s2.2p.4d""","=""3P*""","=""2""",5,"=""""","=""397.363""","=""?""","=""""","="""""
"=""1s2.2p.4d""","=""1F*""","=""3""",7,"=""""","=""398.567""","=""""","=""""","="""""
"=""1s2.2s.5d""","=""3D""","=""2""",5,"=""""","=""409.693""","=""""","=""""","="""""
"=""1s2.2s.5d""","=""3D""","=""3""",7,"=""""","=""409.693""","=""""","=""""","="""""
"=""1s2.2s.5d""","=""1D""","=""2""",5,"=""""","=""410.172""","=""""","=""""","="""""
"=""1s2.2p.5d""","=""1F*""","=""3""",7,"=""""","=""435.373""","=""?""","=""""","="""""
"=""Si XII (2s 2S<1/2>)""","=""Limit""","=""---""",,"=""[""","=""476.273""","=""]""","=""0.019""","=""c192"""
"=""Si XII (2p 2P*<1/2>)""","=""Limit""","=""---""",,"=""""","=""500.172""","=""""","=""""","="""""
"=""Si XII (2p 2P*<3/2>)""","=""Limit""","=""---""",,"=""""","=""501.186""","=""""","=""""","="""""
"=""1s.2s2.2p""","=""1P*""","=""1""",3,"=""[""","=""1828.62""","=""]""","=""""","="""""
"=""1s.(2S).2s.2p2.(2D)""","=""3D""","=""3""",7,"=""[""","=""1844.45""","=""]""","=""""","="""""
"=""1s.(2S).2s.2p2.(2D)""","=""3D""","=""2""",5,"=""[""","=""1844.56""","=""]""","=""""","="""""
"=""1s.(2S).2s.2p2.(2D)""","=""3D""","=""1""",3,"=""[""","=""1844.65""","=""]""","=""""","="""""
"=""1s.(2S).2s.2p2.(4P)""","=""3P""","=""0""",1,"=""[""","=""1844.82""","=""]""","=""""","="""""
"=""1s.(2S).2s.2p2.(4P)""","=""3P""","=""1""",3,"=""[""","=""1845.23""","=""]""","=""""","="""""
"=""1s.(2S).2s.2p2.(4P)""","=""3P""","=""2""",5,"=""[""","=""1845.81""","=""]""","=""""","="""""
"=""1s.(2S).2s.2p2.(2D)""","=""1D""","=""2""",5,"=""[""","=""1858.56""","=""]""","=""""","="""""
"=""1s.(2S).2s.2p2.(2P)""","=""3P""","=""2""",5,"=""[""","=""1859.66""","=""]""","=""""","="""""
"=""1s.(2S).2s.2p2.(2P)""","=""1P""","=""1""",3,"=""[""","=""1867.4""","=""]""","=""""","="""""
"=""1s.2p3""","=""1D*""","=""2""",5,"=""[""","=""1881.62""","=""]""","=""""","="""""
"=""1s.2p3""","=""3P*""","=""2""",5,"=""[""","=""1883.21""","=""]""","=""""","="""""
"=""1s.2p3""","=""1P*""","=""1""",3,"=""[""","=""1892.23""","=""]""","=""""","="""""
