obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""3.19259""","=""""","=""1.42e+11""",D,"=""21.3431""","=""409.693""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2s.5d""","=""3D""","=""2""",3,5,,"=""T5633c4,LS""","=""""",
"=""""","=""3.19787""","=""""","=""4.71e+10""",E,"=""21.9846""","=""409.693""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.5d""","=""3D""","=""2""",5,5,,"=""T5633c4,LS""","=""""",
"=""""","=""3.19787""","=""""","=""1.88e+11""",D,"=""21.9846""","=""409.693""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.5d""","=""3D""","=""3""",5,7,,"=""T5633c4,LS""","=""""",
"=""""","=""3.31530""","=""""","=""3.53e+11""",D+,"=""61.3971""","=""435.373?""","=""1s2.2p2""","=""1D""","=""2""","=""1s2.2p.5d""","=""1F*""","=""3""",5,7,,"=""T5633c4""","=""""",
"=""""","=""3.31650""","=""""","=""4.00e+10""",E,"=""21.3431""","=""395.184?""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2p.4p""","=""3P""","=""2""",3,5,,"=""T5633c4,LS""","=""""",
"=""""","=""3.32220""","=""""","=""1.19e+11""",D,"=""21.9846""","=""395.184?""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2p.4p""","=""3P""","=""2""",5,5,,"=""T5633c4,LS""","=""""",
"=""""","=""3.3298""","=""""","=""1.27e+11""",D,"=""21.9846""","=""394.33?""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2p.4p""","=""3D""","=""3""",5,7,,"=""T5633c4,LS""","=""""",
"=""""","=""3.35150""","=""""","=""3.03e+11""",D,"=""0.0000""","=""369.937?""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2s.4p""","=""1P*""","=""1""",1,3,,"=""T5633c4""","=""""",
"=""""","=""3.35730""","=""""","=""1.65e+11""",D,"=""40.8750""","=""410.172""","=""1s2.2s.2p""","=""1P*""","=""1""","=""1s2.2s.5d""","=""1D""","=""2""",3,5,,"=""T5633c4""","=""""",
"=""""","=""3.49100""","=""""","=""1.87e+11""",D,"=""40.8750""","=""396.029?""","=""1s2.2s.2p""","=""1P*""","=""1""","=""1s2.2p.4p""","=""1D""","=""2""",3,5,,"=""T5633c4""","=""""",
"=""""","=""3.53535""","=""""","=""2.37e+11""",D,"=""21.0528""","=""371.752""","=""1s2.2s.2p""","=""3P*""","=""0""","=""1s2.2s.4d""","=""3D""","=""1""",1,3,,"=""T5633c4,LS""","=""""",
"=""""","=""3.53827""","=""""","=""3.18e+11""",D+,"=""21.3431""","=""371.752""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2s.4d""","=""3D""","=""2""",3,5,,"=""T5633c4,LS""","=""""",
"=""""","=""3.53827""","=""""","=""1.76e+11""",D,"=""21.3431""","=""371.752""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2s.4d""","=""3D""","=""1""",3,3,,"=""T5633c4,LS""","=""""",
"=""""","=""3.54460""","=""""","=""4.21e+11""",C,"=""21.9846""","=""371.768""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.4d""","=""3D""","=""3""",5,7,,"=""T5633c4,LS""","=""""",
"=""""","=""3.54476""","=""""","=""1.17e+10""",E,"=""21.9846""","=""371.752""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.4d""","=""3D""","=""1""",5,3,,"=""T5633c4,LS""","=""""",
"=""""","=""3.54476""","=""""","=""1.05e+11""",D,"=""21.9846""","=""371.752""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.4d""","=""3D""","=""2""",5,5,,"=""T5633c4,LS""","=""""",
"=""""","=""3.62522""","=""""","=""7.58e+10""",D,"=""55.3582""","=""397.363?""","=""1s2.2p2""","=""3P""","=""1""","=""1s2.2p.4d""","=""3P*""","=""2""",3,5,,"=""T5633c4,LS""","=""""",
"=""""","=""3.63110""","=""""","=""2.27e+11""",D+,"=""55.9125""","=""397.363?""","=""1s2.2p2""","=""3P""","=""2""","=""1s2.2p.4d""","=""3P*""","=""2""",5,5,,"=""T5633c4,LS""","=""""",
"=""""","=""3.63350""","=""""","=""5.74e+11""",C,"=""55.9125""","=""397.138""","=""1s2.2p2""","=""3P""","=""2""","=""1s2.2p.4d""","=""3D*""","=""3""",5,7,,"=""T5633c4,LS""","=""""",
"=""""","=""3.67720""","=""""","=""7.33e+11""",C,"=""61.3971""","=""398.567""","=""1s2.2p2""","=""1D""","=""2""","=""1s2.2p.4d""","=""1F*""","=""3""",5,7,,"=""T5633c4""","=""""",
"=""""","=""3.70600""","=""""","=""1.90e+11""",D+,"=""61.3971""","=""395.947?""","=""1s2.2p2""","=""1D""","=""2""","=""1s2.2p.4d""","=""1D*""","=""2""",5,5,,"=""T5633c4""","=""""",
"=""""","=""3.73400""","=""""","=""3.30e+11""",D+,"=""40.8750""","=""372.916""","=""1s2.2s.2p""","=""1P*""","=""1""","=""1s2.2s.4d""","=""1D""","=""2""",3,5,,"=""T5633c4""","=""""",
"=""""","=""3.90895""","=""""","=""7.52e+07""",E,"=""0.0000""","=""317.180""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2p.3d""","=""3P*""","=""1""",1,3,,"=""c68""","=""""",
"=""""","=""4.01842""","=""""","=""1.03e+09""",E,"=""61.3971""","=""369.937?""","=""1s2.2p2""","=""1D""","=""2""","=""1s2.2s.4p""","=""1P*""","=""1""",5,3,,"=""c66,LS""","=""""",
