spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
Si XI,Si,10,1s2.2s2,1S,0.0,1,0.0,0.0,even,,no,476.273,,,,,,,,,,L5815
Si XI,Si,10,1s2.2s.2p,3P*,0.0,1,21.0528,,odd,,no,476.273,,,,,,,,,,
Si XI,Si,10,1s2.2s.2p,3P*,1.0,3,21.3431,,odd,,no,476.273,2.9154499400772998e-06,"ASD 1/sum(Aki), J-resolved",2.9154499400772998e-06,2/2,yes,21.3431,21.3431,,,
Si XI,Si,10,1s2.2s.2p,3P*,2.0,5,21.9846,,odd,,no,476.273,0.47370602568607445,"ASD 1/sum(Aki), J-resolved",0.47370602568607445,4/4,yes,0.6415000000000006,21.9846,,,
Si XI,Si,10,1s2.2s.2p,1P*,1.0,3,40.875,,odd,,no,476.273,1.5576323712892687e-10,"ASD 1/sum(Aki), J-resolved",1.5576323712892687e-10,6/6,yes,40.875,40.875,,,
Si XI,Si,10,1s2.2p2,3P,0.0,1,55.008,,even,,no,476.273,2.003818074474179e-10,"ASD 1/sum(Aki), J-resolved",2.003818074474179e-10,3/3,yes,33.6649,33.6649,,,
Si XI,Si,10,1s2.2p2,3P,1.0,3,55.3582,,even,,no,476.273,1.9684874206954005e-10,"ASD 1/sum(Aki), J-resolved",1.9684874206954005e-10,9/9,yes,33.373599999999996,55.3582,,,
Si XI,Si,10,1s2.2p2,3P,2.0,5,55.9125,,even,,no,476.273,1.9298983631861705e-10,"ASD 1/sum(Aki), J-resolved",1.9298983631861705e-10,11/11,yes,33.9279,55.9125,,,
Si XI,Si,10,1s2.2p2,1D,2.0,5,61.3971,,even,,no,476.273,9.090872077327609e-10,"ASD 1/sum(Aki), J-resolved",9.090872077327609e-10,11/11,yes,20.522100000000002,61.3971,,,
Si XI,Si,10,1s2.2p2,1S,0.0,1,75.4764,,even,,no,476.273,9.999999428530033e-11,"ASD 1/sum(Aki), J-resolved",9.999999428530033e-11,5/5,yes,34.6014,53.4918,,,
Si XI,Si,10,1s2.2s.3s,3S,1.0,3,274.09,,even,,no,476.273,3.7045886887793565e-12,"ASD 1/sum(Aki), J-resolved",3.7045886887793565e-12,4/4,yes,252.10539999999997,253.03719999999998,,,
Si XI,Si,10,1s2.2s.3s,1S,0.0,1,277.949,,even,,no,476.273,1.2390085998347905e-11,"ASD 1/sum(Aki), J-resolved",1.2390085998347905e-11,2/2,yes,237.074,256.6059,,,
Si XI,Si,10,1s2.2s.3p,1P*,1.0,3,283.309,,odd,,no,476.273,1.5157015310859016e-12,"ASD 1/sum(Aki), J-resolved",1.5157015310859016e-12,8/8,yes,283.309,283.309,,,
Si XI,Si,10,1s2.2s.3p,3P*,1.0,3,283.33,,odd,,no,476.273,2.6507550675810003e-11,"ASD 1/sum(Aki), J-resolved",2.6507550675810003e-11,6/6,yes,283.33,283.33,,,
Si XI,Si,10,1s2.2s.3p,3P*,2.0,5,283.33,,odd,,no,476.273,2.8978283674214543e-10,"ASD 1/sum(Aki), J-resolved",2.8978283674214543e-10,3/3,yes,227.4175,227.97179999999997,,,
Si XI,Si,10,1s2.2s.3p,3P*,0.0,1,283.33,,odd,,no,476.273,3.1545741324921136e-10,"ASD 1/sum(Aki), J-resolved",3.1545741324921136e-10,1/1,yes,227.97179999999997,227.97179999999997,,,
Si XI,Si,10,1s2.2s.3d,3D,2.0,5,289.137,,even,,no,476.273,7.439681628049933e-13,"ASD 1/sum(Aki), J-resolved",7.439681628049933e-13,4/4,yes,267.7939,267.7939,,,
Si XI,Si,10,1s2.2s.3d,3D,3.0,7,289.196,,even,,no,476.273,7.518796992481203e-13,"ASD 1/sum(Aki), J-resolved",7.518796992481203e-13,1/1,yes,267.2114,267.2114,,,
Si XI,Si,10,1s2.2s.3d,1D,2.0,5,292.763,,even,,no,476.273,1.1596247871653657e-12,"ASD 1/sum(Aki), J-resolved",1.1596247871653657e-12,4/4,yes,251.88799999999998,271.4199,,,
Si XI,Si,10,1s2.2p.3s,3P*,2.0,5,301.309,,odd,yes,no,476.273,4.6641084032075074e-12,"ASD 1/sum(Aki), J-resolved",4.6641084032075074e-12,6/6,yes,245.39650000000003,245.95080000000002,,,
Si XI,Si,10,1s2.2p.3s,1P*,1.0,3,306.343,,odd,yes,no,476.273,3.968824408016105e-12,"ASD 1/sum(Aki), J-resolved",3.968824408016105e-12,9/9,yes,244.94590000000002,306.343,,,
Si XI,Si,10,1s2.2p.3p,3D,3.0,7,308.388,,even,,no,476.273,5.314964814932925e-12,"ASD 1/sum(Aki), J-resolved",5.314964814932925e-12,2/2,yes,286.4034,286.4034,,,
Si XI,Si,10,1s2.2p.3p,3S,1.0,3,310.013,,even,,no,476.273,3.2689353077702593e-12,"ASD 1/sum(Aki), J-resolved",3.2689353077702593e-12,5/5,yes,288.6699,288.9602,,,
Si XI,Si,10,1s2.2p.3p,3P,0.0,1,310.849,,even,yes,no,476.273,2.971529773242563e-12,"ASD 1/sum(Aki), J-resolved",2.971529773242563e-12,2/2,yes,289.5059,289.5059,,,
Si XI,Si,10,1s2.2p.3p,3P,1.0,3,311.216,,even,,no,476.273,2.9846647922971773e-12,"ASD 1/sum(Aki), J-resolved",2.9846647922971773e-12,5/5,yes,289.2314,290.1632,,,
Si XI,Si,10,1s2.2p.3p,3P,2.0,5,311.495,,even,,no,476.273,2.9730404690268645e-12,"ASD 1/sum(Aki), J-resolved",2.9730404690268645e-12,4/4,yes,289.5104,290.1519,,,
Si XI,Si,10,1s2.2p.3d,1D*,2.0,5,313.065,,odd,,no,476.273,2.1465353845625468e-12,"ASD 1/sum(Aki), J-resolved",2.1465353845625468e-12,4/4,yes,251.6679,257.7068,,,
Si XI,Si,10,1s2.2p.3p,1D,2.0,5,313.98,,even,,no,476.273,1.8788514623097172e-12,"ASD 1/sum(Aki), J-resolved",1.8788514623097172e-12,6/6,yes,273.105,292.6369,,,
Si XI,Si,10,1s2.2p.3d,3D*,2.0,5,315.8,,odd,,no,476.273,6.365645477087941e-13,"ASD 1/sum(Aki), J-resolved",6.365645477087941e-13,8/8,yes,260.4418,260.4418,,,
Si XI,Si,10,1s2.2p.3d,3D*,3.0,7,316.094,,odd,,no,476.273,6.052880017814837e-13,"ASD 1/sum(Aki), J-resolved",6.052880017814837e-13,6/6,yes,260.18149999999997,260.18149999999997,,,
Si XI,Si,10,1s2.2p.3d,3P*,2.0,5,316.999,,odd,,no,476.273,1.0637548604156296e-12,"ASD 1/sum(Aki), J-resolved",1.0637548604156296e-12,9/9,yes,261.0865,261.6408,,,
Si XI,Si,10,1s2.2p.3d,3P*,1.0,3,317.18,,odd,,no,476.273,1.105902091081698e-12,"ASD 1/sum(Aki), J-resolved",1.105902091081698e-12,11/11,yes,261.2675,317.18,,,
Si XI,Si,10,1s2.2p.3d,1F*,3.0,7,320.243,,odd,,no,476.273,4.995989219854301e-13,"ASD 1/sum(Aki), J-resolved",4.995989219854301e-13,4/4,yes,258.8459,264.3305,,,
Si XI,Si,10,1s2.2s.4p,1P*,1.0,3,369.937,,odd,yes,no,476.273,2.7244244653316985e-12,"ASD 1/sum(Aki), J-resolved",2.7244244653316985e-12,5/5,yes,369.937,369.937,,,
Si XI,Si,10,1s2.2s.4d,3D,2.0,5,371.752,,even,,no,476.273,2.360372183485892e-12,"ASD 1/sum(Aki), J-resolved",2.360372183485892e-12,4/4,yes,350.4089,350.4089,,,
Si XI,Si,10,1s2.2s.4d,3D,1.0,3,371.752,,even,,no,476.273,2.3529771631801427e-12,"ASD 1/sum(Aki), J-resolved",2.3529771631801427e-12,5/5,yes,350.6992,350.6992,,,
Si XI,Si,10,1s2.2s.4d,3D,3.0,7,371.768,,even,,no,476.273,2.3715340030545356e-12,"ASD 1/sum(Aki), J-resolved",2.3715340030545356e-12,2/2,yes,349.7834,349.7834,,,
Si XI,Si,10,1s2.2s.4d,1D,2.0,5,372.916,,even,,no,476.273,2.3377682355273445e-12,"ASD 1/sum(Aki), J-resolved",2.3377682355273445e-12,4/4,yes,332.041,332.041,,,
Si XI,Si,10,1s2.2s.4f,3F*,4.0,9,373.158,,odd,,no,476.273,4.6695687102287e-12,"ASD 1/sum(Aki), J-resolved",4.6695687102287e-12,3/3,yes,83.96199999999999,83.96199999999999,,,
Si XI,Si,10,1s2.2s.4f,3F*,3.0,7,373.158,,odd,,no,476.273,4.696100938218979e-12,"ASD 1/sum(Aki), J-resolved",4.696100938218979e-12,5/5,yes,84.02100000000002,84.02100000000002,,,
Si XI,Si,10,1s2.2s.4f,3F*,2.0,5,373.158,,odd,,no,476.273,2.937193963847877e-11,"ASD 1/sum(Aki), J-resolved",2.937193963847877e-11,6/6,yes,84.02100000000002,84.02100000000002,,,
Si XI,Si,10,1s2.2p.4p,3D,3.0,7,394.33,,even,yes,no,476.273,5.7819176308014315e-12,"ASD 1/sum(Aki), J-resolved",5.7819176308014315e-12,5/5,yes,372.3454,372.3454,,,
Si XI,Si,10,1s2.2p.4p,3P,2.0,5,395.184,,even,yes,no,476.273,5.13824446739527e-12,"ASD 1/sum(Aki), J-resolved",5.13824446739527e-12,7/7,yes,373.1994,373.84090000000003,,,
Si XI,Si,10,1s2.2p.4d,1D*,2.0,5,395.947,,odd,yes,no,476.273,4.563646901511936e-12,"ASD 1/sum(Aki), J-resolved",4.563646901511936e-12,4/4,yes,334.5499,334.5499,,,
Si XI,Si,10,1s2.2p.4p,1D,2.0,5,396.029,,even,yes,no,476.273,4.291195365253827e-12,"ASD 1/sum(Aki), J-resolved",4.291195365253827e-12,7/7,yes,355.154,355.154,,,
Si XI,Si,10,1s2.2p.4d,3D*,3.0,7,397.138,,odd,,no,476.273,1.4805240759123915e-12,"ASD 1/sum(Aki), J-resolved",1.4805240759123915e-12,9/9,yes,341.22549999999995,341.22549999999995,,,
Si XI,Si,10,1s2.2p.4d,3P*,2.0,5,397.363,,odd,yes,no,476.273,2.4672682935916037e-12,"ASD 1/sum(Aki), J-resolved",2.4672682935916037e-12,14/14,yes,341.4505,342.0048,,,
Si XI,Si,10,1s2.2p.4d,1F*,3.0,7,398.567,,odd,,no,476.273,1.2083593331983193e-12,"ASD 1/sum(Aki), J-resolved",1.2083593331983193e-12,5/5,yes,337.1699,337.1699,,,
Si XI,Si,10,1s2.2s.5d,3D,2.0,5,409.693,,even,,no,476.273,5.2431148464459444e-12,"ASD 1/sum(Aki), J-resolved",5.2431148464459444e-12,10/10,yes,388.3499,388.3499,,,
Si XI,Si,10,1s2.2s.5d,3D,3.0,7,409.693,,even,,no,476.273,5.271086718864481e-12,"ASD 1/sum(Aki), J-resolved",5.271086718864481e-12,9/9,yes,387.7084,387.7084,,,
Si XI,Si,10,1s2.2s.5d,1D,2.0,5,410.172,,even,,no,476.273,4.233671575467736e-12,"ASD 1/sum(Aki), J-resolved",4.233671575467736e-12,7/7,yes,369.297,369.297,,,
Si XI,Si,10,1s2.2p.5d,1F*,3.0,7,435.373,,odd,yes,no,476.273,2.3736055067647758e-12,"ASD 1/sum(Aki), J-resolved",2.3736055067647758e-12,5/5,yes,373.97589999999997,373.97589999999997,,,
Si XI,Si,10,1s.2s2.2p,1P*,1.0,3,1828.62,,odd,,yes,476.273,,autoionizing - not in any database,,,,,,,,
Si XI,Si,10,1s.(2S).2s.2p2.(2D),3D,3.0,7,1844.45,,even,,yes,476.273,,autoionizing - not in any database,,,,,,,,
Si XI,Si,10,1s.(2S).2s.2p2.(2D),3D,2.0,5,1844.56,,even,,yes,476.273,,autoionizing - not in any database,,,,,,,,
Si XI,Si,10,1s.(2S).2s.2p2.(2D),3D,1.0,3,1844.65,,even,,yes,476.273,,autoionizing - not in any database,,,,,,,,
Si XI,Si,10,1s.(2S).2s.2p2.(4P),3P,0.0,1,1844.82,,even,,yes,476.273,,autoionizing - not in any database,,,,,,,,
Si XI,Si,10,1s.(2S).2s.2p2.(4P),3P,1.0,3,1845.23,,even,,yes,476.273,,autoionizing - not in any database,,,,,,,,
Si XI,Si,10,1s.(2S).2s.2p2.(4P),3P,2.0,5,1845.81,,even,,yes,476.273,,autoionizing - not in any database,,,,,,,,
Si XI,Si,10,1s.(2S).2s.2p2.(2D),1D,2.0,5,1858.56,,even,,yes,476.273,,autoionizing - not in any database,,,,,,,,
Si XI,Si,10,1s.(2S).2s.2p2.(2P),3P,2.0,5,1859.66,,even,,yes,476.273,,autoionizing - not in any database,,,,,,,,
Si XI,Si,10,1s.(2S).2s.2p2.(2P),1P,1.0,3,1867.4,,even,,yes,476.273,,autoionizing - not in any database,,,,,,,,
Si XI,Si,10,1s.2p3,1D*,2.0,5,1881.62,,odd,,yes,476.273,,autoionizing - not in any database,,,,,,,,
Si XI,Si,10,1s.2p3,3P*,2.0,5,1883.21,,odd,,yes,476.273,,autoionizing - not in any database,,,,,,,,
Si XI,Si,10,1s.2p3,1P*,1.0,3,1892.23,,odd,,yes,476.273,,autoionizing - not in any database,,,,,,,,
