Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""5s2.5p2""","=""3P""","=""0""",1,"=""""","=""0.0000000""","=""""","=""0.0000012""","=""  90                                  ""","=""L3149,L14156"""
"=""5s2.5p2""","=""3P""","=""1""",3,"=""""","=""0.2097572""","=""""","=""0.0000006""","=""  92                                  ""","=""L3149,L14156"""
"=""5s2.5p2""","=""3P""","=""2""",5,"=""""","=""0.4249773""","=""""","=""0.0000005""","=""  86                                  ""","=""L3149,L14156"""
"=""5s2.5p2""","=""1D""","=""2""",5,"=""""","=""1.0678703""","=""""","=""0.0000004""","=""  84                                  ""","=""L3149,L14156"""
"=""5s2.5p2""","=""1S""","=""0""",1,"=""""","=""2.1278787""","=""""","=""0.0000005""","=""  87                                  ""","=""L3149,L14156"""
"=""5s2.5p.6s""","=""3P*""","=""0""",1,"=""""","=""4.2949066""","=""""","=""0.0000004""","="" 100                                  ""","=""L3149,L6407"""
"=""5s2.5p.6s""","=""3P*""","=""1""",3,"=""""","=""4.32881927""","=""""","=""0.00000025""","=""  75         :    25  5s2.5p.6s  1P*  ""","=""L3149,L6407"""
"=""5s2.5p.6s""","=""3P*""","=""2""",5,"=""""","=""4.78937023""","=""""","=""0.00000025""","=""  97         :     3  5s.5p3     5S*  ""","=""L3149,L6407"""
"=""5s2.5p.6s""","=""1P*""","=""1""",3,"=""""","=""4.86725425""","=""""","=""0.00000025""","=""  74         :    25  5s2.5p.6s  3P*  ""","=""L3149,L6407"""
"=""5s.5p3""","=""5S*""","=""2""",5,"=""""","=""4.9129366""","=""""","=""0.0000005""","=""  94         :     3  5s2.5p.6s  3P*  ""","=""L3149,L6407"""
"=""5s2.5p.6p""","=""3D""","=""1""",3,"=""""","=""5.24976571""","=""""","=""0.00000025""","=""  53         :    31             1P   ""","=""L3149,L14156"""
"=""5s2.5p.6p""","=""3D""","=""2""",5,"=""""","=""5.38465048""","=""""","=""0.00000025""","=""  59         :    16             1D   ""","=""L3149,L14156"""
"=""5s2.5p.6p""","=""3D""","=""3""",7,"=""""","=""5.8281041""","=""""","=""0.0000006""","=""  87                                  ""","=""L3149,L14156"""
"=""5s2.5p.6p""","=""3P""","=""1""",3,"=""""","=""5.37702532""","=""""","=""0.00000025""","=""  37         :    18             3D   ""","=""L3149,L14156"""
"=""5s2.5p.6p""","=""3P""","=""0""",1,"=""""","=""5.4303944""","=""""","=""0.0000005""","=""  75         :    12             1S   ""","=""L3149,L14156"""
"=""5s2.5p.6p""","=""3P""","=""2""",5,"=""""","=""5.8564210""","=""""","=""0.0000004""","=""  53         :    24             3D   ""","=""L3149,L14156"""
"=""5s2.5p.5d""","=""3F*""","=""2""",5,"=""""","=""5.41596913""","=""""","=""0.00000025""","=""  55         :    39  5s2.5p.5d  1D*  ""","=""L3149,L6407"""
