Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""5s2.5p""","=""2P*""","=""1/2""",2,"=""""","=""0.000000""","=""""","=""0.000006""","=""  97         :     2  5p3            2P*  ""","=""L3466"""
"=""5s2.5p""","=""2P*""","=""3/2""",4,"=""""","=""0.5271181""","=""""","=""0.0000017""","=""  97         :     2  5p3            2P*  ""","=""L18891"""
"=""5s.5p2""","=""4P""","=""1/2""",2,"=""""","=""5.7608378""","=""""","=""0.0000022""","=""  98                                      ""","=""L18891,L4985"""
"=""5s.5p2""","=""4P""","=""3/2""",4,"=""""","=""5.9968906""","=""""","=""0.0000009""","=""  99                                      ""","=""L18891"""
"=""5s.5p2""","=""4P""","=""5/2""",6,"=""""","=""6.2897462""","=""""","=""0.0000006""","=""  97         :     3  5s.5p2         2D   ""","=""L18891"""
"=""5s2.6s""","=""2S""","=""1/2""",2,"=""""","=""7.0530101""","=""""","=""0.0000004""","="" 100                                      ""","=""L18891"""
"=""5s.5p2""","=""2D""","=""3/2""",4,"=""""","=""7.2957486""","=""""","=""0.0000005""","=""  41         :    58  5s2.5d         2D   ""","=""L18891"""
"=""5s.5p2""","=""2D""","=""5/2""",6,"=""""","=""7.3725320""","=""""","=""0.0000006""","=""  38         :    59  5s2.5d         2D   ""","=""L18891"""
"=""5s2.5d""","=""2D""","=""3/2""",4,"=""""","=""8.8532333""","=""""","=""0.0000010""","=""  41         :    54  5s.5p2         2D   ""","=""L18891"""
"=""5s2.5d""","=""2D""","=""5/2""",6,"=""""","=""8.9328458""","=""""","=""0.0000009""","=""  40         :    56  5s.5p2         2D   ""","=""L18891"""
"=""5s2.6p""","=""2P*""","=""1/2""",2,"=""""","=""8.8640361""","=""""","=""0.0000004""","=""  99                                      ""","=""L18891"""
"=""5s2.6p""","=""2P*""","=""3/2""",4,"=""""","=""8.97365992""","=""""","=""""","=""  99                                      ""","=""L18891"""
"=""5s.5p2""","=""2S""","=""1/2""",2,"=""""","=""9.41713""","=""""","=""0.00005""","=""  51         :    46  5s.5p2         2P   ""","=""L18891"""
"=""5s.5p2""","=""2P""","=""1/2""",2,"=""""","=""9.97516""","=""""","=""0.00005""","=""  53         :    45  5s.5p2         2S   ""","=""L18891"""
"=""5s.5p2""","=""2P""","=""3/2""",4,"=""""","=""10.13178""","=""""","=""0.00004""","=""  97         :     2  5s.5p2         2D   ""","=""L18891"""
"=""5s2.7s""","=""2S""","=""1/2""",2,"=""""","=""10.6973961""","=""""","=""0.0000006""","=""  99                                      ""","=""L18891"""
"=""5s2.4f""","=""2F*""","=""7/2""",8,"=""""","=""11.0703327""","=""""","=""0.0000009""","=""  96         :     3  4f.5p2         2F*  ""","=""L18891"""
"=""5s2.4f""","=""2F*""","=""5/2""",6,"=""""","=""11.0710518""","=""""","=""0.0000007""","=""  96         :     3  4f.5p2         2F*  ""","=""L18891"""
"=""5s2.6d""","=""2D""","=""3/2""",4,"=""""","=""11.1885267""","=""""","=""0.0000005""","=""  97         :     2  5s.5p2         2D   ""","=""L18891"""
"=""5s2.6d""","=""2D""","=""5/2""",6,"=""""","=""11.2022072""","=""""","=""0.0000006""","=""  97         :     2  5s.5p2         2D   ""","=""L18891"""
"=""5s2.7p""","=""2P*""","=""1/2""",2,"=""""","=""11.3946370""","=""""","=""0.0000019""","=""  99                                      ""","=""L18891"""
"=""5s2.7p""","=""2P*""","=""3/2""",4,"=""""","=""11.4397872""","=""""","=""0.0000011""","=""  99                                      ""","=""L18891"""
"=""5s2.8s""","=""2S""","=""1/2""",2,"=""""","=""12.2003442""","=""""","=""0.0000007""","="" 100                                      ""","=""L18891"""
"=""5s2.5f""","=""2F*""","=""7/2""",8,"=""""","=""12.3563865""","=""""","=""0.0000007""","=""  99                                      ""","=""L18891"""
"=""5s2.5f""","=""2F*""","=""5/2""",6,"=""""","=""12.3570497""","=""""","=""0.0000007""","=""  99                                      ""","=""L18891"""
"=""5s2.7d""","=""2D""","=""3/2""",4,"=""""","=""12.4336451""","=""""","=""0.0000012""","=""  99                                      ""","=""L18891"""
"=""5s2.7d""","=""2D""","=""5/2""",6,"=""""","=""12.4404439""","=""""","=""0.0000011""","=""  99                                      ""","=""L18891"""
"=""5s2.5g""","=""2G""","=""9/2""",10,"=""""","=""12.4386045""","=""""","=""0.0000009""","="" 100                                      ""","=""L18891"""
"=""5s2.5g""","=""2G""","=""7/2""",8,"=""""","=""12.4386045""","=""""","=""0.0000009""","="" 100                                      ""","=""L18891"""
"=""5s2.8p""","=""2P*""","=""1/2""",2,"=""""","=""12.54772""","=""""","=""0.00005""","=""  99                                      ""","=""L18891"""
"=""5s2.8p""","=""2P*""","=""3/2""",4,"=""""","=""12.570432""","=""""","=""0.000020""","=""  99                                      ""","=""L18891"""
"=""5s2.9s""","=""2S""","=""1/2""",2,"=""""","=""12.978469""","=""""","=""0.000012""","="" 100                                      ""","=""L18891"""
"=""5s2.6f""","=""2F*""","=""7/2""",8,"=""""","=""13.06301""","=""""","=""0.00022""","=""  99                                      ""","=""L18891"""
"=""5s2.6f""","=""2F*""","=""5/2""",6,"=""""","=""13.06443""","=""""","=""0.00004""","=""  99                                      ""","=""L18891"""
"=""5s2.8d""","=""2D""","=""3/2""",4,"=""""","=""13.10901""","=""""","=""0.00004""","="" 100                                      ""","=""L18891"""
"=""5s2.8d""","=""2D""","=""5/2""",6,"=""""","=""13.11292""","=""""","=""0.00003""","="" 100                                      ""","=""L18891"""
"=""5s2.6g""","=""2G""","=""9/2""",10,"=""""","=""13.1097770""","=""""","=""0.0000009""","="" 100                                      ""","=""L18891"""
"=""5s2.6g""","=""2G""","=""7/2""",8,"=""""","=""13.1097770""","=""""","=""0.0000009""","="" 100                                      ""","=""L18891"""
"=""5s2.9p""","=""2P*""","=""1/2""",2,"=""""","=""13.17411""","=""""","=""0.00004""","=""  99                                      ""","=""L18891"""
"=""5s2.9p""","=""2P*""","=""3/2""",4,"=""""","=""13.18822""","=""""","=""0.00005""","=""  99                                      ""","=""L18891"""
"=""5s2.10s""","=""2S""","=""1/2""",2,"=""""","=""13.43463""","=""""","=""0.00005""","="" 100                                      ""","=""L18891"""
"=""5s2.7g""","=""2G""","=""9/2""",10,"=""""","=""13.51456""","=""""","=""0.00005""","="" 100                                      ""","=""L18891"""
"=""5s2.7g""","=""2G""","=""7/2""",8,"=""""","=""13.51456""","=""""","=""0.00005""","="" 100                                      ""","=""L18891"""
"=""5s2.9d""","=""2D""","=""3/2""",4,"=""""","=""13.51503""","=""""","=""0.00005""","="" 100                                      ""","=""L18891"""
"=""5s2.9d""","=""2D""","=""5/2""",6,"=""""","=""13.517467""","=""""","=""0.000019""","="" 100                                      ""","=""L18891"""
"=""5s2.10p""","=""2P*""","=""1/2""",2,"=""""","=""13.54188""","=""""","=""0.00004""","=""  81         :    16  5s.5p.(3P*).6s 4P*  ""","=""L18891"""
"=""5s.5p.(3P*).6s""","=""4P*""","=""1/2""",2,"=""""","=""13.57052""","=""""","=""0.00004""","=""  81         :    18  5s2.10p        2P*  ""","=""L18891"""
"=""5s.5p.(3P*).6s""","=""4P*""","=""3/2""",4,"=""""","=""13.73463""","=""""","=""0.00003""","=""  79         :    12  5s2.11p        2P*  ""","=""L18891"""
"=""5s.5p.(3P*).6s""","=""4P*""","=""5/2""",6,"=""""","=""14.164668""","=""""","=""0.000025""","=""  95         :     2  5s.5p.(3P*).5d 2D*  ""","=""L18891"""
"=""5s2.11s""","=""2S""","=""1/2""",2,"=""""","=""13.7249""","=""""","=""0.0005""","="" 100                                      ""","=""L18891"""
"=""5s2.8g""","=""2G""","=""7/2""",8,"=""""","=""13.77722""","=""""","=""0.00005""","="" 100                                      ""","=""L18891"""
"=""5s2.8g""","=""2G""","=""9/2""",10,"=""""","=""13.77722""","=""""","=""0.00005""","="" 100                                      ""","=""L18891"""
"=""5s2.10d""","=""2D""","=""3/2""",4,"=""""","=""13.77745""","=""""","=""0.00015""","="" 100                                      ""","=""L18891"""
"=""5s2.10d""","=""2D""","=""5/2""",6,"=""""","=""13.78001""","=""""","=""0.00014""","="" 100                                      ""","=""L18891"""
"=""5s2.9g""","=""2G""","=""7/2""",8,"=""""","=""13.95740""","=""""","=""0.00010""","="" 100                                      ""","=""L18891"""
"=""5s2.9g""","=""2G""","=""9/2""",10,"=""""","=""13.95740""","=""""","=""0.00010""","="" 100                                      ""","=""L18891"""
"=""5s2.11d""","=""2D""","=""3/2""",4,"=""""","=""13.95741""","=""""","=""0.00006""","="" 100                                      ""","=""L18891"""
"=""5s2.11d""","=""2D""","=""5/2""",6,"=""""","=""13.96024""","=""""","=""0.00014""","="" 100                                      ""","=""L18891"""
"=""5s2.10g""","=""2G""","=""9/2""",10,"=""""","=""14.08591""","=""""","=""0.00019""","="" 100                                      ""","=""L18891"""
"=""5s2.10g""","=""2G""","=""7/2""",8,"=""""","=""14.08591""","=""""","=""0.00019""","="" 100                                      ""","=""L18891"""
"=""5s.5p.(3P*).5d""","=""2D*""","=""5/2""",6,"=""""","=""14.11171""","=""""","=""0.00003""","=""  62         :    18  5p3            2D*  ""","=""L18891"""
"=""5s.5p.(3P*).6s""","=""2P*""","=""1/2""",2,"=""""","=""14.12830""","=""""","=""0.00003""","=""  30         :    50  5s2.14p        2P*  ""","=""L18891"""
"=""5s2.11g""","=""2G""","=""7/2""",8,"=""""","=""14.1811""","=""""","=""0.0003""","="" 100                                      ""","=""L18891"""
"=""5s2.11g""","=""2G""","=""9/2""",10,"=""""","=""14.1811""","=""""","=""0.0003""","="" 100                                      ""","=""L18891"""
