obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""88.8313""","=""0.0019""","=""88.8304""","=""0.0004""","=""1400""","=""""",,"=""0.000000""","=""13.95741""","=""5s2.5p""","=""2P*""","=""1/2""","=""5s2.11d""","=""2D""","=""3/2""",2,4,,"=""""","=""L17864""",
"=""89.9884""","=""0.0019""","=""89.9907""","=""0.0010""","=""3400""","=""""",,"=""0.000000""","=""13.77745""","=""5s2.5p""","=""2P*""","=""1/2""","=""5s2.10d""","=""2D""","=""3/2""",2,4,,"=""""","=""L17864""",
"=""91.7378""","=""0.0006""","=""91.7380""","=""0.0004""","=""7300""","=""9.e+07""",E,"=""0.000000""","=""13.51503""","=""5s2.5p""","=""2P*""","=""1/2""","=""5s2.9d""","=""2D""","=""3/2""",2,4,,"=""T9352""","=""L18891""",
"=""92.2856""","=""0.0019""","=""92.2870""","=""0.0003""","=""3500""","=""2.4e+07""",E,"=""0.000000""","=""13.43463""","=""5s2.5p""","=""2P*""","=""1/2""","=""5s2.10s""","=""2S""","=""1/2""",2,2,,"=""T9352""","=""L17864""",
"=""92.301""","=""0.004""","=""92.2974""","=""0.0010""","=""3700""","=""""",,"=""0.5271181""","=""13.96024""","=""5s2.5p""","=""2P*""","=""3/2""","=""5s2.11d""","=""2D""","=""5/2""",4,6,,"=""""","=""L3368""",
"=""93.5571""","=""0.0019""","=""93.5525""","=""0.0010""","=""5800""","=""""",,"=""0.5271181""","=""13.78001""","=""5s2.5p""","=""2P*""","=""3/2""","=""5s2.10d""","=""2D""","=""5/2""",4,6,,"=""""","=""L17864""",
"=""94.5802""","=""0.0006""","=""94.5794""","=""0.0003""","=""14000""","=""1.5e+08""",E,"=""0.000000""","=""13.10901""","=""5s2.5p""","=""2P*""","=""1/2""","=""5s2.8d""","=""2D""","=""3/2""",2,4,,"=""T9352""","=""L18891""",
"=""95.4440""","=""0.0006""","=""95.44332""","=""0.00014""","=""12000""","=""9.e+07""",E,"=""0.5271181""","=""13.517467""","=""5s2.5p""","=""2P*""","=""3/2""","=""5s2.9d""","=""2D""","=""5/2""",4,6,,"=""T9352""","=""L18891""",
"=""95.4614""","=""0.0006""","=""95.4612""","=""0.0004""","=""6200""","=""1.8e+07""",E,"=""0.5271181""","=""13.51503""","=""5s2.5p""","=""2P*""","=""3/2""","=""5s2.9d""","=""2D""","=""3/2""",4,4,,"=""T9352""","=""L18891""",
"=""95.5299""","=""0.0006""","=""95.53068""","=""0.00010""","=""6900""","=""3.9e+07""",E,"=""0.000000""","=""12.978469""","=""5s2.5p""","=""2P*""","=""1/2""","=""5s2.9s""","=""2S""","=""1/2""",2,2,,"=""T9352""","=""L18891""",
"=""96.0545""","=""0.0019""","=""96.0558""","=""0.0004""","=""2400""","=""4.e+07""",E,"=""0.5271181""","=""13.43463""","=""5s2.5p""","=""2P*""","=""3/2""","=""5s2.10s""","=""2S""","=""1/2""",4,2,,"=""T9352""","=""L17864""",
"=""98.5110""","=""0.0006""","=""98.51117""","=""0.00023""","=""18000""","=""1.6e+08""",E,"=""0.5271181""","=""13.11292""","=""5s2.5p""","=""2P*""","=""3/2""","=""5s2.8d""","=""2D""","=""5/2""",4,6,,"=""T9352""","=""L18891""",
"=""98.5411""","=""0.0019""","=""98.5418""","=""0.0003""","=""10000""","=""3.0e+07""",E,"=""0.5271181""","=""13.10901""","=""5s2.5p""","=""2P*""","=""3/2""","=""5s2.8d""","=""2D""","=""3/2""",4,4,,"=""T9352""","=""L17864""",
"=""99.5742""","=""0.0006""","=""99.57490""","=""0.00010""","=""8600""","=""7.e+07""",E,"=""0.5271181""","=""12.978469""","=""5s2.5p""","=""2P*""","=""3/2""","=""5s2.9s""","=""2S""","=""1/2""",4,2,,"=""T9352""","=""L18891""",
"=""99.7168""","=""0.0006""","=""99.71669""","=""0.00005""","=""19000""","=""2.8e+08""",D+,"=""0.000000""","=""12.4336451""","=""5s2.5p""","=""2P*""","=""1/2""","=""5s2.7d""","=""2D""","=""3/2""",2,4,,"=""T9352""","=""L18891""",
"=""101.6238""","=""0.0006""","=""101.62353""","=""0.00005""","=""16000""","=""7.e+07""",E,"=""0.000000""","=""12.2003442""","=""5s2.5p""","=""2P*""","=""1/2""","=""5s2.8s""","=""2S""","=""1/2""",2,2,,"=""T9352""","=""L18891""",
"=""104.0720""","=""0.0006""","=""104.071860""","=""0.000019""","=""24000""","=""3.0e+08""",D+,"=""0.5271181""","=""12.4404439""","=""5s2.5p""","=""2P*""","=""3/2""","=""5s2.7d""","=""2D""","=""5/2""",4,6,,"=""T9352""","=""L18891""",
"=""104.1313""","=""0.0006""","=""104.131287""","=""0.000020""","=""16000""","=""6.e+07""",E,"=""0.5271181""","=""12.4336451""","=""5s2.5p""","=""2P*""","=""3/2""","=""5s2.7d""","=""2D""","=""3/2""",4,4,,"=""T9352""","=""L18891""",
"=""106.2123""","=""0.0007""","=""106.212453""","=""0.000017""","=""25000""","=""1.3e+08""",E,"=""0.5271181""","=""12.2003442""","=""5s2.5p""","=""2P*""","=""3/2""","=""5s2.8s""","=""2S""","=""1/2""",4,2,,"=""T9352""","=""L18891""",
"=""110.8138""","=""0.0010""","=""110.81369""","=""0.00006""","=""43000""","=""4.7e+08""",B+,"=""0.000000""","=""11.1885267""","=""5s2.5p""","=""2P*""","=""1/2""","=""5s2.6d""","=""2D""","=""3/2""",2,4,,"=""T8718""","=""L18891""",
"=""115.9014""","=""0.0010""","=""115.90129""","=""0.00005""","=""53000""","=""1.01e+08""",C+,"=""0.000000""","=""10.6973961""","=""5s2.5p""","=""2P*""","=""1/2""","=""5s2.7s""","=""2S""","=""1/2""",2,2,,"=""T8718""","=""L18891""",
"=""116.1434""","=""0.0010""","=""116.143479""","=""0.000020""","=""74000""","=""5.5e+08""",B+,"=""0.5271181""","=""11.2022072""","=""5s2.5p""","=""2P*""","=""3/2""","=""5s2.6d""","=""2D""","=""5/2""",4,6,,"=""T8718""","=""L18891""",
"=""116.2926""","=""0.0010""","=""116.292511""","=""0.000020""","=""56000""","=""1.28e+08""",B+,"=""0.5271181""","=""11.1885267""","=""5s2.5p""","=""2P*""","=""3/2""","=""5s2.6d""","=""2D""","=""3/2""",4,4,,"=""T8718""","=""L18891""",
"=""118.5675""","=""0.0014""","=""118.5684""","=""0.0006""","=""37000""","=""""",,"=""5.9968906""","=""16.45366""","=""5s.5p2""","=""4P""","=""3/2""","=""5s.5p.(1P*).5d""","=""2D*""","=""5/2""",4,6,,"=""""","=""L18891""",
"=""119.3299""","=""0.0014""","=""119.3308""","=""0.0003""","=""66000bl(Si II)""","=""""",,"=""5.9968906""","=""16.38685""","=""5s.5p2""","=""4P""","=""3/2""","=""5s.5p.(1P*).5d""","=""2D*""","=""3/2""",4,4,,"=""""","=""L18891""",
"=""121.9088""","=""0.0010""","=""121.908367""","=""0.000022""","=""91000""","=""3.35e+08""",B+,"=""0.5271181""","=""10.6973961""","=""5s2.5p""","=""2P*""","=""3/2""","=""5s2.7s""","=""2S""","=""1/2""",4,2,,"=""T8718""","=""L18891""",
"=""122.3715""","=""0.0010""","=""122.3716""","=""0.0004""","=""100000""","=""4.08e+08""",B+,"=""0.000000""","=""10.13178""","=""5s2.5p""","=""2P*""","=""1/2""","=""5s.5p2""","=""2P""","=""3/2""",2,4,,"=""T8718""","=""L18891""",
