obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""167.613""","=""0.002""","=""167.6131""","=""0.0020""","=""""","=""""",,"=""0.0000000""","=""7.39705""","=""5s2""","=""1S""","=""0""","=""4d.(2D<5/2>).10f""","=""2[3/2]*""","=""1""",1,3,,"=""""","=""L7603""",
"=""168.462""","=""0.002""","=""168.4622""","=""0.0020""","=""*""","=""""",,"=""0.0000000""","=""7.35976""","=""5s2""","=""1S""","=""0""","=""4d.(2D<3/2>).10f""","=""2[3/2]*""","=""1""",1,3,,"=""""","=""L7603""",
"=""168.462""","=""0.002""","=""168.4622""","=""0.0020""","=""*""","=""""",,"=""0.0000000""","=""7.35976""","=""5s2""","=""1S""","=""0""","=""4d.(2D<5/2>).9f""","=""2[3/2]*""","=""1""",1,3,,"=""""","=""L7603""",
"=""168.809""","=""0.002""","=""168.8091""","=""0.0020""","=""""","=""""",,"=""0.0000000""","=""7.34464""","=""5s2""","=""1S""","=""0""","=""4d.(2D<5/2>).9f""","=""2[1/2]*""","=""1""",1,3,,"=""""","=""L7603""",
"=""169.397""","=""0.002""","=""169.3971""","=""0.0020""","=""""","=""""",,"=""0.0000000""","=""7.31915""","=""5s2""","=""1S""","=""0""","=""4d.(2D<3/2>).9f""","=""2[3/2]*""","=""1""",1,3,,"=""""","=""L7603""",
"=""169.576""","=""0.002""","=""169.5757""","=""0.0020""","=""""","=""""",,"=""0.0000000""","=""7.31143""","=""5s2""","=""1S""","=""0""","=""4d.(2D<5/2>).8f""","=""2[3/2]*""","=""1""",1,3,,"=""""","=""L7603""",
"=""169.703""","=""0.002""","=""169.7029""","=""0.0020""","=""""","=""""",,"=""0.0000000""","=""7.30595""","=""5s2""","=""1S""","=""0""","=""4d.(2D<5/2>).8f""","=""2[1/2]*""","=""1""",1,3,,"=""""","=""L7603""",
"=""170.320""","=""0.002""","=""170.3195""","=""0.0020""","=""""","=""""",,"=""0.0000000""","=""7.27951""","=""5s2""","=""1S""","=""0""","=""4d.(2D<5/2>).10p""","=""2[3/2]*""","=""1""",1,3,,"=""""","=""L7603""",
"=""170.595""","=""0.002""","=""170.5952""","=""0.0020""","=""""","=""""",,"=""0.0000000""","=""7.26774""","=""5s2""","=""1S""","=""0""","=""4d.(2D<3/2>).8f""","=""2[3/2]*""","=""1""",1,3,,"=""""","=""L7603""",
"=""171.058""","=""0.002""","=""171.0577""","=""0.0020""","=""""","=""""",,"=""0.0000000""","=""7.24809""","=""5s2""","=""1S""","=""0""","=""4d.(2D<3/2>).10p""","=""2[3/2]*""","=""1""",1,3,,"=""""","=""L7603""",
"=""171.167""","=""0.002""","=""171.1675""","=""0.0021""","=""""","=""""",,"=""0.0000000""","=""7.24344""","=""5s2""","=""1S""","=""0""","=""4d.7f""","=""(5/2,7/2)*""","=""1""",1,3,,"=""""","=""L7603""",
"=""171.244""","=""0.002""","=""171.2440""","=""0.0021""","=""""","=""""",,"=""0.0000000""","=""7.24021""","=""5s2""","=""1S""","=""0""","=""4d.(2D<3/2>).10p""","=""2[1/2]*""","=""1""",1,3,,"=""""","=""L7603""",
"=""171.565""","=""0.002""","=""171.5648""","=""0.0021""","=""""","=""""",,"=""0.0000000""","=""7.22667""","=""5s2""","=""1S""","=""0""","=""4d.7f""","=""(5/2,5/2)*""","=""1""",1,3,,"=""""","=""L7603""",
"=""172.171""","=""0.004""","=""172.171""","=""0.004""","=""""","=""""",,"=""0.0000000""","=""7.20123""","=""5s2""","=""1S""","=""0""","=""4d.9p""","=""(5/2,3/2)*""","=""1""",1,3,,"=""""","=""L413""",
"=""172.350""","=""0.002""","=""172.3499""","=""0.0021""","=""""","=""""",,"=""0.0000000""","=""7.19375""","=""5s2""","=""1S""","=""0""","=""4d.7f""","=""(3/2,5/2)*""","=""1""",1,3,,"=""""","=""L7603""",
"=""173.181""","=""0.002""","=""173.1806""","=""0.0021""","=""""","=""""",,"=""0.0000000""","=""7.15924""","=""5s2""","=""1S""","=""0""","=""4d.9p""","=""(3/2,1/2)*""","=""1""",1,3,,"=""""","=""L7603""",
"=""173.471""","=""0.002""","=""173.4705""","=""0.0021""","=""""","=""""",,"=""0.0000000""","=""7.14728""","=""5s2""","=""1S""","=""0""","=""4d.9p""","=""(3/2,3/2)*""","=""1""",1,3,,"=""""","=""L7603""",
