conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
5s2,1S,0.0,1.0,0.0,5s.5p,3P*,1.0,3.0,1.798308,1.798308,689.44911,46900.0,0.0010027,0.0010027,2.6611e-05
5s2,1S,0.0,1.0,0.0,5s.5p,1P*,1.0,3.0,2.690265,2.690265,460.86237,201000000.0,1.9201,1.9201,0.050959
5s2,1S,0.0,1.0,0.0,5s.6p,1P*,1.0,3.0,4.227663,4.227663,293.26886,1900000.0,0.0073496,0.0073496,0.00019506
5s2,1S,0.0,1.0,0.0,5s.7p,1P*,1.0,3.0,4.823836,4.823836,257.0241,5300000.0,0.015747,0.015747,0.00041793
5s2,1S,0.0,1.0,0.0,4d.5p,1P*,1.0,3.0,5.104684,5.104684,242.8832,17000000.0,0.045105,0.045105,0.0011971
5s2,1S,0.0,1.0,0.0,5s.8p,1P*,1.0,3.0,5.264634,5.264634,235.50393,18000000.0,0.0449,0.0449,0.0011917
5s2,1S,0.0,1.0,0.0,5s.9p,1P*,1.0,3.0,5.371992,5.371992,230.79744,11500000.0,0.027551,0.027551,0.00073121
5s2,1S,0.0,1.0,0.0,5s.10p,1P*,1.0,3.0,5.447643,5.447643,227.59237,6600000.0,0.015376,0.015376,0.00040808
5s2,1S,0.0,1.0,0.0,5s.11p,1P*,1.0,3.0,5.500735,5.500735,225.39569,3700000.0,0.0084542,0.0084542,0.00022438
5s2,1S,0.0,1.0,0.0,5s.12p,1P*,1.0,3.0,5.539085,5.539085,223.83516,2400000.0,0.0054081,0.0054081,0.00014353
5s2,1S,0.0,1.0,0.0,5s.13p,1P*,1.0,3.0,5.567324,5.567324,222.69981,1570000.0,0.003502,0.003502,9.2944e-05
5s2,1S,0.0,1.0,0.0,5s.14p,1P*,1.0,3.0,5.588624,5.588624,221.85103,1170000.0,0.0025899,0.0025899,6.8737e-05
5s2,1S,0.0,1.0,0.0,5s.15p,1P*,1.0,3.0,5.605057,5.605057,221.2006,850000.0,0.0018706,0.0018706,4.9645e-05
5s2,1S,0.0,1.0,0.0,5s.16p,1P*,1.0,3.0,5.617971,5.617971,220.69213,640000.0,0.001402,0.001402,3.7208e-05
5s2,1S,0.0,1.0,0.0,5s.17p,1P*,1.0,3.0,5.628305,5.628305,220.28692,500000.0,0.0010913,0.0010913,2.8962e-05
5s2,1S,0.0,1.0,0.0,5s.18p,1P*,1.0,3.0,5.636696,5.636696,219.95899,420000.0,0.00091393,0.00091393,2.4256e-05
5s2,1S,0.0,1.0,0.0,5s.19p,1P*,1.0,3.0,5.643592,5.643592,219.69022,320000.0,0.00069463,0.00069463,1.8435e-05
5s2,1S,0.0,1.0,0.0,5s.20p,1P*,1.0,3.0,5.64934,5.64934,219.4667,256000.0,0.00055457,0.00055457,1.4718e-05
5s.5p,3P*,0.0,1.0,1.775145,5s.6s,3S,1.0,3.0,3.600349,1.825204,679.2894,8900000.0,0.18471,0.18471,0.0049021
5s.5p,3P*,0.0,1.0,1.775145,5s.5d,3D,1.0,3.0,4.340303,2.565159,483.33928,33000000.0,0.34674,0.34674,0.0092024
5s.5p,3P*,0.0,1.0,1.775145,5p2,3P,1.0,3.0,4.389054,2.613909,474.32485,39000000.0,0.39464,0.39464,0.010474
5s.5p,3P*,0.0,1.0,1.775145,5s.7s,3S,1.0,3.0,4.640068,2.864924,432.76615,3100000.0,0.026113,0.026113,0.00069303
5s.5p,3P*,0.0,1.0,1.775145,4d2,3P,1.0,3.0,5.529189,3.754045,330.2683,59000000.0,0.28945,0.28945,0.0076819
5s.5p,3P*,1.0,3.0,1.798308,5s.6s,3S,1.0,3.0,3.600349,1.802041,688.02104,27000000.0,0.19161,0.57484,0.0050854
5s.5p,3P*,1.0,3.0,1.798308,5s.5d,3D,1.0,3.0,4.340303,2.541995,487.74364,26300000.0,0.093799,0.2814,0.0024894
5s.5p,3P*,1.0,3.0,1.798308,5s.5d,3D,2.0,5.0,4.342173,2.543865,487.38513,48000000.0,0.2849,0.8547,0.0075613
5s.5p,3P*,1.0,3.0,1.798308,5p2,3P,1.0,3.0,4.389054,2.590745,478.56574,30000000.0,0.10301,0.30902,0.0027338
5s.5p,3P*,1.0,3.0,1.798308,5p2,3P,2.0,5.0,4.423091,2.624783,472.35979,36000000.0,0.2007,0.60211,0.0053267
5s.5p,3P*,1.0,3.0,1.798308,5s.7s,3S,1.0,3.0,4.640068,2.84176,436.29368,9700000.0,0.027681,0.083044,0.00073467
5s.5p,3P*,2.0,5.0,1.847184,5s.6s,3S,1.0,3.0,3.600349,1.753165,707.20219,42000000.0,0.18895,0.94475,0.0050147
5s.5p,3P*,2.0,5.0,1.847184,5s.5d,3D,1.0,3.0,4.340303,2.493119,497.30554,1300000.0,0.002892,0.01446,7.6754e-05
5s.5p,3P*,2.0,5.0,1.847184,5s.5d,3D,2.0,5.0,4.342173,2.494989,496.93285,12800000.0,0.047388,0.23694,0.0012577
5s.5p,3P*,2.0,5.0,1.847184,5s.5d,3D,3.0,7.0,4.345029,2.497844,496.36478,61400000.0,0.31751,1.5876,0.0084267
5s.5p,3P*,2.0,5.0,1.847184,5p2,3P,2.0,5.0,4.423091,2.575907,481.32248,90000000.0,0.31259,1.5629,0.0082961
5s.5p,3P*,2.0,5.0,1.847184,5s.7s,3S,1.0,3.0,4.640068,2.792884,443.92891,15500000.0,0.027477,0.13739,0.00072924
5s.4d,3D,1.0,3.0,2.251434,4d.5p,3F*,2.0,5.0,4.124564,1.87313,661.90924,16000000.0,0.17516,0.52547,0.0046486
5s.4d,3D,1.0,3.0,2.251434,4d.5p,1D*,2.0,5.0,4.194001,1.942567,638.24928,5200000.0,0.052929,0.15879,0.0014047
5s.4d,3D,1.0,3.0,2.251434,5s.6p,3P*,0.0,1.0,4.197298,1.945864,637.16792,18000000.0,0.036519,0.10956,0.00096921
5s.4d,3D,1.0,3.0,2.251434,5s.6p,3P*,1.0,3.0,4.199136,1.947702,636.56654,3700000.0,0.022478,0.067433,0.00059655
5s.4d,3D,1.0,3.0,2.251434,5s.6p,1P*,1.0,3.0,4.227663,1.976229,627.37759,14000.0,8.2612e-05,0.00024784,2.1925e-06
5s.4d,3D,1.0,3.0,2.251434,4d.5p,3D*,1.0,3.0,4.496182,2.244748,552.33022,63000000.0,0.28814,0.86441,0.0076471
5s.4d,3D,1.0,3.0,2.251434,4d.5p,3D*,2.0,5.0,4.510762,2.259328,548.76592,15300000.0,0.11513,0.34538,0.0030554
5s.4d,3D,1.0,3.0,2.251434,4d.5p,3P*,1.0,3.0,4.624949,2.373515,522.3653,34000000.0,0.13909,0.41726,0.0036914
5s.4d,3D,1.0,3.0,2.251434,4d.5p,3P*,2.0,5.0,4.629147,2.377713,521.44301,1900000.0,0.012908,0.038725,0.00034259
5s.4d,3D,1.0,3.0,2.251434,5s.4f,3F*,2.0,5.0,4.80444,2.553006,485.6401,26300000.0,0.15499,0.46496,0.0041133
5s.4d,3D,2.0,5.0,2.258841,4d.5p,3F*,2.0,5.0,4.124564,1.865723,664.53715,4400000.0,0.029131,0.14565,0.00077313
5s.4d,3D,2.0,5.0,2.258841,4d.5p,3F*,3.0,7.0,4.164593,1.905752,650.57894,20000000.0,0.17767,0.88836,0.0047154
5s.4d,3D,2.0,5.0,2.258841,5s.6p,3P*,1.0,3.0,4.199136,1.940295,638.99671,14000000.0,0.05142,0.2571,0.0013647
5s.4d,3D,2.0,5.0,2.258841,5s.6p,3P*,2.0,5.0,4.212123,1.953282,634.7481,2100000.0,0.012685,0.063424,0.00033665
5s.4d,3D,2.0,5.0,2.258841,4d.5p,3D*,1.0,3.0,4.496182,2.23734,554.15885,28400000.0,0.078451,0.39225,0.0020821
5s.4d,3D,2.0,5.0,2.258841,4d.5p,3D*,2.0,5.0,4.510762,2.25192,550.57099,54000000.0,0.2454,1.227,0.006513
5s.4d,3D,2.0,5.0,2.258841,4d.5p,3D*,3.0,7.0,4.532799,2.273958,545.23522,14700000.0,0.091722,0.45861,0.0024343
5s.4d,3D,2.0,5.0,2.258841,4d.5p,3P*,1.0,3.0,4.624949,2.366108,524.00061,73000000.0,0.1803,0.9015,0.0047852
5s.4d,3D,2.0,5.0,2.258841,4d.5p,3P*,2.0,5.0,4.629147,2.370306,523.07254,22700000.0,0.093113,0.46556,0.0024712
5s.4d,3D,2.0,5.0,2.258841,5s.4f,3F*,2.0,5.0,4.80444,2.545599,487.05323,7500000.0,0.026673,0.13337,0.0007079
5s.4d,3D,2.0,5.0,2.258841,5s.4f,3F*,3.0,7.0,4.804686,2.545845,487.00604,34000000.0,0.16925,0.84626,0.004492
5s.4d,3D,3.0,7.0,2.271299,4d.5p,3F*,3.0,7.0,4.164593,1.893294,654.85965,3800000.0,0.024431,0.17102,0.0006484
5s.4d,3D,3.0,7.0,2.271299,4d.5p,1D*,2.0,5.0,4.194001,1.922702,644.84352,1500000.0,0.0066793,0.046755,0.00017727
5s.4d,3D,3.0,7.0,2.271299,4d.5p,3F*,4.0,9.0,4.205459,1.93416,641.02342,24000000.0,0.19009,1.3306,0.005045
5s.4d,3D,3.0,7.0,2.271299,5s.6p,3P*,2.0,5.0,4.212123,1.940824,638.82237,11000000.0,0.048071,0.3365,0.0012758
5s.4d,3D,3.0,7.0,2.271299,4d.5p,3D*,2.0,5.0,4.510762,2.239463,553.63368,22700000.0,0.074508,0.52156,0.0019774
5s.4d,3D,3.0,7.0,2.271299,4d.5p,3D*,3.0,7.0,4.532799,2.2615,548.23868,79000000.0,0.35598,2.4919,0.0094477
5s.4d,3D,3.0,7.0,2.271299,4d.5p,3P*,2.0,5.0,4.629147,2.357848,525.83618,81000000.0,0.23984,1.6789,0.0063653
5s.4d,3D,3.0,7.0,2.271299,5s.4f,3F*,3.0,7.0,4.804686,2.533388,489.40083,4300000.0,0.01544,0.10808,0.00040979
5s.4d,3D,3.0,7.0,2.271299,5s.4f,3F*,4.0,9.0,4.805029,2.53373,489.33461,38000000.0,0.17539,1.2277,0.0046548
5s.4d,1D,2.0,5.0,2.498242,4d.5p,3F*,2.0,5.0,4.124564,1.626321,762.35975,7800000.0,0.067963,0.33982,0.0018037
5s.4d,1D,2.0,5.0,2.498242,4d.5p,3F*,3.0,7.0,4.164593,1.666351,744.04629,500000.0,0.0058098,0.029049,0.00015419
5s.4d,1D,2.0,5.0,2.498242,4d.5p,1D*,2.0,5.0,4.194001,1.695759,731.14302,39000000.0,0.31256,1.5628,0.0082953
5s.4d,1D,2.0,5.0,2.498242,5s.6p,3P*,1.0,3.0,4.199136,1.700894,728.93565,1600000.0,0.0076473,0.038237,0.00020296
5s.4d,1D,2.0,5.0,2.498242,5s.6p,3P*,2.0,5.0,4.212123,1.713881,723.41207,6000000.0,0.047074,0.23537,0.0012493
5s.4d,1D,2.0,5.0,2.498242,5s.6p,1P*,1.0,3.0,4.227663,1.729421,716.91169,9400000.0,0.043458,0.21729,0.0011534
5s.4d,1D,2.0,5.0,2.498242,4d.5p,3P*,2.0,5.0,4.629147,2.130905,581.83828,300000.0,0.0015226,0.007613,4.041e-05
5s.4d,1D,2.0,5.0,2.498242,4d.5p,1F*,3.0,7.0,4.712359,2.214117,559.97133,300000.0,0.0019744,0.0098721,5.2401e-05
5s.4d,1D,2.0,5.0,2.498242,5s.7p,1P*,1.0,3.0,4.823836,2.325593,533.12937,17000000.0,0.043464,0.21732,0.0011535
5s.4d,1D,2.0,5.0,2.498242,5s.4f,1F*,3.0,7.0,4.902213,2.40397,515.74763,27000000.0,0.15074,0.7537,0.0040006
5s.4d,1D,2.0,5.0,2.498242,4d.5p,1P*,1.0,3.0,5.104684,2.606442,475.68378,21000000.0,0.042743,0.21372,0.0011344
5s.4d,1D,2.0,5.0,2.498242,5s.5f,1F*,3.0,7.0,5.147705,2.649463,467.95982,19000000.0,0.087329,0.43664,0.0023177
5s.4d,1D,2.0,5.0,2.498242,5s.8p,1P*,1.0,3.0,5.264634,2.766391,448.18025,19000000.0,0.03433,0.17165,0.00091111
5s.4d,1D,2.0,5.0,2.498242,5s.6f,1F*,3.0,7.0,5.311432,2.81319,440.72466,12000000.0,0.048922,0.24461,0.0012984
5s.4d,1D,2.0,5.0,2.498242,5s.9p,1P*,1.0,3.0,5.371992,2.873749,431.43704,13000000.0,0.021767,0.10883,0.00057768
5s.4d,1D,2.0,5.0,2.498242,5s.7f,1F*,3.0,7.0,5.412681,2.914439,425.41367,7700000.0,0.029248,0.14624,0.00077625
5s.5p,1P*,1.0,3.0,2.690265,5s.5d,1D,2.0,5.0,4.305655,1.61539,767.51891,6600000.0,0.097147,0.29144,0.0025783
