Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""3d2.4s2""","=""a 3F""","=""2""",5,"=""""","=""0.00000000""","=""""","=""0.00000025""","="" 100                                            ""","=""L17885"""
"=""3d2.4s2""","=""a 3F""","=""3""",7,"=""""","=""0.02109378""","=""""","=""0.00000024""","="" 100                                            ""","=""L17885"""
"=""3d2.4s2""","=""a 3F""","=""4""",9,"=""""","=""0.04796626""","=""""","=""0.00000025""","="" 100                                            ""","=""L17885"""
"=""3d3.(4F).4s""","=""a 5F""","=""1""",3,"=""""","=""0.8129437""","=""""","=""0.0000004""","="" 100                                            ""","=""L17885"""
"=""3d3.(4F).4s""","=""a 5F""","=""2""",5,"=""""","=""0.8181426""","=""""","=""0.0000004""","="" 100                                            ""","=""L17885"""
"=""3d3.(4F).4s""","=""a 5F""","=""3""",7,"=""""","=""0.82585949""","=""""","=""0.00000025""","="" 100                                            ""","=""L17885"""
"=""3d3.(4F).4s""","=""a 5F""","=""4""",9,"=""""","=""0.83599520""","=""""","=""0.00000025""","="" 100                                            ""","=""L17885"""
"=""3d3.(4F).4s""","=""a 5F""","=""5""",11,"=""""","=""0.8484192""","=""""","=""0.0000004""","="" 100                                            ""","=""L17885"""
"=""3d2.4s2""","=""a 1D""","=""2""",5,"=""""","=""0.8995494""","=""""","=""0.0000004""","=""  96                                            ""","=""L17885"""
"=""3d2.4s2""","=""a 3P""","=""0""",1,"=""""","=""1.0460073""","=""""","=""0.0000005""","=""  92         :     7  3d3.(2P).4s          3P   ""","=""L17885"""
"=""3d2.4s2""","=""a 3P""","=""1""",3,"=""""","=""1.05292613""","=""""","=""0.00000025""","=""  92         :     7  3d3.(2P).4s          3P   ""","=""L17885"""
"=""3d2.4s2""","=""a 3P""","=""2""",5,"=""""","=""1.06655474""","=""""","=""0.00000024""","=""  90         :     7  3d3.(2P).4s          3P   ""","=""L17885"""
"=""3d3.(4F).4s""","=""b 3F""","=""2""",5,"=""""","=""1.42975614""","=""""","=""0.00000025""","="" 100                                            ""","=""L17885"""
"=""3d3.(4F).4s""","=""b 3F""","=""3""",7,"=""""","=""1.44315262""","=""""","=""0.00000024""","="" 100                                            ""","=""L17885"""
"=""3d3.(4F).4s""","=""b 3F""","=""4""",9,"=""""","=""1.46013860""","=""""","=""0.00000025""","=""  98                                            ""","=""L17885"""
"=""3d2.4s2""","=""a 1G""","=""4""",9,"=""""","=""1.5024892""","=""""","=""0.0000004""","=""  90         :     8  3d3.(2G).4s          1G   ""","=""L17885"""
"=""3d3.(4P).4s""","=""a 5P""","=""1""",3,"=""""","=""1.7335189""","=""""","=""0.0000004""","="" 100                                            ""","=""L17885"""
"=""3d3.(4P).4s""","=""a 5P""","=""2""",5,"=""""","=""1.7393044""","=""""","=""0.0000004""","="" 100                                            ""","=""L17885"""
"=""3d3.(4P).4s""","=""a 5P""","=""3""",7,"=""""","=""1.7488757""","=""""","=""0.0000004""","="" 100                                            ""","=""L17885"""
"=""3d3.(2G).4s""","=""a 3G""","=""3""",7,"=""""","=""1.87316703""","=""""","=""0.00000025""","="" 100                                            ""","=""L17885"""
"=""3d3.(2G).4s""","=""a 3G""","=""4""",9,"=""""","=""1.87920395""","=""""","=""0.00000025""","="" 100                                            ""","=""L17885"""
"=""3d3.(2G).4s""","=""a 3G""","=""5""",11,"=""""","=""1.8870882""","=""""","=""0.0000004""","="" 100                                            ""","=""L17885"""
"=""3d2.(3F).4s.4p.(3P*)""","=""z 5G*""","=""2""",5,"=""""","=""1.9685072""","=""""","=""0.0000004""","="" 100                                            ""","=""L17885"""
"=""3d2.(3F).4s.4p.(3P*)""","=""z 5G*""","=""3""",7,"=""""","=""1.9807258""","=""""","=""0.0000004""","="" 100                                            ""","=""L17885"""
"=""3d2.(3F).4s.4p.(3P*)""","=""z 5G*""","=""4""",9,"=""""","=""1.9968989""","=""""","=""0.0000004""","="" 100                                            ""","=""L17885"""
"=""3d2.(3F).4s.4p.(3P*)""","=""z 5G*""","=""5""",11,"=""""","=""2.0169105""","=""""","=""0.0000004""","="" 100                                            ""","=""L17885"""
"=""3d2.(3F).4s.4p.(3P*)""","=""z 5G*""","=""6""",13,"=""""","=""2.0406151""","=""""","=""0.0000005""","="" 100                                            ""","=""L17885"""
"=""3d2.(3F).4s.4p.(3P*)""","=""z 5F*""","=""1""",3,"=""""","=""2.0850621""","=""""","=""0.0000004""","=""  96                                            ""","=""L17885"""
"=""3d2.(3F).4s.4p.(3P*)""","=""z 5F*""","=""2""",5,"=""""","=""2.0922487""","=""""","=""0.0000004""","=""  95                                            ""","=""L17885"""
"=""3d2.(3F).4s.4p.(3P*)""","=""z 5F*""","=""3""",7,"=""""","=""2.1029508""","=""""","=""0.0000004""","=""  97                                            ""","=""L17885"""
"=""3d2.(3F).4s.4p.(3P*)""","=""z 5F*""","=""4""",9,"=""""","=""2.1170622""","=""""","=""0.0000004""","=""  98                                            ""","=""L17885"""
"=""3d2.(3F).4s.4p.(3P*)""","=""z 5F*""","=""5""",11,"=""""","=""2.1344363""","=""""","=""0.0000004""","=""  99                                            ""","=""L17885"""
"=""3d3.(2D2).4s""","=""a 3D""","=""1""",3,"=""""","=""2.1535471""","=""""","=""0.0000004""","=""  67         :    30  3d3.(2D1).4s         3D   ""","=""L17885"""
"=""3d3.(2D2).4s""","=""a 3D""","=""2""",5,"=""""","=""2.16028282""","=""""","=""0.00000025""","=""  67         :    30  3d3.(2D1).4s         3D   ""","=""L17885"""
"=""3d3.(2D2).4s""","=""a 3D""","=""3""",7,"=""""","=""2.17470615""","=""""","=""0.00000025""","=""  67         :    30  3d3.(2D1).4s         3D   ""","=""L17885"""
"=""3d3.(2P).4s""","=""b 3P""","=""0""",1,"=""""","=""2.2311560""","=""""","=""0.0000005""","=""  86         :     7  3d2.4s2              3P   ""","=""L17885"""
"=""3d3.(2P).4s""","=""b 3P""","=""1""",3,"=""""","=""2.23932659""","=""""","=""0.00000025""","=""  87         :     7  3d2.4s2              3P   ""","=""L17885"""
"=""3d3.(2P).4s""","=""b 3P""","=""2""",5,"=""""","=""2.24972874""","=""""","=""0.00000025""","=""  87         :     7  3d2.4s2              3P   ""","=""L17885"""
"=""3d3.(2H).4s""","=""a 3H""","=""4""",9,"=""""","=""2.2363294""","=""""","=""0.0000004""","=""  52         :    44  3d3.(2G).4s          1G   ""","=""L17885"""
"=""3d3.(2H).4s""","=""a 3H""","=""5""",11,"=""""","=""2.2492302""","=""""","=""0.0000005""","="" 100                                            ""","=""L17885"""
"=""3d3.(2H).4s""","=""a 3H""","=""6""",13,"=""""","=""2.2555912""","=""""","=""0.0000005""","="" 100                                            ""","=""L17885"""
"=""3d3.(2G).4s""","=""b 1G""","=""4""",9,"=""""","=""2.2673677""","=""""","=""0.0000004""","=""  48         :    48  3d3.(2H).4s          3H   ""","=""L17885"""
"=""3d2.(3F).4s.4p.(3P*)""","=""z 5D*""","=""0""",1,"=""""","=""2.2890858""","=""""","=""0.0000009""","=""  95                                            ""","=""L17885"""
"=""3d2.(3F).4s.4p.(3P*)""","=""z 5D*""","=""1""",3,"=""""","=""2.2915719""","=""""","=""0.0000005""","=""  95                                            ""","=""L17885"""
"=""3d2.(3F).4s.4p.(3P*)""","=""z 5D*""","=""2""",5,"=""""","=""2.2968146""","=""""","=""0.0000004""","=""  94                                            ""","=""L17885"""
"=""3d2.(3F).4s.4p.(3P*)""","=""z 5D*""","=""3""",7,"=""""","=""2.3053556""","=""""","=""0.0000004""","=""  95                                            ""","=""L17885"""
"=""3d2.(3F).4s.4p.(3P*)""","=""z 5D*""","=""4""",9,"=""""","=""2.3179012""","=""""","=""0.0000004""","=""  95                                            ""","=""L17885"""
"=""3d3.(4P).4s""","=""c 3P""","=""0""",1,"=""""","=""2.3331469""","=""""","=""0.0000005""","=""  94         :     5  3d3.(2P).4s          3P   ""","=""L17885"""
"=""3d3.(4P).4s""","=""c 3P""","=""1""",3,"=""""","=""2.3340995""","=""""","=""0.0000004""","=""  94                                            ""","=""L17885"""
"=""3d3.(4P).4s""","=""c 3P""","=""2""",5,"=""""","=""2.3447140""","=""""","=""0.0000004""","=""  98                                            ""","=""L17885"""
