Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""3d2.(3F).4s""","=""a 4F""","=""3/2""",4,"=""""","=""0.00000000""","=""""","=""0.00000007""","="" 100                                            ""","=""L17885"""
"=""3d2.(3F).4s""","=""a 4F""","=""5/2""",6,"=""""","=""0.01166867""","=""""","=""0.00000015""","="" 100                                            ""","=""L17885"""
"=""3d2.(3F).4s""","=""a 4F""","=""7/2""",8,"=""""","=""0.02798372""","=""""","=""0.00000007""","="" 100                                            ""","=""L17885"""
"=""3d2.(3F).4s""","=""a 4F""","=""9/2""",10,"=""""","=""0.04878107""","=""""","=""0.00000009""","="" 100                                            ""","=""L17885"""
"=""3d3""","=""b 4F""","=""3/2""",4,"=""""","=""0.11257359""","=""""","=""0.00000010""","="" 100                                            ""","=""L17885"""
"=""3d3""","=""b 4F""","=""5/2""",6,"=""""","=""0.12199000""","=""""","=""0.00000007""","="" 100                                            ""","=""L17885"""
"=""3d3""","=""b 4F""","=""7/2""",8,"=""""","=""0.13481497""","=""""","=""0.00000007""","="" 100                                            ""","=""L17885"""
"=""3d3""","=""b 4F""","=""9/2""",10,"=""""","=""0.15074407""","=""""","=""0.00000009""","="" 100                                            ""","=""L17885"""
"=""3d2.(3F).4s""","=""a 2F""","=""5/2""",6,"=""""","=""0.57388034""","=""""","=""0.00000021""","=""  99                                            ""","=""L17885"""
"=""3d2.(3F).4s""","=""a 2F""","=""7/2""",8,"=""""","=""0.60723963""","=""""","=""0.00000007""","=""  99                                            ""","=""L17885"""
"=""3d2.(1D).4s""","=""a 2D""","=""3/2""",4,"=""""","=""1.07997273""","=""""","=""0.00000009""","=""  72         :    17  3d3                 b 2D2 ""","=""L17885"""
"=""3d2.(1D).4s""","=""a 2D""","=""5/2""",6,"=""""","=""1.08416006""","=""""","=""0.00000009""","=""  74         :    16  3d3                 b 2D2 ""","=""L17885"""
"=""3d3""","=""a 2G""","=""7/2""",8,"=""""","=""1.11558346""","=""""","=""0.00000011""","=""  96                                            ""","=""L17885"""
"=""3d3""","=""a 2G""","=""9/2""",10,"=""""","=""1.13052324""","=""""","=""0.00000014""","=""  96                                            ""","=""L17885"""
"=""3d3""","=""a 4P""","=""1/2""",2,"=""""","=""1.16095611""","=""""","=""0.00000015""","=""  96                                            ""","=""L17885"""
"=""3d3""","=""a 4P""","=""3/2""",4,"=""""","=""1.16493098""","=""""","=""0.00000020""","=""  93                                            ""","=""L17885"""
"=""3d3""","=""a 4P""","=""5/2""",6,"=""""","=""1.18010040""","=""""","=""0.00000014""","="" 100                                            ""","=""L17885"""
"=""3d3""","=""a 2P""","=""1/2""",2,"=""""","=""1.22137014""","=""""","=""0.00000012""","=""  62         :    24  3d2.(3P).4s         b 2P  ""","=""L17885"""
