obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""122.948""","=""""","=""122.948070""","=""0.000005""","=""0:""","=""""",,"=""0.12199000""","=""10.2062637""","=""3d3""","=""b 4F""","=""5/2""","=""3d2.(3F).4f""","=""2D*""","=""5/2""",6,6,,"=""""","=""L5432""",
"=""123.202""","=""""","=""123.201952""","=""0.000003""","=""0:""","=""""",,"=""0.12199000""","=""10.18548304""","=""3d3""","=""b 4F""","=""5/2""","=""3d2.(3F).4f""","=""2F*""","=""7/2""",6,8,,"=""""","=""L5432""",
"=""123.304""","=""""","=""123.303558""","=""0.000003""","=""2:""","=""""",,"=""0.15074407""","=""10.20594446""","=""3d3""","=""b 4F""","=""9/2""","=""3d2.(3P).5p""","=""4D*""","=""7/2""",10,8,,"=""""","=""L5432""",
"=""123.322""","=""""","=""123.321231""","=""0.000008""","=""0:""","=""""",,"=""0.11257359""","=""10.1663329""","=""3d3""","=""b 4F""","=""3/2""","=""3d2.(3F).4f""","=""2F*""","=""5/2""",4,6,,"=""""","=""L5432""",
"=""123.359""","=""""","=""123.359161""","=""0.000003""","=""2:""","=""""",,"=""0.13481497""","=""10.18548304""","=""3d3""","=""b 4F""","=""7/2""","=""3d2.(3F).4f""","=""2F*""","=""7/2""",8,8,,"=""""","=""L5432""",
"=""123.386""","=""""","=""123.385500""","=""0.000003""","=""1:""","=""""",,"=""0.13481497""","=""10.18333756""","=""3d3""","=""b 4F""","=""7/2""","=""3d2.(3F).4f""","=""4D*""","=""7/2""",8,8,,"=""""","=""L5432""",
"=""123.437""","=""""","=""123.436843""","=""0.000008""","=""2:""","=""""",,"=""0.12199000""","=""10.1663329""","=""3d3""","=""b 4F""","=""5/2""","=""3d2.(3F).4f""","=""2F*""","=""5/2""",6,6,,"=""""","=""L5432""",
"=""123.470""","=""""","=""123.470197""","=""0.000005""","=""4:""","=""""",,"=""0.13481497""","=""10.1764446""","=""3d3""","=""b 4F""","=""7/2""","=""3d2.(3F).4f""","=""4G*""","=""9/2""",8,10,,"=""""","=""L5432""",
"=""123.506""","=""""","=""123.506134""","=""0.000003""","=""1:""","=""""",,"=""0.15074407""","=""10.18945178""","=""3d3""","=""b 4F""","=""9/2""","=""3d2.(3F).4f""","=""2H*""","=""11/2""",10,12,,"=""""","=""L5432""",
"=""123.518""","=""""","=""123.517926""","=""0.000005""","=""1:*""","=""""",,"=""0.11257359""","=""10.1503230""","=""3d3""","=""b 4F""","=""3/2""","=""3d2.(3F).4f""","=""4F*""","=""3/2""",4,4,,"=""""","=""L5432""",
