conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
3p6.3d2,3F,2.0,5.0,0.0,3p6.3d2,3F,3.0,7.0,0.02292,0.02292,54094.3274,0.00016,9.8268e-09,4.9134e-08,2.608e-10
3p6.3d2,3F,2.0,5.0,0.0,3p6.3d2,1D,2.0,5.0,1.05058,1.05058,1180.15,0.0054,1.1275e-10,5.6376e-10,2.9925e-12
3p6.3d2,3F,2.0,5.0,0.0,3p6.3d2,3P,0.0,1.0,1.3066,1.3066,948.90707,0.034,9.1794e-11,4.5897e-10,2.4362e-12
3p6.3d2,3F,2.0,5.0,0.0,3p6.3d2,3P,1.0,3.0,1.31468,1.31468,943.07511,0.012,9.6003e-11,4.8001e-10,2.5479e-12
3p6.3d2,3F,2.0,5.0,0.0,3p6.3d2,3P,2.0,5.0,1.32926,1.32926,932.73098,1.2e-05,1.5651e-13,7.8257e-13,4.1539e-15
3p6.3d2,3F,2.0,5.0,0.0,3p6.3d2,3P,2.0,5.0,1.32926,1.32926,932.73098,0.0011,1.4347e-11,7.1736e-11,3.8077e-13
3p6.3d2,3F,2.0,5.0,0.0,3p6.3d2,1G,4.0,9.0,1.78507,1.78507,694.56211,1.6e-05,2.0829e-13,1.0415e-12,5.5281e-15
3p6.3d2,3F,2.0,5.0,0.0,3p6.3d2,1S,0.0,1.0,4.02645,4.02645,307.92435,0.0042,1.1941e-12,5.9703e-12,3.169e-14
3p6.3d2,3F,2.0,5.0,0.0,3p6.3d.4s,3D,1.0,3.0,4.719378,4.719378,262.71301,35.0,2.1729e-08,1.0865e-07,5.7669e-10
3p6.3d2,3F,2.0,5.0,0.0,3p6.3d.4s,3D,2.0,5.0,4.736066,4.736066,261.78731,15.0,1.5412e-08,7.7058e-08,4.0902e-10
3p6.3d2,3F,2.0,5.0,0.0,3p6.3d.4s,3D,3.0,7.0,4.764216,4.764216,260.24051,1.1,1.5636e-09,7.8181e-09,4.1498e-11
3p6.3d2,3F,2.0,5.0,0.0,3p6.3d.4s,1D,2.0,5.0,5.17067,5.17067,239.78362,0.0051,4.3961e-12,2.1981e-11,1.1667e-13
3p6.3d2,3F,2.0,5.0,0.0,3p6.3d.4p,3F*,2.0,5.0,9.599087,9.599087,129.16249,240000000.0,0.060027,0.30013,0.0015931
3p6.3d2,3F,3.0,7.0,0.02292,3p6.3d2,3F,4.0,9.0,0.05212,0.0292,42460.34192,0.00025,8.6878e-09,6.0815e-08,2.3057e-10
3p6.3d2,3F,3.0,7.0,0.02292,3p6.3d2,1D,2.0,5.0,1.05058,1.02766,1206.471,0.01,1.5587e-10,1.0911e-09,4.1368e-12
3p6.3d2,3F,3.0,7.0,0.02292,3p6.3d2,3P,1.0,3.0,1.31468,1.29176,959.80831,0.021,1.243e-10,8.701e-10,3.2989e-12
3p6.3d2,3F,3.0,7.0,0.02292,3p6.3d2,3P,2.0,5.0,1.32926,1.30634,949.09594,6.8e-05,6.5593e-13,4.5915e-12,1.7409e-14
3p6.3d2,3F,3.0,7.0,0.02292,3p6.3d2,3P,2.0,5.0,1.32926,1.30634,949.09594,0.0068,6.5593e-11,4.5915e-10,1.7409e-12
3p6.3d2,3F,3.0,7.0,0.02292,3p6.3d2,1G,4.0,9.0,1.78507,1.76215,703.59617,0.0043,4.1032e-11,2.8722e-10,1.089e-12
3p6.3d2,3F,3.0,7.0,0.02292,3p6.3d.4s,3D,1.0,3.0,4.719378,4.696458,263.99512,17.0,7.6124e-09,5.3287e-08,2.0203e-10
3p6.3d2,3F,3.0,7.0,0.02292,3p6.3d.4s,3D,2.0,5.0,4.736066,4.713146,263.06038,26.0,1.9267e-08,1.3487e-07,5.1135e-10
3p6.3d2,3F,3.0,7.0,0.02292,3p6.3d.4s,3D,3.0,7.0,4.764216,4.741296,261.49854,12.0,1.2302e-08,8.6115e-08,3.265e-10
3p6.3d2,3F,3.0,7.0,0.02292,3p6.3d.4s,1D,2.0,5.0,5.17067,5.14775,240.85124,0.092,5.715e-11,4.0005e-10,1.5168e-12
