obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""142.32""","=""""","=""1""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L611""",
"=""148.965""","=""""","=""8r""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L611""",
"=""161.6""","=""""","=""5w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L611""",
"=""165.02""","=""""","=""1""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L611""",
"=""168.540""","=""""","=""5""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L611""",
"=""172.8""","=""""","=""1""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L611""",
"=""184.7""","=""""","=""3w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L611""",
"=""200.821""","=""""","=""100r""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L611""",
"=""210.57""","=""""","=""""","=""4.0e+06""",D,"=""""","=""""","=""""","=""""","=""1/2""","=""""","=""""","=""3/2""",2,4,,"=""T4515""","=""L3428""",
"=""211.98""","=""""","=""""","=""2.0e+06""",D,"=""""","=""""","=""""","=""""","=""1/2""","=""""","=""""","=""1/2""",2,2,,"=""T4515""","=""L3428""",
"=""212.995""","=""""","=""1r""","=""5.8e+06""",D,"=""""","=""""","=""""","=""""","=""1/2""","=""""","=""""","=""3/2""",2,4,,"=""T4515""","=""L7608,L7609""",
"=""215.260""","=""""","=""1r""","=""3.1e+06""",D,"=""""","=""""","=""""","=""""","=""1/2""","=""""","=""""","=""1/2""",2,2,,"=""T4515""","=""L7608,L7609""",
"=""216.927""","=""""","=""4r""","=""9.8e+06""",D,"=""""","=""""","=""""","=""""","=""1/2""","=""""","=""""","=""3/2""",2,4,,"=""T4515""","=""L7608,L7609""",
"=""221.044""","=""""","=""2""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L611""",
"=""221.140""","=""""","=""100r""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L611""",
"=""223.853""","=""""","=""6r""","=""1.9e+07""",D,"=""""","=""""","=""""","=""""","=""1/2""","=""""","=""""","=""3/2""",2,4,,"=""T4515""","=""L3428""",
"=""228.83""","=""""","=""3""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L611""",
"=""231.669""","=""""","=""140""","=""7.8e+06""",D,"=""""","=""""","=""""","=""""","=""1/2""","=""""","=""""","=""1/2""",2,2,,"=""T4515""","=""L3475""",
"=""238.042""","=""238.031+""","=""900w""","=""4.4e+07""",C,"=""0.00000""","=""5.20875""","=""6s2.6p""","=""2P*""","=""1/2""","=""6s2.7d""","=""2D""","=""3/2""",2,4,,"=""T4515""","=""L3475""",
"=""250.870""","=""""","=""1r""","=""1.1e+06""",C,"=""""","=""""","=""""","=""""","=""3/2""","=""""","=""""","=""1/2""",4,2,,"=""T4515""","=""L3428""",
"=""250.90""","=""""","=""1""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L611""",
"=""253.894""","=""""","=""2r""","=""1.6e+06""",C,"=""""","=""""","=""""","=""""","=""3/2""","=""""","=""""","=""1/2""",4,2,,"=""T4515""","=""L3428""",
"=""258.091""","=""258.092+""","=""700""","=""1.8e+07""",D,"=""0.00000""","=""4.80388""","=""6s2.6p""","=""2P*""","=""1/2""","=""6s2.8s""","=""2S""","=""1/2""",2,2,,"=""T4515""","=""L3475""",
"=""260.977""","=""""","=""60""","=""1.0e+07""",C,"=""""","=""""","=""""","=""""","=""3/2""","=""""","=""""","=""5/2""",4,6,,"=""T4515""","=""L3475""",
"=""261.055""","=""""","=""4r""","=""1.9e+06""",C,"=""""","=""""","=""""","=""""","=""3/2""","=""""","=""""","=""3/2""",4,4,,"=""T4515""","=""L3428""",
"=""266.636""","=""""","=""80""","=""5.7e+06""",C,"=""""","=""""","=""""","=""""","=""3/2""","=""""","=""""","=""1/2""",4,2,,"=""T4515""","=""L3475""",
"=""271.003""","=""""","=""420""","=""1.7e+07""",C,"=""""","=""""","=""""","=""""","=""3/2""","=""""","=""""","=""5/2""",4,6,,"=""T4515""","=""L3475""",
"=""271.147""","=""""","=""50w""","=""3.7e+06""",C,"=""""","=""""","=""""","=""""","=""3/2""","=""""","=""""","=""3/2""",4,4,,"=""T4515""","=""L3475""",
"=""276.869""","=""276.871+""","=""4400bl""","=""1.26e+08""",C,"=""0.00000""","=""4.47805""","=""6s2.6p""","=""2P*""","=""1/2""","=""6s2.6d""","=""2D""","=""3/2""",2,4,,"=""T4515""","=""L3475""",
"=""282.699""","=""""","=""280""","=""8.0e+06""",C,"=""""","=""""","=""""","=""""","=""3/2""","=""""","=""""","=""1/2""",4,2,,"=""T4515""","=""L3475""",
