spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
Tl I,Tl,0,6s2.6p,2P*,0.5,2,0.0,0.0,odd,,no,6.1082873,,,,,,,,,,L3466
Tl I,Tl,0,6s2.6p,2P*,1.5,4,0.96617,,odd,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s2.7s,2S,0.5,2,3.28279,,even,,no,6.1082873,7.518796992481204e-09,"ASD 1/sum(Aki), J-resolved",7.518796992481204e-09,2/2,yes,2.31662,3.28279,,,
Tl I,Tl,0,6s2.7p,2P*,0.5,2,4.23529,,odd,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s2.7p,2P*,1.5,4,4.35942,,odd,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s2.6d,2D,1.5,4,4.47805,,even,,no,6.1082873,6.756756756756757e-09,"ASD 1/sum(Aki), J-resolved",6.756756756756757e-09,2/2,yes,4.47805,4.47805,,,
Tl I,Tl,0,6s2.6d,2D,2.5,6,4.48822,,even,,no,6.1082873,8.064516129032259e-09,"ASD 1/sum(Aki), J-resolved",8.064516129032259e-09,1/1,yes,3.52205,3.52205,,,
Tl I,Tl,0,6s2.8s,2S,0.5,2,4.80388,,even,,no,6.1082873,2.8328611898017e-08,"ASD 1/sum(Aki), J-resolved",2.8328611898017e-08,2/2,yes,4.80388,4.80388,,,
Tl I,Tl,0,6s2.8p,2P*,0.5,2,5.12899,,odd,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s2.8p,2P*,1.5,4,5.1752,,odd,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s2.7d,2D,1.5,4,5.20875,,even,,no,6.1082873,2.272727272727273e-08,"ASD 1/sum(Aki), J-resolved",2.272727272727273e-08,1/1,yes,5.20875,5.20875,,,
Tl I,Tl,0,6s2.7d,2D,2.5,6,5.21341,,even,,no,6.1082873,2.380952380952381e-08,"ASD 1/sum(Aki), J-resolved",2.380952380952381e-08,1/1,yes,4.24724,4.24724,,,
Tl I,Tl,0,6s2.5f,2F*,,14,5.24681,,odd,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s2.9s,2S,0.5,2,5.35193,,even,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s2.9p,2P*,0.5,2,5.50253,,odd,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s2.9p,2P*,1.5,4,5.52505,,odd,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s2.8d,2D,1.5,4,5.5387,,even,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s2.8d,2D,2.5,6,5.54119,,even,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s2.6f,2F*,,14,5.55741,,odd,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s.6p2,4P,0.5,2,5.6066,,even,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s.6p2,4P,1.5,4,6.174,,even,,yes,6.1082873,,autoionizing - not in any database,,,,,,,,
Tl I,Tl,0,6s.6p2,4P,2.5,6,6.577,,even,,yes,6.1082873,,autoionizing - not in any database,,,,,,,,
Tl I,Tl,0,6s2.10s,2S,0.5,2,5.61609,,even,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s2.10p,2P*,0.5,2,5.69575,,odd,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s2.10p,2P*,1.5,4,5.70868,,odd,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s2.9d,2D,1.5,4,5.71549,,even,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s2.9d,2D,2.5,6,5.71695,,even,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s2.7f,2F*,,14,5.72625,,odd,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s2.11s,2S,0.5,2,5.75992,,even,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s2.11p,2P*,0.5,2,5.80913,,odd,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s2.11p,2P*,1.5,4,5.81698,,odd,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s2.10d,2D,1.5,4,5.82105,,even,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s2.10d,2D,2.5,6,5.82205,,even,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s2.8f,2F*,,14,5.82783,,odd,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s2.12s,2S,0.5,2,5.84944,,even,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s2.12p,2P*,0.5,2,5.88213,,odd,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s2.12p,2P*,1.5,4,5.88645,,odd,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s2.11d,2D,1.5,4,5.88922,,even,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s2.11d,2D,2.5,6,5.88976,,even,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s2.13s,2S,0.5,2,5.90843,,even,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s2.13p,2P*,,6,5.93236,,odd,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s2.12d,2D,,10,5.93587,,even,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s2.14s,2S,0.5,2,5.94916,,even,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s2.14p,2P*,,6,5.96731,,odd,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s2.13d,2D,,10,5.96888,,even,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s2.15s,2S,0.5,2,5.97891,,even,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s2.15p,2P*,,6,5.99231,,odd,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s2.14d,2D,,10,5.99331,,even,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s2.16s,2S,0.5,2,6.00077,,even,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s2.16p,2P*,,6,6.00821,,odd,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s2.15d,2D,,10,6.01182,,even,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s2.17s,2S,0.5,2,6.01755,,even,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s2.16d,2D,,10,6.02613,,even,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s2.18s,2S,0.5,2,6.03047,,even,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s2.17d,2D,,10,6.0376,,even,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s2.19s,2S,0.5,2,6.04128,,even,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s2.18d,2D,,10,6.04677,,even,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s2.20s,2S,0.5,2,6.04996,,even,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s2.19d,2D,,10,6.05397,,even,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s2.20d,2D,,10,6.06012,,even,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s2.21d,2D,,10,6.06538,,even,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s2.22d,2D,,10,6.06998,,even,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s2.23d,2D,,10,6.07384,,even,,no,6.1082873,,,,,,,,,,
Tl I,Tl,0,6s.6p2,2D,1.5,4,7.687,,even,,yes,6.1082873,,autoionizing - not in any database,,,,,,,,
Tl I,Tl,0,6s.6p2,2P,0.5,2,8.326,,even,,yes,6.1082873,,autoionizing - not in any database,,,,,,,,
Tl I,Tl,0,6s.6p.(3P*).7s,2*,,0,9.419,,odd,,yes,6.1082873,,autoionizing - not in any database,,,,,,,,
Tl I,Tl,0,,3*,1.5,4,11.994,,odd,,yes,6.1082873,,autoionizing - not in any database,,,,,,,,
