Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Reference
"=""5d10.6s2""","=""1S""","=""0""",1,"=""""","=""0.000000""","=""""","=""0""","=""L12967"""
"=""5d10.6s.6p""","=""3P*""","=""0""",1,"=""""","=""6.131198""","=""""","=""""","=""L12967"""
"=""5d10.6s.6p""","=""3P*""","=""1""",3,"=""""","=""6.496023""","=""""","=""""","=""L12967"""
"=""5d10.6s.6p""","=""3P*""","=""2""",5,"=""""","=""7.653205""","=""""","=""""","=""L12967"""
"=""5d10.6s.6p""","=""1P*""","=""1""",3,"=""""","=""9.381057""","=""""","=""""","=""L12967"""
"=""5d10.6s.7s""","=""3S""","=""1""",3,"=""""","=""13.046768""","=""""","=""""","=""L12967"""
"=""5d10.6s.7s""","=""1S""","=""0""",1,"=""""","=""13.390288""","=""""","=""""","=""L12967"""
"=""5d9.6s2.6p""","=""1*""","=""2""",5,"=""""","=""13.6862""","=""""","=""""","=""L3466"""
"=""5d10.6s.6d""","=""1D""","=""2""",5,"=""""","=""14.278715""","=""""","=""""","=""L12967"""
"=""5d10.6s.6d""","=""3D""","=""1""",3,"=""""","=""14.401013""","=""""","=""""","=""L12967"""
"=""5d10.6s.6d""","=""3D""","=""2""",5,"=""""","=""14.436244""","=""""","=""""","=""L12967"""
"=""5d10.6s.6d""","=""3D""","=""3""",7,"=""""","=""14.485185""","=""""","=""""","=""L12967"""
"=""5d10.6p2""","=""3P""","=""0""",1,"=""""","=""14.5567""","=""""","=""""","=""L3466"""
"=""5d10.6p2""","=""3P""","=""1""",3,"=""""","=""15.5399""","=""""","=""""","=""L3466"""
"=""5d10.6p2""","=""3P""","=""2""",5,"=""""","=""15.9713""","=""""","=""""","=""L3466"""
"=""5d10.6s.7p""","=""3P*""","=""0""",1,"=""""","=""14.7989""","=""""","=""""","=""L3466"""
"=""5d10.6s.7p""","=""3P*""","=""1""",3,"=""""","=""14.8255""","=""""","=""""","=""L3466"""
"=""5d10.6s.7p""","=""3P*""","=""2""",5,"=""""","=""15.1297""","=""""","=""""","=""L3466"""
"=""5d10.6s.7p""","=""1P*""","=""1""",3,"=""""","=""15.1731""","=""""","=""""","=""L3466"""
"=""5d9.6s2.6p""","=""4*""","=""2""",5,"=""""","=""15.5522""","=""""","=""""","=""L3466"""
"=""5d9.6s2.6p""","=""5*""","=""1""",3,"=""""","=""15.6473""","=""""","=""""","=""L3466"""
"=""5d9.6s2.6p""","=""6*""","=""3""",7,"=""""","=""15.9522""","=""""","=""""","=""L3466"""
"=""5d9.6s2.6p""","=""7*""","=""2""",5,"=""""","=""16.0136""","=""""","=""""","=""L3466"""
"=""5d10.6s.8s""","=""3S""","=""1""",3,"=""""","=""16.5603""","=""""","=""""","=""L3466"""
"=""5d10.6s.8s""","=""1S""","=""0""",1,"=""""","=""16.6501""","=""""","=""""","=""L3466"""
"=""5d9.6s2.6p""","=""8*""","=""1""",3,"=""""","=""16.6588""","=""""","=""""","=""L3466"""
"=""5d10.6s.5f""","=""3F*""","=""3""",7,"=""""","=""16.8761""","=""""","=""""","=""L3466"""
"=""5d10.6s.5f""","=""3F*""","=""2""",5,"=""""","=""16.8886""","=""""","=""""","=""L3466"""
"=""5d10.6s.5f""","=""3F*""","=""4""",9,"=""""","=""16.8904""","=""""","=""""","=""L3466"""
"=""5d10.6s.5f""","=""1F*""","=""3""",7,"=""""","=""16.8945""","=""""","=""""","=""L3466"""
"=""5d10.6s.7d""","=""1D""","=""2""",5,"=""""","=""16.9723""","=""""","=""""","=""L3466"""
"=""5d10.6s.7d""","=""3D""","=""1""",3,"=""""","=""17.1008""","=""""","=""""","=""L3466"""
"=""5d10.6s.7d""","=""3D""","=""2""",5,"=""""","=""17.1164""","=""""","=""""","=""L3466"""
"=""5d10.6s.7d""","=""3D""","=""3""",7,"=""""","=""17.1350""","=""""","=""""","=""L3466"""
"=""5d10.6s.8p""","=""3P*""","=""0""",1,"=""""","=""""","=""""","=""""","=""L3466"""
"=""5d10.6s.8p""","=""3P*""","=""1""",3,"=""""","=""17.2791""","=""""","=""""","=""L3466"""
"=""5d10.6s.8p""","=""3P*""","=""2""",5,"=""""","=""17.3955""","=""""","=""""","=""L3466"""
"=""5d10.6s.8p""","=""1P*""","=""1""",3,"=""""","=""17.4818""","=""""","=""""","=""L3466"""
"=""5d10.6p2""","=""1D""","=""2""",5,"=""""","=""17.6035""","=""""","=""""","=""L3466"""
"=""5d9.6s2.6p""","=""10*""","=""3""",7,"=""""","=""17.7026""","=""""","=""""","=""L3466"""
"=""5d9.6s2.6p""","=""11*""","=""1""",3,"=""""","=""17.8056""","=""""","=""""","=""L3466"""
"=""5d9.6s2.6p""","=""12*""","=""2""",5,"=""""","=""17.9891""","=""""","=""""","=""L3466"""
"=""5d10.6s.9s""","=""3S""","=""1""",3,"=""""","=""18.0292""","=""""","=""""","=""L3466"""
"=""5d10.6s.9s""","=""1S""","=""0""",1,"=""""","=""18.0510""","=""""","=""""","=""L3466"""
"=""5d10.6s.6f""","=""3F*""","=""4""",9,"=""""","=""18.1637""","=""""","=""""","=""L3466"""
"=""5d10.6s.6f""","=""3F*""","=""2""",5,"=""""","=""18.1665""","=""""","=""""","=""L3466"""
"=""5d10.6s.6f""","=""3F*""","=""3""",7,"=""""","=""18.1679""","=""""","=""""","=""L3466"""
"=""5d10.6s.6f""","=""1F*""","=""3""",7,"=""""","=""18.1690""","=""""","=""""","=""L3466"""
"=""5d10.6s.5g""","=""1,3G""","=""3,4,5""",27,"=""""","=""18.2337""","=""""","=""""","=""L3466"""
"=""5d10.6s.8d""","=""3D""","=""1""",3,"=""""","=""18.3003""","=""""","=""""","=""L3466"""
"=""5d10.6s.8d""","=""3D""","=""2""",5,"=""""","=""18.3065""","=""""","=""""","=""L3466"""
"=""5d10.6s.8d""","=""3D""","=""3""",7,"=""""","=""18.3183""","=""""","=""""","=""L3466"""
"=""5d10.6s.9p""","=""3P*""","=""0""",1,"=""""","=""""","=""""","=""""","=""L3466"""
"=""5d10.6s.9p""","=""3P*""","=""1""",3,"=""""","=""18.3929""","=""""","=""""","=""L3466"""
"=""5d10.6s.9p""","=""3P*""","=""2""",5,"=""""","=""18.4519""","=""""","=""""","=""L3466"""
"=""5d10.6s.8d""","=""1D""","=""2""",5,"=""""","=""18.4073""","=""""","=""""","=""L3466"""
"=""5d10.6s.9p""","=""1P*""","=""1""",3,"=""""","=""18.4815""","=""""","=""""","=""L3466"""
"=""5d10.6s.10s""","=""3S""","=""1""",3,"=""""","=""18.7920""","=""""","=""""","=""L3466"""
"=""5d10.6s.7f""","=""3F*""","=""2""",5,"=""""","=""18.8585""","=""""","=""""","=""L3466"""
"=""5d10.6s.7f""","=""3F*""","=""3,4""",16,"=""""","=""18.8592""","=""""","=""""","=""L3466"""
"=""5d10.6s.7f""","=""1F*""","=""3""",7,"=""""","=""18.8630""","=""""","=""""","=""L3466"""
"=""5d10.6s.6g""","=""1,3G""","=""3,4,5""",27,"=""""","=""18.9039""","=""""","=""""","=""L3466"""
"=""5d10.6s.9d""","=""3D""","=""1""",3,"=""""","=""18.9471""","=""""","=""""","=""L3466"""
"=""5d10.6s.9d""","=""3D""","=""2""",5,"=""""","=""18.9506""","=""""","=""""","=""L3466"""
"=""5d10.6s.9d""","=""3D""","=""3""",7,"=""""","=""18.9579""","=""""","=""""","=""L3466"""
"=""5d10.6s.9d""","=""1D""","=""2""",5,"=""""","=""18.9944""","=""""","=""""","=""L3466"""
"=""5d10.6s.10p""","=""3P*""","=""1""",3,"=""""","=""""","=""""","=""""","=""L3466"""
"=""5d10.6s.10p""","=""3P*""","=""0""",1,"=""""","=""""","=""""","=""""","=""L3466"""
"=""5d10.6s.10p""","=""3P*""","=""2""",5,"=""""","=""19.0353""","=""?""","=""""","=""L3466"""
"=""5d10.6s.10p""","=""1P*""","=""1""",3,"=""""","=""19.0481""","=""?""","=""""","=""L3466"""
"=""5d10.6s.11s""","=""3S""","=""1""",3,"=""""","=""19.2400""","=""""","=""""","=""L3466"""
"=""5d10.6s.10d""","=""3D""","=""1""",3,"=""""","=""19.3369""","=""""","=""""","=""L3466"""
"=""5d10.6s.10d""","=""3D""","=""2""",5,"=""""","=""19.3393""","=""""","=""""","=""L3466"""
"=""5d10.6s.10d""","=""3D""","=""3""",7,"=""""","=""19.3438""","=""""","=""""","=""L3466"""
"=""5d10.6s.10d""","=""1D""","=""2""",5,"=""""","=""19.3635""","=""""","=""""","=""L3466"""
"=""5d10.6s.11p""","=""1P*""","=""1""",3,"=""""","=""19.4004""","=""?""","=""""","=""L3466"""
"=""5d10.6s.12s""","=""3S""","=""1""",3,"=""""","=""19.5252""","=""""","=""""","=""L3466"""
