Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""3d3.4s2""","=""a 4F""","=""3/2""",4,"=""""","=""0.00000000""","=""""","=""0.00000025""","=""  92         :     5  3d3.(4F).4p2.(1S)     4F   ""","=""L20010,L193"""
"=""3d3.4s2""","=""a 4F""","=""5/2""",6,"=""""","=""0.01703332""","=""""","=""0.00000017""","=""  94         :     5  3d3.(4F).4p2.(1S)     4F   ""","=""L15916,L20010,L193"""
"=""3d3.4s2""","=""a 4F""","=""7/2""",8,"=""""","=""0.04010046""","=""""","=""0.00000016""","=""  92         :     5  3d3.(4F).4p2.(1S)     4F   ""","=""L15916,L20010,L193"""
"=""3d3.4s2""","=""a 4F""","=""9/2""",10,"=""""","=""0.06855768""","=""""","=""0.00000025""","=""  94         :     5  3d3.(4F).4p2.(1S)     4F   ""","=""L15916,L20010,L193"""
"=""3d4.(5D).4s""","=""a 6D""","=""1/2""",2,"=""""","=""0.26188959""","=""""","=""0.00000025""","=""  98                                             ""","=""L15916,L20010,L193"""
"=""3d4.(5D).4s""","=""a 6D""","=""3/2""",4,"=""""","=""0.26696538""","=""""","=""0.00000025""","=""  98                                             ""","=""L15916,L20010,L193"""
"=""3d4.(5D).4s""","=""a 6D""","=""5/2""",6,"=""""","=""0.27526426""","=""""","=""0.00000025""","=""  10                                             ""","=""L15916,L20010,L193"""
"=""3d4.(5D).4s""","=""a 6D""","=""7/2""",8,"=""""","=""0.28657323""","=""""","=""0.00000025""","=""  10                                             ""","=""L15916,L20010,L193"""
"=""3d4.(5D).4s""","=""a 6D""","=""9/2""",10,"=""""","=""0.30063800""","=""""","=""0.00000025""","=""  98                                             ""","=""L15916,L20010,L193"""
"=""3d4.(5D).4s""","=""a 4D""","=""1/2""",2,"=""""","=""1.04308018""","=""""","=""0.00000025""","=""  94                                             ""","=""L15916,L20010,L14162"""
"=""3d4.(5D).4s""","=""a 4D""","=""3/2""",4,"=""""","=""1.05091908""","=""""","=""0.00000016""","=""  94                                             ""","=""L15916,L20010,L14162"""
"=""3d4.(5D).4s""","=""a 4D""","=""5/2""",6,"=""""","=""1.06360365""","=""""","=""0.00000017""","=""  94                                             ""","=""L15916,L20010,L14162"""
"=""3d4.(5D).4s""","=""a 4D""","=""7/2""",8,"=""""","=""1.08061491""","=""""","=""0.00000025""","=""  94                                             ""","=""L15916,L20010,L14162"""
"=""3d3.4s2""","=""a 4P""","=""1/2""",2,"=""""","=""1.18338392""","=""""","=""0.00000025""","=""  77         :    16  3d4.(3P2).4s          4P   ""","=""L15916,L20010,L14162"""
"=""3d3.4s2""","=""a 4P""","=""3/2""",4,"=""""","=""1.19484056""","=""""","=""0.00000025""","=""  76         :    16  3d4.(3P2).4s          4P   ""","=""L15916,L20010,L14162"""
"=""3d3.4s2""","=""a 4P""","=""5/2""",6,"=""""","=""1.21809838""","=""""","=""0.00000025""","=""  79         :    15  3d4.(3P2).4s          4P   ""","=""L15916,L20010,L14162"""
"=""3d3.4s2""","=""a 2G""","=""7/2""",8,"=""""","=""1.3505004""","=""""","=""0.0000004""","=""  92         :     5  3d3.(2G).4p2.(1S)     2G   ""","=""L15916,L20010,L14162"""
"=""3d3.4s2""","=""a 2G""","=""9/2""",10,"=""""","=""1.37629850""","=""""","=""0.00000025""","=""  90         :     5  3d3.(2G).4p2.(1S)     2G   ""","=""L15916,L20010,L14162"""
"=""3d3.4s2""","=""a 2P""","=""3/2""",4,"=""""","=""1.7111742""","=""""","=""0.0000006""","=""  58         :    24  3d3.4s2               2D2  ""","=""L15916,L20010,L14162"""
"=""3d3.4s2""","=""a 2P""","=""1/2""",2,"=""""","=""1.7123346""","=""""","=""0.0000004""","=""  79         :    13  3d4.(3P2).4s          2P   ""","=""L15916,L20010,L14162"""
"=""3d3.4s2""","=""2D2""","=""3/2""",4,"=""""","=""1.7996004""","=""""","=""0.0000005""","=""  63         :    21  3d3.4s2               2P   ""","=""L15916,L20010,L14162"""
"=""3d3.4s2""","=""2D2""","=""5/2""",6,"=""""","=""1.8038233""","=""""","=""0.0000004""","=""  86         :     3  3d4.(3D).4s           2D   ""","=""L15916,L20010,L14162"""
"=""3d4.(3H).4s""","=""a 4H""","=""7/2""",8,"=""""","=""1.84859919""","=""""","=""0.00000025""","=""  96                                             ""","=""L15916,L20010,L14162"""
"=""3d4.(3H).4s""","=""a 4H""","=""9/2""",10,"=""""","=""1.85348429""","=""""","=""0.00000025""","=""  94         :     1  3d3.4s2               2H   ""","=""L15916,L20010,L14162"""
"=""3d4.(3H).4s""","=""a 4H""","=""11/2""",12,"=""""","=""1.85987915""","=""""","=""0.00000019""","=""  90         :     4  3d3.4s2               2H   ""","=""L15916,L20010,L14162"""
"=""3d4.(3H).4s""","=""a 4H""","=""13/2""",14,"=""""","=""1.86756890""","=""""","=""0.00000025""","=""  96                                             ""","=""L15916,L20010,L14162"""
"=""3d4.(3P2).4s""","=""b 4P""","=""1/2""",2,"=""""","=""1.86948173""","=""""","=""0.00000025""","=""  80         :    16  3d3.4s2               4P   ""","=""L15916,L20010,L14162"""
"=""3d4.(3P2).4s""","=""b 4P""","=""3/2""",4,"=""""","=""1.89331087""","=""""","=""0.00000019""","=""  80         :    15  3d3.4s2               4P   ""","=""L15916,L20010,L14162"""
"=""3d4.(3P2).4s""","=""b 4P""","=""5/2""",6,"=""""","=""1.93068628""","=""""","=""0.00000025""","=""  81         :    14  3d3.4s2               4P   ""","=""L15916,L20010,L14162"""
"=""3d3.4s2""","=""a 2H""","=""9/2""",10,"=""""","=""1.8726306""","=""""","=""0.0000004""","=""  86         :     5  3d4.(3H).4s           2H   ""","=""L15916,L20010,L14162"""
"=""3d3.4s2""","=""a 2H""","=""11/2""",12,"=""""","=""1.8925980""","=""""","=""0.0000004""","=""  81         :     6  3d4.(3H).4s           2H   ""","=""L15916,L20010,L14162"""
"=""3d4.(3F2).4s""","=""b 4F""","=""3/2""",4,"=""""","=""1.94218780""","=""""","=""0.00000016""","=""  96                                             ""","=""L15916,L20010,L14162"""
"=""3d4.(3F2).4s""","=""b 4F""","=""5/2""",6,"=""""","=""1.94517098""","=""""","=""0.00000025""","=""  95                                             ""","=""L15916,L20010,L14162"""
"=""3d4.(3F2).4s""","=""b 4F""","=""7/2""",8,"=""""","=""1.94955593""","=""""","=""0.00000014""","=""  95         :     1  3d4.(3G).4s           4G   ""","=""L15916,L20010,L14162"""
"=""3d4.(3F2).4s""","=""b 4F""","=""9/2""",10,"=""""","=""1.95532863""","=""""","=""0.00000019""","=""  94         :     1  3d4.(3G).4s           4G   ""","=""L15916,L20010,L14162"""
"=""3d3.(4F).4s.4p.(3P*)""","=""z 6G*""","=""3/2""",4,"=""""","=""2.0285661""","=""""","=""0.0000005""","="" 100                                             ""","=""L15916,L20010,L14162"""
"=""3d3.(4F).4s.4p.(3P*)""","=""z 6G*""","=""5/2""",6,"=""""","=""2.0395246""","=""""","=""0.0000009""","=""  98                                             ""","=""L15916,L20010,L14162"""
"=""3d3.(4F).4s.4p.(3P*)""","=""z 6G*""","=""7/2""",8,"=""""","=""2.0547452""","=""""","=""0.0000004""","="" 100                                             ""","=""L15916,L20010,L14162"""
"=""3d3.(4F).4s.4p.(3P*)""","=""z 6G*""","=""9/2""",10,"=""""","=""2.0741072""","=""""","=""0.0000005""","="" 100                                             ""","=""L15916,L20010,L14162"""
"=""3d3.(4F).4s.4p.(3P*)""","=""z 6G*""","=""11/2""",12,"=""""","=""2.09746672""","=""""","=""0.00000025""","=""  98                                             ""","=""L15916,L20010,L14162"""
"=""3d3.(4F).4s.4p.(3P*)""","=""z 6G*""","=""13/2""",14,"=""""","=""2.12465993""","=""""","=""0.00000025""","="" 100                                             ""","=""L15916,L20010,L14162"""
"=""3d4.(3G).4s""","=""a 4G""","=""5/2""",6,"=""""","=""2.11454108""","=""""","=""0.00000025""","=""  96                                             ""","=""L15916,L20010,L14162"""
"=""3d4.(3G).4s""","=""a 4G""","=""7/2""",8,"=""""","=""2.12223095""","=""""","=""0.00000025""","=""  92                                             ""","=""L15916,L20010,L14162"""
"=""3d4.(3G).4s""","=""a 4G""","=""9/2""",10,"=""""","=""2.13030555""","=""""","=""0.00000025""","=""  92                                             ""","=""L15916,L20010,L14162"""
"=""3d4.(3G).4s""","=""a 4G""","=""11/2""",12,"=""""","=""2.13774423""","=""""","=""0.00000012""","=""  94                                             ""","=""L15916,L20010,L14162"""
