obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""198.337""","=""0.003""","=""198.34248""","=""0.00009""","=""1900""","=""""",,"=""0.01703332""","=""6.268049""","=""3d3.4s2""","=""a 4F""","=""5/2""","=""50555o""","=""r 2F*""","=""7/2""",6,8,,"=""""","=""L3353""",
"=""198.3961""","=""0.0015""","=""198.39743""","=""0.00005""","=""a,i""","=""""",,"=""0.00000000""","=""6.2492844""","=""3d3.4s2""","=""a 4F""","=""3/2""","=""50403o""","=""r 2F*""","=""5/2""",4,6,,"=""""","=""L8121""",
"=""199.6778""","=""0.0010""","=""199.67873""","=""0.00005""","=""a,i""","=""""",,"=""0.04010046""","=""6.2492844""","=""3d3.4s2""","=""a 4F""","=""7/2""","=""50403o""","=""r 2F*""","=""5/2""",8,6,,"=""""","=""L8121""",
"=""201.113""","=""0.003""","=""201.11535""","=""0.00005""","=""2700""","=""""",,"=""0.00000000""","=""6.1648302""","=""3d3.4s2""","=""a 4F""","=""3/2""","=""3d3.(2P).4s.4p.(1P*)""","=""t 2D*""","=""3/2""",4,4,,"=""""","=""L3353""",
"=""201.248""","=""0.003""","=""201.25247""","=""0.00007""","=""420""","=""""",,"=""0.00000000""","=""6.1606299""","=""3d3.4s2""","=""a 4F""","=""3/2""","=""3d3.(2P).4s.4p.(1P*)""","=""t 2D*""","=""5/2""",4,6,,"=""""","=""L3353""",
"=""202.237""","=""0.003""","=""202.23895""","=""0.00005""","=""89""","=""""",,"=""0.01703332""","=""6.1476130""","=""3d3.4s2""","=""a 4F""","=""5/2""","=""3d2.(3F).4s2.4p""","=""n 4D*""","=""7/2""",6,8,,"=""""","=""L3353""",
"=""202.263""","=""0.003""","=""202.26552""","=""0.00009""","=""220""","=""""",,"=""0.00000000""","=""6.1297742&dagger;""","=""3d3.4s2""","=""a 4F""","=""3/2""","=""3d2.(3F).4s2.4p""","=""n 4D*""","=""5/2""",4,6,,"=""""","=""L3353""",
"=""202.569""","=""0.003""","=""202.57104""","=""0.00007""","=""790""","=""""",,"=""0.04010046""","=""6.1606299""","=""3d3.4s2""","=""a 4F""","=""7/2""","=""3d3.(2P).4s.4p.(1P*)""","=""t 2D*""","=""5/2""",8,6,,"=""""","=""L3353""",
"=""202.82920""","=""0.00018""","=""202.82914""","=""0.00008""","=""17000""","=""""",,"=""0.01703332""","=""6.1297742&dagger;""","=""3d3.4s2""","=""a 4F""","=""5/2""","=""3d2.(3F).4s2.4p""","=""n 4D*""","=""5/2""",6,6,,"=""""","=""L15916""",
"=""202.9065""","=""0.0002""","=""202.90642""","=""0.00006""","=""17000""","=""""",,"=""0.00000000""","=""6.1104129&dagger;""","=""3d3.4s2""","=""a 4F""","=""3/2""","=""3d2.(3F).4s2.4p""","=""n 4D*""","=""3/2""",4,4,,"=""""","=""L15916""",
"=""203.0029""","=""0.0003""","=""203.00277""","=""0.00005""","=""19000""","=""""",,"=""0.04010046""","=""6.1476130""","=""3d3.4s2""","=""a 4F""","=""7/2""","=""3d2.(3F).4s2.4p""","=""n 4D*""","=""7/2""",8,8,,"=""""","=""L15916""",
