State,Lifetime /s,Energy /eV
V a4F;v=3d3.4s2,,0.0
V a6D;v=3d4(5D)4s,714286.0,0.261883301325485
V a4D;v=3d4(5D)4s,10.1636,1.04305623917488
V a4P;v=3d3.4s2,143.761,1.18335724106807
V a2G;v=3d3.4s2,106.27,1.35046672774814
V a2P;v=3d3.4s2,83.4028,1.71229386552736
V 2D{2};v=3d3.4s2,26.4452,1.79956432957711
V a4H;v=3d4(3H)4s,1.18343,1.85983165813882
V b4P;v=3d4(3P{2})4s,0.806257,1.86944021185931
V a2H;v=3d3.4s2,166.667,1.89255033332383
V b4F;v=3d4(3F{2})4s,1.00624,1.94214286865541
V z6Do;v=3d3(4F)4s.4p(3Po),4.07963e-07,2.24232648501748
V z4Do;v=3d3(4F)4s.4p(3Po),8.49697e-08,2.55482144827561
V z4Go;v=3d3(4F)4s.4p(3Po),1.61812e-07,2.76649478720463
V z4Fo;v=3d3(4F)4s.4p(3Po),1.46092e-07,2.86249353747274
V z6Po;v=3d4(5D)4p,2.83382e-08,3.05590442526591
V z4Po;v=3d4(5D)4p,2.46597e-08,3.07110453734504
V y6Fo;v=3d4(5D)4p,9.44787e-09,3.07342298837179
V y4Fo;v=3d4(5D)4p,1.42682e-08,3.21489809353896
V z2Go;v=3d3(4F)4s.4p(3Po),6.52571e-08,3.22622998786223
V y4Do;v=3d4(5D)4p,1.24146e-08,3.24615378893169
V y6Do;v=3d4(5D)4p,8.14664e-09,3.27280977667242
V x6Do;v=3d3(4P)4s.4p(3Po),3.55872e-08,3.51035802091069
V y6Po;v=3d3(4P)4s.4p(3Po),6.7659e-09,3.6206022269528
V y4Po;v=3d3(4P)4s.4p(3Po),4.70234e-08,3.72211814677655
V y4Go;v=3d3(2G)4s.4p(3Po),1.33298e-07,3.82659722058636
V x4Fo;v=3d3(2G)4s.4p(3Po),2.85714e-07,3.87666088500359
V x4Go;v=3d3(4F)4s.4p(1Po),1.2987e-07,3.94089561639182
V 2So;v=3d3(2P)4s.4p(3Po),3.40333e-09,3.95960440034566
V 4G;v=3d5,9.09091e-07,4.01912784087739
V x4Do;v=3d3(2P)4s.4p(3Po),3.95726e-08,4.04928010235899
V w4Fo;v=3d3(4F)4s.4p(1Po),4.57477e-09,4.05891345234715
V z2Po;v=3d3(4P)4s.4p(3Po),2.85095e-08,4.06260809622936
V y2Go;v=3d3(2G)4s.4p(3Po),1.7762e-07,4.12943403758866
V w4Do;v=3d3(4P)4s.4p(3Po),9.15583e-09,4.21124932275194
V 2Do;v=3d3(2P)4s.4p(3Po),2.7027e-08,4.21909734146816
V 4Fo;v=3d3(2D{2})4s.4p(3Po),3.27547e-08,4.26852870105992
V v4Do;v=3d3(4F)4s.4p(1Po),1.8622e-08,4.2745541941027
V u4Do;v=3d3(2D{2})4s.4p(3Po),1.69405e-08,4.34099579331319
V 2Go;v=3d4(3F{2})4p,3.39905e-08,4.52052077121352
V x4Po;v=3d3(2D{2})4s.4p(3Po),2.7115e-08,4.55829788500235
V x2Fo;v=3d4(3F{2})4p,4.06504e-08,4.5643481743128
V w4Go;v=3d3(2H)4s.4p(3Po),7.69231e-08,4.56535242315327
V e4F;v=3d5,1.69492e-07,4.59668250734899
V v2Go;v=3d4(3H)4p,1.65262e-08,4.60896905797739
V y2Ho;v=3d3(2H)4s.4p(3Po),7.42942e-08,4.61344478429107
V z4Io;v=3d4(3H)4p,1.18977e-08,4.62647522294944
V e6D;v=3d4(5D)5s,4.38596e-08,4.62725630538091
V w2Fo;v=3d3(2D{2})4s.4p(3Po),5.55556e-08,4.62978552468283
V e6F;v=3d3.4s(5F)5s,8.68056e-09,4.63382731631235
V v4Go;v=3d4(3F{2})4p,3.367e-08,4.65305682188717
V z2Io;v=3d4(3H)4p,4.36662e-09,4.68120058568784
V t4Do;v=3d4(3P{2})4p,1.22399e-08,4.68214284385914
V e4D;v=3d4(5D)5s,7.0922e-08,4.72448247089848
V x2Ho;v=3d4(3H)4p,1.46002e-08,4.73865353786948
V x4Ho;v=3d4(3H)4p,8.6798e-09,4.76151569665734
V u2Go;v=3d3(2H)4s.4p(3Po),1.0989e-08,4.77697616954696
V y2Io;v=3d3(2H)4s.4p(3Po),3.33333e-08,4.84535187763538
