conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
3d3.4s2,a 4F,1.5,4.0,0.0,3d3.4s2,a 4F,2.5,6.0,0.017033,0.017033,72789.21455,0.0001124,1.3392e-08,5.3569e-08,3.5543e-10
3d3.4s2,a 4F,1.5,4.0,0.0,3d4.(5D).4s,a 6D,0.5,2.0,0.26189,0.26189,4734.21637,1.4e-06,2.3521e-13,9.4084e-13,6.2424e-15
3d3.4s2,a 4F,1.5,4.0,0.0,3d4.(5D).4s,a 6D,1.5,4.0,0.266965,0.266965,4644.20512,2.5e-06,8.0839e-13,3.2336e-12,2.1455e-14
3d3.4s2,a 4F,1.5,4.0,0.0,3d4.(5D).4s,a 6D,2.5,6.0,0.275264,0.275264,4504.18803,9e-07,4.1061e-13,1.6424e-12,1.0898e-14
3d3.4s2,a 4F,1.5,4.0,0.0,3d4.(5D).4s,a 4D,0.5,2.0,1.04308,1.04308,1188.63536,0.042,4.4481e-10,1.7792e-09,1.1805e-11
3d3.4s2,a 4F,1.5,4.0,0.0,3d4.(5D).4s,a 4D,1.5,4.0,1.050919,1.050919,1179.76922,0.043,8.9727e-10,3.5891e-09,2.3813e-11
3d3.4s2,a 4F,1.5,4.0,0.0,3d4.(5D).4s,a 4D,2.5,6.0,1.063604,1.063604,1165.69926,0.0086,2.628e-10,1.0512e-09,6.9747e-12
3d3.4s2,a 4F,1.5,4.0,0.0,3d3.4s2,a 4P,0.5,2.0,1.183384,1.183384,1047.709,0.002,1.6457e-11,6.5827e-11,4.3676e-13
3d3.4s2,a 4F,1.5,4.0,0.0,3d3.4s2,a 4P,1.5,4.0,1.194841,1.194841,1037.66312,0.0003,4.8428e-12,1.9371e-11,1.2853e-13
3d3.4s2,a 4F,1.5,4.0,0.0,3d3.4s2,a 2P,1.5,4.0,1.711174,1.711174,724.55626,0.0012,9.4446e-12,3.7779e-11,2.5066e-13
3d3.4s2,a 4F,1.5,4.0,0.0,3d3.4s2,a 2P,0.5,2.0,1.712335,1.712335,724.06525,0.0007,2.751e-12,1.1004e-11,7.301e-14
3d3.4s2,a 4F,1.5,4.0,0.0,3d3.4s2,2D2,1.5,4.0,1.7996,1.7996,688.95405,0.013,9.2509e-11,3.7004e-10,2.4552e-12
3d3.4s2,a 4F,1.5,4.0,0.0,3d3.4s2,2D2,2.5,6.0,1.803823,1.803823,687.34115,0.001,1.0624e-11,4.2497e-11,2.8197e-13
3d3.4s2,a 4F,1.5,4.0,0.0,3d4.(3H).4s,a 4H,3.5,8.0,1.848599,1.848599,670.6927,0.77,1.0386e-08,4.1542e-08,2.7563e-10
3d3.4s2,a 4F,1.5,4.0,0.0,3d4.(3P2).4s,b 4P,0.5,2.0,1.869482,1.869482,663.20091,0.73,2.4068e-09,9.6273e-09,6.3877e-11
3d3.4s2,a 4F,1.5,4.0,0.0,3d4.(3P2).4s,b 4P,1.5,4.0,1.893311,1.893311,654.85389,0.15,9.6436e-10,3.8574e-09,2.5594e-11
3d3.4s2,a 4F,1.5,4.0,0.0,3d4.(3F2).4s,b 4F,1.5,4.0,1.942188,1.942188,638.37389,0.48,2.9326e-09,1.173e-08,7.7831e-11
3d3.4s2,a 4F,1.5,4.0,0.0,3d4.(3F2).4s,b 4F,2.5,6.0,1.945171,1.945171,637.39486,0.39,3.5631e-09,1.4253e-08,9.4566e-11
3d3.4s2,a 4F,1.5,4.0,0.0,3d4.(3F2).4s,b 4F,3.5,8.0,1.949556,1.949556,635.96123,0.04,4.8508e-10,1.9403e-09,1.2874e-11
3d3.4s2,a 4F,1.5,4.0,0.0,3d3.(4F).4s.4p.(3P*),z 6D*,0.5,2.0,2.242372,2.242372,552.91532,11200.0,2.5666e-05,0.00010267,6.8119e-07
3d3.4s2,a 4F,1.5,4.0,0.0,3d3.(4F).4s.4p.(3P*),z 6D*,1.5,4.0,2.247369,2.247369,551.68608,6300.0,2.8746e-05,0.00011499,7.6293e-07
3d3.4s2,a 4F,1.5,4.0,0.0,3d3.(4F).4s.4p.(3P*),z 4D*,0.5,2.0,2.554876,2.554876,485.28455,10000000.0,0.017653,0.070613,0.00046851
3d3.4s2,a 4F,1.5,4.0,0.0,3d3.(4F).4s.4p.(3P*),z 4D*,1.5,4.0,2.564956,2.564956,483.3774,2270000.0,0.0079517,0.031807,0.00021104
3d3.4s2,a 4F,1.5,4.0,0.0,3d3.(4F).4s.4p.(3P*),z 4D*,2.5,6.0,2.582403,2.582403,480.11182,130000.0,0.00067387,0.0026955,1.7885e-05
3d3.4s2,a 4F,1.5,4.0,0.0,3d3.(4F).4s.4p.(3P*),z 4G*,2.5,6.0,2.707991,2.707991,457.84567,4440000.0,0.02093,0.083721,0.00055549
3d3.4s2,a 4F,1.5,4.0,0.0,3d3.(4F).4s.4p.(3P*),z 4F*,1.5,4.0,2.862556,2.862556,433.12404,5300000.0,0.014906,0.059624,0.0003956
3d3.4s2,a 4F,1.5,4.0,0.0,3d3.(4F).4s.4p.(3P*),z 4F*,2.5,6.0,2.877743,2.877743,430.83838,1130000.0,0.0047169,0.018868,0.00012519
3d3.4s2,a 4F,1.5,4.0,0.0,3d4.(5D).4p,y 6F*,0.5,2.0,3.073494,3.073494,403.39821,300000.0,0.00036595,0.0014638,9.7122e-06
3d3.4s2,a 4F,1.5,4.0,0.0,3d4.(5D).4p,y 4F*,1.5,4.0,3.214978,3.214978,385.64559,33900000.0,0.075585,0.30234,0.002006
3d3.4s2,a 4F,1.5,4.0,0.0,3d4.(5D).4p,y 4F*,2.5,6.0,3.224114,3.224114,384.55276,6000000.0,0.019953,0.079813,0.00052956
3d3.4s2,a 4F,1.5,4.0,0.0,3d4.(5D).4p,y 4D*,0.5,2.0,3.246233,3.246233,381.9325,67000000.0,0.073262,0.29305,0.0019444
3d3.4s2,a 4F,1.5,4.0,0.0,3d4.(5D).4p,y 4D*,1.5,4.0,3.25452,3.25452,380.95999,14300000.0,0.031114,0.12446,0.00082576
3d3.4s2,a 4F,1.5,4.0,0.0,3d4.(5D).4p,y 4D*,2.5,6.0,3.26731,3.26731,379.46871,790000.0,0.0025582,0.010233,6.7894e-05
3d3.4s2,a 4F,1.5,4.0,0.0,3d4.(5D).4p,y 6D*,0.5,2.0,3.272889,3.272889,378.82184,80000.0,8.6058e-05,0.00034423,2.284e-06
3d3.4s2,a 4F,1.5,4.0,0.0,3d3.(2G).4s.4p.(3P*),y 4G*,2.5,6.0,3.798328,3.798328,326.41784,8600000.0,0.020606,0.082425,0.00054689
3d3.4s2,a 4F,1.5,4.0,0.0,3d3.(4F).4s.4p.(1P*),x 4G*,2.5,6.0,3.892834,3.892834,318.49343,252000000.0,0.57485,2.2994,0.015256
3d3.4s2,a 4F,1.5,4.0,0.0,3d3.(4F).4s.4p.(1P*),w 4F*,1.5,4.0,4.059011,4.059011,305.45422,137000000.0,0.19163,0.76654,0.005086
3d3.4s2,a 4F,1.5,4.0,0.0,3d3.(4P).4s.4p.(3P*),z 2P*,1.5,4.0,4.062703,4.062703,305.17661,22200000.0,0.030997,0.12399,0.00082265
3d3.4s2,a 4F,1.5,4.0,0.0,3d3.(4F).4s.4p.(1P*),w 4F*,2.5,6.0,4.072487,4.072487,304.44346,22100000.0,0.046063,0.18425,0.0012225
3d3.4s2,a 4F,1.5,4.0,0.0,3d3.(4P).4s.4p.(3P*),w 4D*,0.5,2.0,4.211351,4.211351,294.40483,70000000.0,0.04548,0.18192,0.001207
3d3.4s2,a 4F,1.5,4.0,0.0,3d3.(4P).4s.4p.(3P*),w 4D*,1.5,4.0,4.212496,4.212496,294.32481,14100000.0,0.018312,0.073247,0.000486
