spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
Xe I,Xe,0,5p6,1S,0.0,1,0.0,0.0,even,,no,12.1298437,,metastable - no allowed radiative channel,,,,,,,yes,L9794
Xe I,Xe,0,5p5.(2P*<3/2>).6s,2[3/2]*,2.0,5,8.3153161,,odd,,no,12.1298437,,,,,,,,,,L763
Xe I,Xe,0,5p5.(2P*<3/2>).6s,2[3/2]*,1.0,3,8.4365241,,odd,,no,12.1298437,3.663003663003663e-09,"ASD 1/sum(Aki), J-resolved",3.663003663003663e-09,1/1,yes,8.4365241,8.4365241,,,L763
Xe I,Xe,0,5p5.(2P*<1/2>).6s,2[1/2]*,0.0,1,9.4471951,,odd,,no,12.1298437,,,,,,,,,,L9794
Xe I,Xe,0,5p5.(2P*<1/2>).6s,2[1/2]*,1.0,3,9.5697254,,odd,,no,12.1298437,3.952569169960474e-09,"ASD 1/sum(Aki), J-resolved",3.952569169960474e-09,1/1,yes,9.5697254,9.5697254,,,L763
Xe I,Xe,0,5p5.(2P*<3/2>).6p,2[1/2],1.0,3,9.580153,,even,,no,12.1298437,3.03951367781155e-08,"ASD 1/sum(Aki), J-resolved",3.03951367781155e-08,2/2,yes,1.2648368999999988,1.2648368999999988,,,L763
Xe I,Xe,0,5p5.(2P*<3/2>).6p,2[1/2],0.0,1,9.9334853,,even,,no,12.1298437,2.7100271002710027e-08,"ASD 1/sum(Aki), J-resolved",2.7100271002710027e-08,1/2,no,1.4969611999999994,1.4969611999999994,,,L763
Xe I,Xe,0,5p5.(2P*<3/2>).6p,2[5/2],2.0,5,9.6856205,,even,,no,12.1298437,3.937007874015748e-08,"ASD 1/sum(Aki), J-resolved",3.937007874015748e-08,2/2,yes,1.2490964000000009,1.3703044000000002,,,L763
Xe I,Xe,0,5p5.(2P*<3/2>).6p,2[5/2],3.0,7,9.7207407,,even,,no,12.1298437,3.3333333333333334e-08,"ASD 1/sum(Aki), J-resolved",3.3333333333333334e-08,1/1,yes,1.4054246,1.4054246,,,L763
Xe I,Xe,0,5p5.(2P*<3/2>).6p,2[3/2],1.0,3,9.7893002,,even,,no,12.1298437,3.695491500369549e-08,"ASD 1/sum(Aki), J-resolved",3.695491500369549e-08,2/3,no,1.3527760999999998,1.4739840999999991,,,L763
Xe I,Xe,0,5p5.(2P*<3/2>).6p,2[3/2],2.0,5,9.821094,,even,,no,12.1298437,2.7247956403269755e-08,"ASD 1/sum(Aki), J-resolved",2.7247956403269755e-08,2/3,no,1.5057779,1.5057779,,,L763
Xe I,Xe,0,5p5.(2P*<3/2>).5d,2[1/2]*,0.0,1,9.8903766,,odd,,no,12.1298437,,,,,,,,,,L763
Xe I,Xe,0,5p5.(2P*<3/2>).5d,2[1/2]*,1.0,3,9.9170767,,odd,,no,12.1298437,6.557377049180328e-08,"ASD 1/sum(Aki), J-resolved",6.557377049180328e-08,2/2,yes,9.9170767,9.9170767,,,L763
Xe I,Xe,0,5p5.(2P*<3/2>).5d,2[7/2]*,4.0,9,9.9431148,,odd,,no,12.1298437,5.555555555555556e-06,"ASD 1/sum(Aki), J-resolved",5.555555555555556e-06,1/1,yes,0.22237409999999969,0.22237409999999969,,,L763
Xe I,Xe,0,5p5.(2P*<3/2>).5d,2[7/2]*,3.0,7,10.0390549,,odd,,no,12.1298437,1.6393442622950819e-06,"ASD 1/sum(Aki), J-resolved",1.6393442622950819e-06,1/2,no,0.35343439999999937,0.35343439999999937,,,L763
Xe I,Xe,0,5p5.(2P*<3/2>).5d,2[3/2]*,2.0,5,9.9587513,,odd,,no,12.1298437,2.5575447570332483e-06,"ASD 1/sum(Aki), J-resolved",2.5575447570332483e-06,2/3,no,0.37859830000000017,0.37859830000000017,,,L763
Xe I,Xe,0,5p5.(2P*<3/2>).5d,2[3/2]*,1.0,3,10.4010308,,odd,,no,12.1298437,1.6777397490101336e-09,"ASD 1/sum(Aki), J-resolved",1.6777397490101336e-09,4/6,no,10.4010308,10.4010308,,,L763
Xe I,Xe,0,5p5.(2P*<3/2>).5d,2[5/2]*,2.0,5,10.1574692,,odd,,no,12.1298437,8.264462809917355e-07,"ASD 1/sum(Aki), J-resolved",8.264462809917355e-07,2/6,no,0.4718486999999989,1.842153099999999,,,L763
