State,Lifetime /s,Energy /eV
Xe+ 2[2];v=5s2.5p4(3P_2)6s,,11.5387447881345
Xe+ 2[2]o;v=5s2.5p4(3P_2)6p,1.40845e-08,13.8601217744705
Xe+ 2[3]o;v=5s2.5p4(3P_2)6p,9.62464e-09,14.0733696763963
Xe+ 2[1]o;v=5s2.5p4(3P_2)6p,1.40845e-08,14.0933306718673
Xe+ 2[0]o;v=5s2.5p4(3P_1)6p,1.35135e-08,15.0240585787027
Xe+ 2[2]o;v=5s2.5p4(3P_1)6p,3.55872e-08,15.2813198557353
Xe+ 2[3]o;v=5s2.5p4(1D_2)6p,5.55556e-08,15.9771031264374
Xe+ 2[2]o;v=5s2.5p4(1D_2)6p,1.17647e-08,16.356114077709
Xe+ 2[4];v=5s2.5p4(3P_2)6d,7.14286e-09,16.9356028530586
Xe+ 2[2];v=5s2.5p4(1D_2)6s,,13.5837847287
Xe+ 2[1];v=5s2.5p4(3P_1)5d,,12.9250619597
Xe+ 2[3];v=5s2.5p4(3P_1)5d,,13.4424373243
Xe+ 2[1];v=5s2.5p4(3P_1)6s,,12.7451662776
Xe+ 2[2];v=5s2.5p4(3P_2)5d,,11.8274154974
Xe+ 2[3];v=5s2.5p4(3P_2)5d,,11.8324900536
Xe+ 2[4];v=5s2.5p4(3P_2)5d,,12.3243636968
