Initial State,Final State,Partial Lifetime /s,Delta Energy /eV
Xe+ 2[2]o;v=5s2.5p4(3P_2)6p,Xe+ 2[2];v=5s2.5p4(3P_2)6s,3.5714e-08,-2.3213769863360003
Xe+ 2[2]o;v=5s2.5p4(3P_2)6p,Xe+ 2[2];v=5s2.5p4(3P_2)5d,3.8461e-08,-2.032706277070499
Xe+ 2[2]o;v=5s2.5p4(3P_2)6p,Xe+ 2[3];v=5s2.5p4(3P_2)5d,5.8823e-08,-2.027631720870499
Xe+ 2[3]o;v=5s2.5p4(3P_2)6p,Xe+ 2[2];v=5s2.5p4(3P_2)6s,1.6129e-08,-2.534624888261801
Xe+ 2[3]o;v=5s2.5p4(3P_2)6p,Xe+ 2[4];v=5s2.5p4(3P_2)5d,3.7037e-08,-1.7490059795962996
Xe+ 2[3]o;v=5s2.5p4(3P_2)6p,Xe+ 2[3];v=5s2.5p4(3P_2)5d,1.1364e-07,-2.2408796227962995
Xe+ 2[3]o;v=5s2.5p4(3P_2)6p,Xe+ 2[2];v=5s2.5p4(3P_2)5d,1.6393e-07,-2.2459541789963
Xe+ 2[1]o;v=5s2.5p4(3P_2)6p,Xe+ 2[2];v=5s2.5p4(3P_2)6s,1.4084e-08,-2.5545858837328
Xe+ 2[0]o;v=5s2.5p4(3P_1)6p,Xe+ 2[1];v=5s2.5p4(3P_1)6s,1.3514e-08,-2.278892301102701
Xe+ 2[2]o;v=5s2.5p4(3P_1)6p,Xe+ 2[1];v=5s2.5p4(3P_1)5d,4.5455e-08,-2.3562578960352987
Xe+ 2[2]o;v=5s2.5p4(3P_1)6p,Xe+ 2[3];v=5s2.5p4(3P_1)5d,1.6393e-07,-1.8388825314352992
Xe+ 2[3]o;v=5s2.5p4(1D_2)6p,Xe+ 2[2];v=5s2.5p4(1D_2)6s,5.5556e-08,-2.393318397737401
Xe+ 2[2]o;v=5s2.5p4(1D_2)6p,Xe+ 2[2];v=5s2.5p4(1D_2)6s,1.1765e-08,-2.772329349009002
Xe+ 2[4];v=5s2.5p4(3P_2)6d,Xe+ 2[3]o;v=5s2.5p4(3P_2)6p,7.1429e-09,-2.8622331766623006
