spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
Xe III,Xe,2,5s2.5p4,3P,2.0,5,0.0,0.0,even,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p4,3P,0.0,1,1.008001,,even,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p4,3P,1.0,3,1.214346,,even,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p4,1D,2.0,5,2.119972,,even,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p4,1S,0.0,1,4.476194,,even,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s.5p5,3P*,2.0,5,12.182994,,odd,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s.5p5,3P*,1.0,3,12.84082,,odd,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s.5p5,3P*,0.0,1,13.431674,,odd,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(4S*).5d,5D*,3.0,7,13.837307,,odd,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(4S*).5d,5D*,2.0,5,13.868424,,odd,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(4S*).5d,5D*,4.0,9,13.919927,,odd,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(4S*).5d,5D*,1.0,3,13.942011,,odd,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(4S*).5d,5D*,0.0,1,13.972269,,odd,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(4S*).5d,3D*,2.0,5,14.535917,,odd,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(4S*).5d,3D*,3.0,7,15.030552,,odd,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(4S*).5d,3D*,1.0,3,15.116494,,odd,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(2D*).5d,1P*,1.0,3,14.757347,,odd,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(4S*).6s,5S*,2.0,5,15.061097,,odd,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(2D*).5d,3F*,2.0,5,15.459755,,odd,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(2D*).5d,3F*,3.0,7,15.636859,,odd,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(2D*).5d,3F*,4.0,9,16.139486,,odd,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(4S*).6s,3S*,1.0,3,15.57453,,odd,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(2D*).5d,3G*,4.0,9,15.842966,,odd,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(2D*).5d,3G*,3.0,7,15.913266,,odd,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(2D*).5d,3G*,5.0,11,16.385744,,odd,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(2D*).5d,1G*,4.0,9,16.454164,,odd,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(2D*).5d,3D*,1.0,3,16.518912,,odd,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(2D*).5d,3D*,2.0,5,17.613725,,odd,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(2D*).5d,3D*,3.0,7,17.749112,,odd,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(2D*).6s,3D*,2.0,5,16.696632,,odd,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(2D*).6s,3D*,1.0,3,17.127858,,odd,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(2D*).6s,3D*,3.0,7,17.191426,,odd,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(2P*).5d,1D*,2.0,5,16.907413,,odd,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(2P*).5d,3P*,0.0,1,17.412067,,odd,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(2P*).5d,3P*,1.0,3,17.448412,,odd,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(2P*).5d,3P*,2.0,5,18.647749,,odd,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(2D*).6s,1D*,2.0,5,17.735716,,odd,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(2P*).5d,3F*,2.0,5,18.01492,,odd,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(2P*).5d,3F*,3.0,7,18.019976,,odd,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(2P*).5d,3F*,4.0,9,18.416057,,odd,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(4S*).6p,5P,1.0,3,18.198584,,even,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(4S*).6p,5P,2.0,5,18.221018,,even,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(4S*).6p,5P,3.0,7,18.481279,,even,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(2D*).5d,3S*,1.0,3,18.324543,,odd,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(2D*).5d,3P*,2.0,5,18.395552,,odd,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(2D*).5d,3P*,1.0,3,19.172838,,odd,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(2D*).5d,3P*,0.0,1,19.928448,,odd,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(2D*).5d,1F*,3.0,7,18.400847,,odd,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(4S*).6p,3P,1.0,3,18.634961,,even,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(4S*).6p,3P,2.0,5,18.852755,,even,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(4S*).6p,3P,0.0,1,18.945798,,even,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(2P*).6s,3P*,0.0,1,18.66028,,odd,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(2P*).6s,3P*,1.0,3,18.781428,,odd,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(2P*).6s,3P*,2.0,5,19.704573,,odd,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(2P*).5d,3D*,2.0,5,19.080325,,odd,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(2P*).5d,3D*,1.0,3,19.267256,,odd,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(2P*).5d,3D*,3.0,7,19.390221,,odd,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(2D*).6p,3D,1.0,3,19.713113,,even,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(2D*).6p,3D,2.0,5,20.117672,,even,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(2D*).6p,3D,3.0,7,20.668056,,even,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(2P*).6s,1P*,1.0,3,19.761616,,odd,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(2D*).6p,3F,2.0,5,19.923182,,even,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(2D*).6p,3F,3.0,7,20.159187,,even,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(2D*).6p,3F,4.0,9,20.650166,,even,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(2D*).5d,1D*,2.0,5,20.061881,,odd,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(2P*).5d,1F*,3.0,7,20.204155,,odd,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s.5p5,1P*,1.0,3,20.274814,,odd,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(2D*).6p,1F,3.0,7,20.387793,,even,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(2D*).6p,1P,1.0,3,20.396845,,even,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(2D*).6p,3P,0.0,1,20.574147,,even,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(2D*).6p,3P,2.0,5,20.713584,,even,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(2D*).6p,3P,1.0,3,20.840008,,even,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(4S*).4f,5F,4.0,9,20.625425,,even,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(4S*).4f,5F,3.0,7,20.627754,,even,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(4S*).4f,5F,5.0,11,20.673596,,even,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(4S*).4f,5F,2.0,5,20.690494,,even,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(4S*).4f,5F,1.0,3,20.726877,,even,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(4S*).4f,3F,3.0,7,21.108328,,even,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(4S*).4f,3F,2.0,5,21.540286,,even,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(4S*).4f,3F,4.0,9,21.566621,,even,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(2D*).6p,1D,2.0,5,21.32402,,even,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(2P*).5d,1P*,1.0,3,21.703727,,odd,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(2P*).6p,3D,1.0,3,21.725894,,even,,no,31.05,,,,,,,,,,L10579
Xe III,Xe,2,5s2.5p3.(2P*).6p,3D,2.0,5,22.063723,,even,,no,31.05,,,,,,,,,,L10579
