obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""50.0108""","=""0.0005""","=""50.0103+""","=""22""","=""""",,"=""0.00000""","=""24.79176""","=""5s2.5p2""","=""3P""","=""0""","=""5s2.5p.(2P*).5d""","=""1P*""","=""1""",1,3,,"=""""","=""L11121""",
"=""50.0557""","=""0.0005""","=""50.0558+""","=""40""","=""""",,"=""1.15204""","=""25.92124""","=""5s2.5p2""","=""3P""","=""1""","=""5s2.5p.(2P*).6s""","=""3P*""","=""2""",3,5,,"=""""","=""L11121""",
"=""50.2731""","=""0.0005""","=""50.2731+""","=""20""","=""""",,"=""1.75149""","=""26.41362""","=""5s2.5p2""","=""3P""","=""2""","=""5s2.5p.(2P*).6s""","=""1P*""","=""1""",5,3,,"=""""","=""L11121""",
"=""51.2972""","=""0.0005""","=""51.2973+""","=""50""","=""""",,"=""1.75149""","=""25.92124""","=""5s2.5p2""","=""3P""","=""2""","=""5s2.5p.(2P*).6s""","=""3P*""","=""2""",5,5,,"=""""","=""L11121""",
"=""51.4852""","=""0.0005""","=""51.4846+""","=""40""","=""""",,"=""0.00000""","=""24.08181""","=""5s2.5p2""","=""3P""","=""0""","=""5s2.5p.(2P*).6s""","=""3P*""","=""1""",1,3,,"=""""","=""L11121""",
"=""52.4473""","=""0.0005""","=""52.4474+""","=""20""","=""""",,"=""1.15204""","=""24.79176""","=""5s2.5p2""","=""3P""","=""1""","=""5s2.5p.(2P*).5d""","=""1P*""","=""1""",3,3,,"=""""","=""L11121""",
"=""53.8120""","=""0.0005""","=""53.8120+""","=""90bl""","=""""",,"=""1.75149""","=""24.79176""","=""5s2.5p2""","=""3P""","=""2""","=""5s2.5p.(2P*).5d""","=""1P*""","=""1""",5,3,,"=""""","=""L11121""",
"=""54.0717""","=""0.0005""","=""54.0713+""","=""20""","=""""",,"=""1.15204""","=""24.08181""","=""5s2.5p2""","=""3P""","=""1""","=""5s2.5p.(2P*).6s""","=""3P*""","=""1""",3,3,,"=""""","=""L11121""",
"=""54.1297""","=""0.0005""","=""54.1297+""","=""40""","=""""",,"=""1.15204""","=""24.05704""","=""5s2.5p2""","=""3P""","=""1""","=""5s2.5p.(2P*).6s""","=""3P*""","=""0""",3,1,,"=""""","=""L11121""",
"=""54.1628""","=""0.0005""","=""54.1627+""","=""40""","=""""",,"=""3.52254""","=""26.41362""","=""5s2.5p2""","=""1D""","=""2""","=""5s2.5p.(2P*).6s""","=""1P*""","=""1""",5,3,,"=""""","=""L11121""",
"=""54.305""","=""0.001""","=""54.3043+""","=""10""","=""""",,"=""0.00000""","=""22.83139""","=""5s2.5p2""","=""3P""","=""0""","=""5s2.5p.(2P*).5d""","=""3P*""","=""1""",1,3,,"=""""","=""L7287""",
"=""55.3534""","=""0.0005""","=""55.3533+""","=""25""","=""""",,"=""3.52254""","=""25.92124""","=""5s2.5p2""","=""1D""","=""2""","=""5s2.5p.(2P*).6s""","=""3P*""","=""2""",5,5,,"=""""","=""L11121""",
"=""55.5227""","=""0.0005""","=""55.5228+""","=""45bl""","=""""",,"=""1.75149""","=""24.08181""","=""5s2.5p2""","=""3P""","=""2""","=""5s2.5p.(2P*).6s""","=""3P*""","=""1""",5,3,,"=""""","=""L11121""",
"=""55.5522""","=""0.0005""","=""55.5521+""","=""50bl""","=""""",,"=""1.75149""","=""24.07004""","=""5s2.5p2""","=""3P""","=""2""","=""5s2.5p.(2P*).5d""","=""1F*""","=""3""",5,7,,"=""""","=""L11121""",
