spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
Y I,Y,0,4d.5s2,a 2D,1.5,4,0.0,0.0,even,,no,6.21726,,,,,,,,,,L7610
Y I,Y,0,4d.5s2,a 2D,2.5,6,0.06575514,1.2e-07,even,,no,6.21726,,,,,,,,,,L7610
Y I,Y,0,5s2.5p,z 2P*,0.5,2,1.30545058,1.2e-07,odd,,no,6.21726,,,,,,,,,,L7610
Y I,Y,0,5s2.5p,z 2P*,1.5,4,1.40843037,1.2e-07,odd,,no,6.21726,,,,,,,,,,L7610
Y I,Y,0,4d2.(3F).5s,a 4F,1.5,4,1.35606353,1.2e-07,even,,no,6.21726,,,,,,,,,,L7610
Y I,Y,0,4d2.(3F).5s,a 4F,2.5,6,1.37357308,1.2e-07,even,,no,6.21726,,,,,,,,,,L7610
Y I,Y,0,4d2.(3F).5s,a 4F,3.5,8,1.39828486,1.2e-07,even,,no,6.21726,,,,,,,,,,L7610
Y I,Y,0,4d2.(3F).5s,a 4F,4.5,10,1.42979768,2.5e-07,even,,no,6.21726,,,,,,,,,,L7610
Y I,Y,0,4d.5s.(3D).5p,z 4F*,1.5,4,1.85343904,1.2e-07,odd,,no,6.21726,,,,,,,,,,L7610
Y I,Y,0,4d.5s.(3D).5p,z 4F*,2.5,6,1.89023866,1.2e-07,odd,,no,6.21726,,,,,,,,,,L7610
Y I,Y,0,4d.5s.(3D).5p,z 4F*,3.5,8,1.94810445,1.2e-07,odd,,no,6.21726,,,,,,,,,,L7610
Y I,Y,0,4d.5s.(3D).5p,z 4F*,4.5,10,2.01280684,2.5e-07,odd,,no,6.21726,,,,,,,,,,L7610
Y I,Y,0,4d2.(3P).5s,a 4P,0.5,2,1.88724197,2.5e-07,even,,no,6.21726,,,,,,,,,,L7610
Y I,Y,0,4d2.(3P).5s,a 4P,1.5,4,1.90053704,1.2e-07,even,,no,6.21726,,,,,,,,,,L7610
Y I,Y,0,4d2.(3P).5s,a 4P,2.5,6,1.91884554,1.2e-07,even,,no,6.21726,,,,,,,,,,L7610
Y I,Y,0,4d2.(3F).5s,a 2F,2.5,6,1.9002737,1.2e-07,even,,no,6.21726,,,,,,,,,,L7610
Y I,Y,0,4d2.(3F).5s,a 2F,3.5,8,1.96694496,1.2e-07,even,,no,6.21726,,,,,,,,,,L7610
Y I,Y,0,4d2.(1D).5s,b 2D,1.5,4,1.98300885,1.2e-07,even,,no,6.21726,,,,,,,,,,L7610
Y I,Y,0,4d2.(1D).5s,b 2D,2.5,6,2.00344392,1.2e-07,even,,no,6.21726,,,,,,,,,,L7610
Y I,Y,0,4d.5s.(3D).5p,z 2D*,2.5,6,1.99193807,1.2e-07,odd,,no,6.21726,2.1367521367521368e-07,"ASD 1/sum(Aki), J-resolved",2.1367521367521368e-07,2/2,yes,1.92618293,1.99193807,,,L7610
Y I,Y,0,4d.5s.(3D).5p,z 2D*,1.5,4,2.00186598,1.2e-07,odd,,no,6.21726,2.053388090349076e-07,"ASD 1/sum(Aki), J-resolved",2.053388090349076e-07,2/2,yes,2.00186598,2.00186598,,,L7610
Y I,Y,0,4d.5s.(3D).5p,z 4D*,0.5,2,2.03779275,1.2e-07,odd,,no,6.21726,,,,,,,,,,L7610
Y I,Y,0,4d.5s.(3D).5p,z 4D*,1.5,4,2.05780343,1.2e-07,odd,,no,6.21726,,,,,,,,,,L7610
Y I,Y,0,4d.5s.(3D).5p,z 4D*,2.5,6,2.08499775,1.2e-07,odd,,no,6.21726,,,,,,,,,,L7610
Y I,Y,0,4d.5s.(3D).5p,z 4D*,3.5,8,2.12213288,1.2e-07,odd,,no,6.21726,,,,,,,,,,L7610
Y I,Y,0,4d2.(1G).5s,a 2G,4.5,10,2.29362274,1.2e-07,even,,no,6.21726,,,,,,,,,,L7610
Y I,Y,0,4d2.(1G).5s,a 2G,3.5,8,2.29524532,1.2e-07,even,,no,6.21726,,,,,,,,,,L7610
Y I,Y,0,4d.5s.(3D).5p,z 4P*,0.5,2,2.35276953,1.2e-07,odd,,no,6.21726,,,,,,,,,,L7610
Y I,Y,0,4d.5s.(3D).5p,z 4P*,1.5,4,2.35912087,1.2e-07,odd,,no,6.21726,,,,,,,,,,L7610
Y I,Y,0,4d.5s.(3D).5p,z 4P*,2.5,6,2.37404732,1.2e-07,odd,,no,6.21726,,,,,,,,,,L7610
Y I,Y,0,4d2.(3P).5s,a 2P,0.5,2,2.38515941,1.2e-07,even,,no,6.21726,,,,,,,,,,L7610
Y I,Y,0,4d2.(3P).5s,a 2P,1.5,4,2.40605546,1.2e-07,even,,no,6.21726,,,,,,,,,,L7610
Y I,Y,0,4d.5s.(3D).5p,z 2F*,2.5,6,2.66920361,1.2e-07,odd,,no,6.21726,4.6511627906976744e-08,"ASD 1/sum(Aki), J-resolved",4.6511627906976744e-08,2/2,yes,2.66920361,2.66920361,,,L7610
