spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
Y II,Y,1,5s2,a 1S,0.0,1,0.0,0.0,even,,no,12.2236,,,,,,,,,,L10987
Y II,Y,1,4d.5s,a 3D,1.0,3,0.1041713,,even,,no,12.2236,,,,,,,,,,L10987
Y II,Y,1,4d.5s,a 3D,2.0,5,0.1295729,,even,,no,12.2236,,,,,,,,,,L10987
Y II,Y,1,4d.5s,a 3D,3.0,7,0.1797463,,even,,no,12.2236,,,,,,,,,,L10987
Y II,Y,1,4d.5s,a 1D,2.0,5,0.4086742,,even,,no,12.2236,,,,,,,,,,L10987
Y II,Y,1,4d2,a 3F,2.0,5,0.9922612,,even,,no,12.2236,,,,,,,,,,L10987
Y II,Y,1,4d2,a 3F,3.0,7,1.0325452,,even,,no,12.2236,,,,,,,,,,L10987
Y II,Y,1,4d2,a 3F,4.0,9,1.0840338,,even,,no,12.2236,,,,,,,,,,L10987
Y II,Y,1,4d2,a 3P,0.0,1,1.7213196,,even,,no,12.2236,,,,,,,,,,L10987
Y II,Y,1,4d2,a 3P,1.0,3,1.7380436,,even,,no,12.2236,,,,,,,,,,L10987
Y II,Y,1,4d2,a 3P,2.0,5,1.7479387,,even,,no,12.2236,,,,,,,,,,L10987
Y II,Y,1,4d2,b 1D,2.0,5,1.8390405,,even,,no,12.2236,,,,,,,,,,L10987
Y II,Y,1,4d2,a 1G,4.0,9,1.9444324,,even,,no,12.2236,,,,,,,,,,L10987
Y II,Y,1,5s.5p,z 3P*,0.0,1,2.9068173,,odd,,no,12.2236,5.46448087431694e-08,"ASD 1/sum(Aki), J-resolved",5.46448087431694e-08,1/1,yes,2.802646,2.802646,,,L10987
Y II,Y,1,5s.5p,z 3P*,1.0,3,2.9478787,,odd,,no,12.2236,5.154639175257732e-08,"ASD 1/sum(Aki), J-resolved",5.154639175257732e-08,4/4,yes,2.8183058,2.9478787,,,L10987
Y II,Y,1,5s.5p,z 3P*,2.0,5,3.0558535,,odd,,no,12.2236,5.686664771111743e-08,"ASD 1/sum(Aki), J-resolved",5.686664771111743e-08,4/4,yes,2.8761072,2.9516822,,,L10987
Y II,Y,1,4d2,1S,0.0,1,3.1083155,,even,,no,12.2236,,,,,,,,,,L10987
Y II,Y,1,4d.5p,z 1D*,2.0,5,3.2418461,,odd,,no,12.2236,6.2837752921955515e-09,"ASD 1/sum(Aki), J-resolved",6.2837752921955515e-09,4/5,no,2.8331719,3.1376748,,,L10987
Y II,Y,1,4d.5p,z 3F*,2.0,5,3.3757211,,odd,,no,12.2236,6.273525721455458e-09,"ASD 1/sum(Aki), J-resolved",6.273525721455458e-09,6/6,yes,3.2715498,3.2715498,,,L10987
Y II,Y,1,4d.5p,z 3F*,3.0,7,3.4135728,,odd,,no,12.2236,6.284960090503425e-09,"ASD 1/sum(Aki), J-resolved",6.284960090503425e-09,6/6,yes,3.2839999,3.2839999,,,L10987
Y II,Y,1,4d.5p,z 3F*,4.0,9,3.5204293,,odd,,no,12.2236,5.713306290350226e-09,"ASD 1/sum(Aki), J-resolved",5.713306290350226e-09,3/3,yes,3.340683,3.340683,,,L10987
