obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""53.028""","=""0.004""","=""53.028""","=""0.004""","=""15a""","=""""",,"=""0.00000000""","=""23.3809""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.(2D).4s.4p.(3P*).14d""","=""1P*""","=""1""",1,3,,"=""""","=""L4256""",
"=""53.057""","=""0.004""","=""53.057""","=""0.004""","=""15a""","=""""",,"=""0.00000000""","=""23.3682""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.(2D).4s.4p.(3P*).13d""","=""1P*""","=""1""",1,3,,"=""""","=""L4256""",
"=""53.100""","=""0.004""","=""53.100""","=""0.004""","=""15a""","=""""",,"=""0.00000000""","=""23.3492""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.(2D).4s.4p.(3P*).12d""","=""1P*""","=""1""",1,3,,"=""""","=""L4256""",
"=""53.155""","=""0.004""","=""53.155""","=""0.004""","=""2a""","=""""",,"=""0.00000000""","=""23.3250""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.(2D).4s.4p.(3P*).11d""","=""1P*""","=""1""",1,3,,"=""""","=""L4256""",
"=""53.231""","=""0.004""","=""53.231""","=""0.004""","=""2a""","=""""",,"=""0.00000000""","=""23.2917""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.(2D).4s.4p.(3P*).10d""","=""1P*""","=""1""",1,3,,"=""""","=""L4256""",
"=""53.301""","=""0.004""","=""53.301""","=""0.004""","=""70a""","=""""",,"=""0.00000000""","=""23.2612""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.(2D).4s.4p.(3P*).11s""","=""1P*""","=""1""",1,3,,"=""""","=""L4256""",
"=""53.333""","=""0.004""","=""53.333""","=""0.004""","=""2a""","=""""",,"=""0.00000000""","=""23.2472""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.(2D).4s.4p.(3P*).9d""","=""1P*""","=""1""",1,3,,"=""""","=""L4256""",
"=""53.437""","=""0.004""","=""53.437""","=""0.004""","=""2a""","=""""",,"=""0.00000000""","=""23.2019""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.(2D).4s.4p.(3P*).10s""","=""1P*""","=""1""",1,3,,"=""""","=""L4256""",
"=""53.496""","=""0.004""","=""53.496""","=""0.004""","=""2a""","=""""",,"=""0.00000000""","=""23.1764""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.(2D).4s.4p.(3P*).8d""","=""1P*""","=""1""",1,3,,"=""""","=""L4256""",
"=""53.673""","=""0.004""","=""53.673""","=""0.004""","=""2a""","=""""",,"=""0.00000000""","=""23.0999""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.(2D).4s.4p.(3P*).9s""","=""1P*""","=""1""",1,3,,"=""""","=""L4256""",
"=""53.735""","=""0.004""","=""53.735""","=""0.004""","=""2a""","=""""",,"=""0.00000000""","=""23.0732""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.(2D).4s.4p.(3P*).7d""","=""1P*""","=""1""",1,3,,"=""""","=""L4256""",
"=""53.992""","=""0.010""","=""53.992""","=""0.009""","=""2aBq""","=""""",,"=""0.00000000""","=""22.963""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.(2D).4s.4p.(3P*).8s""","=""1P*""","=""1""",1,3,,"=""""","=""L4256""",
"=""54.157""","=""0.004""","=""54.157""","=""0.004""","=""2a""","=""""",,"=""0.00000000""","=""22.8934""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.(2D).4s.4p.(3P*).6d""","=""1P*""","=""1""",1,3,,"=""""","=""L4256""",
"=""54.637""","=""0.010""","=""54.637""","=""0.009""","=""3aBq""","=""""",,"=""0.00000000""","=""22.692""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.(2D).4s.4p.(3P*).7s""","=""1P*""","=""1""",1,3,,"=""""","=""L4256""",
"=""54.870""","=""0.004""","=""54.870""","=""0.004""","=""2aq""","=""""",,"=""0.00000000""","=""22.5960""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.(2D).4s.4p.(3P*).5d""","=""1P*""","=""1""",1,3,,"=""""","=""L4256""",
"=""56.039""","=""0.010""","=""56.039""","=""0.009""","=""4aBq""","=""""",,"=""0.00000000""","=""22.125""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.(2D).4s.4p.(3P*).6s""","=""1P*""","=""1""",1,3,,"=""""","=""L4256""",
"=""56.481""","=""0.004""","=""56.481""","=""0.004""","=""3a""","=""""",,"=""0.00000000""","=""21.9515""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.(2D).4s.4p.(3P*).4d""","=""1P*""","=""1""",1,3,,"=""""","=""L4256""",
"=""60.089""","=""0.020""","=""60.089""","=""0.022""","=""7aBq""","=""""",,"=""0.00000000""","=""20.633""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.(2D).4s.4p.(3P*).5s""","=""1P*""","=""1""",1,3,,"=""""","=""L4256""",
"=""61.360""","=""0.008""","=""61.360""","=""0.008""","=""500a""","=""""",,"=""0.00000000""","=""20.206""","=""3d10.4s2""","=""1S""","=""0""","=""3d10.5s.12p""","=""1P*""","=""1""",1,3,,"=""""","=""L4256""",
"=""61.468""","=""0.008""","=""61.468""","=""0.008""","=""100a""","=""""",,"=""0.00000000""","=""20.170""","=""3d10.4s2""","=""1S""","=""0""","=""3d10.5s.11p""","=""1P*""","=""1""",1,3,,"=""""","=""L4256""",
"=""61.626""","=""0.008""","=""61.626""","=""0.008""","=""100a""","=""""",,"=""0.00000000""","=""20.119""","=""3d10.4s2""","=""1S""","=""0""","=""3d10.5s.10p""","=""1P*""","=""1""",1,3,,"=""""","=""L4256""",
"=""61.860""","=""0.008""","=""61.860""","=""0.008""","=""110a""","=""""",,"=""0.00000000""","=""20.043""","=""3d10.4s2""","=""1S""","=""0""","=""3d10.5s.9p""","=""1P*""","=""1""",1,3,,"=""""","=""L4256""",
"=""62.201""","=""0.008""","=""62.201""","=""0.008""","=""600a""","=""""",,"=""0.00000000""","=""19.933""","=""3d10.4s2""","=""1S""","=""0""","=""3d10.5s.8p""","=""1P*""","=""1""",1,3,,"=""""","=""L4256""",
"=""62.691""","=""0.008""","=""62.691""","=""0.008""","=""1200a""","=""""",,"=""0.00000000""","=""19.7771""","=""3d10.4s2""","=""1S""","=""0""","=""3d10.5s.7p""","=""1P*""","=""1""",1,3,,"=""""","=""L4256""",
"=""70.8957""","=""0.0004""","=""70.8957""","=""0.0006""","=""a""","=""""",,"=""0.00000000""","=""17.48826""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.(2D<3/2>).4s2.28p""","=""2[3/2]*""","=""1""",1,3,,"=""""","=""L6852""",
"=""70.8957""","=""0.0004""","=""70.8957""","=""0.0006""","=""a""","=""""",,"=""0.00000000""","=""17.48826""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.(2D<3/2>).4s2.28p""","=""2[1/2]*""","=""1""",1,3,,"=""""","=""L6852""",
"=""70.9017""","=""0.0004""","=""70.9017""","=""0.0006""","=""a""","=""""",,"=""0.00000000""","=""17.48677""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.(2D<3/2>).4s2.27p""","=""2[3/2]*""","=""1""",1,3,,"=""""","=""L6852""",
"=""70.9017""","=""0.0004""","=""70.9017""","=""0.0006""","=""a""","=""""",,"=""0.00000000""","=""17.48677""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.(2D<3/2>).4s2.27p""","=""2[1/2]*""","=""1""",1,3,,"=""""","=""L6852""",
"=""70.9093""","=""0.0004""","=""70.9093""","=""0.0006""","=""a""","=""""",,"=""0.00000000""","=""17.48490""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.(2D<3/2>).4s2.26p""","=""2[3/2]*""","=""1""",1,3,,"=""""","=""L6852""",
"=""70.9093""","=""0.0004""","=""70.9093""","=""0.0006""","=""a""","=""""",,"=""0.00000000""","=""17.48490""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.(2D<3/2>).4s2.26p""","=""2[1/2]*""","=""1""",1,3,,"=""""","=""L6852""",
"=""70.9185""","=""0.0004""","=""70.9185""","=""0.0006""","=""a""","=""""",,"=""0.00000000""","=""17.48263""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.(2D<3/2>).4s2.25p""","=""2[3/2]*""","=""1""",1,3,,"=""""","=""L6852""",
"=""70.9185""","=""0.0004""","=""70.9185""","=""0.0006""","=""a""","=""""",,"=""0.00000000""","=""17.48263""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.(2D<3/2>).4s2.25p""","=""2[1/2]*""","=""1""",1,3,,"=""""","=""L6852""",
"=""70.9287""","=""0.0004""","=""70.9287""","=""0.0006""","=""a""","=""""",,"=""0.00000000""","=""17.48012""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.(2D<3/2>).4s2.24p""","=""2[3/2]*""","=""1""",1,3,,"=""""","=""L6852""",
